Package,Module,Class,Smell,Function/Method,Line no,File,Details
zhanghang1989_PyTorch-Encoding,setup,,Long statement,get_extensions,61,/Volumes/BrokeExt/NICHE/zhanghang1989_PyTorch-Encoding/setup.py,A line with 122 chars in get_extensions exceeds the maximum length of 120 characters.
zhanghang1989_PyTorch-Encoding,setup,,Long statement,get_extensions,72,/Volumes/BrokeExt/NICHE/zhanghang1989_PyTorch-Encoding/setup.py,A line with 122 chars in get_extensions exceeds the maximum length of 120 characters.
zhanghang1989_PyTorch-Encoding,setup,,Long statement,get_extensions,84,/Volumes/BrokeExt/NICHE/zhanghang1989_PyTorch-Encoding/setup.py,A line with 149 chars in get_extensions exceeds the maximum length of 120 characters.
zhanghang1989_PyTorch-Encoding,setup,,Long statement,get_extensions,91,/Volumes/BrokeExt/NICHE/zhanghang1989_PyTorch-Encoding/setup.py,A line with 159 chars in get_extensions exceeds the maximum length of 120 characters.
zhanghang1989_PyTorch-Encoding,setup,,Long statement,,41,/Volumes/BrokeExt/NICHE/zhanghang1989_PyTorch-Encoding/setup.py,A line with 139 chars in setup exceeds the maximum length of 120 characters.
zhanghang1989_PyTorch-Encoding,setup,,Long statement,,105,/Volumes/BrokeExt/NICHE/zhanghang1989_PyTorch-Encoding/setup.py,A line with 613 chars in setup exceeds the maximum length of 120 characters.
zhanghang1989_PyTorch-Encoding.docs.source,conf,,Long statement,,43,/Volumes/BrokeExt/NICHE/zhanghang1989_PyTorch-Encoding/docs/source/conf.py,A line with 219 chars in conf exceeds the maximum length of 120 characters.
zhanghang1989_PyTorch-Encoding.docs.source,conf,,Long statement,,195,/Volumes/BrokeExt/NICHE/zhanghang1989_PyTorch-Encoding/docs/source/conf.py,A line with 145 chars in conf exceeds the maximum length of 120 characters.
zhanghang1989_PyTorch-Encoding.docs.source,custom_directives,GalleryItemDirective,Long message chain,run,82,/Volumes/BrokeExt/NICHE/zhanghang1989_PyTorch-Encoding/docs/source/custom_directives.py,"A long message chain has 5 attributes/calls chained together, more than the recommended 3 in the following statement: env = self.state.document.settings.env."
zhanghang1989_PyTorch-Encoding.docs.source,custom_directives,GalleryItemDirective,Empty catch block,run,104,/Volumes/BrokeExt/NICHE/zhanghang1989_PyTorch-Encoding/docs/source/custom_directives.py,Empty catch block found in run.
