Package,Module,Class,Smell,Function/Method,Line no,File,Details
AFAgarap_cnn-svm,main,,Long statement,,83,/Volumes/BrokeExt/NICHE/AFAgarap_cnn-svm/main.py,A line with 133 chars in main exceeds the maximum length of 120 characters.
AFAgarap_cnn-svm,main,,Long statement,,91,/Volumes/BrokeExt/NICHE/AFAgarap_cnn-svm/main.py,A line with 140 chars in main exceeds the maximum length of 120 characters.
AFAgarap_cnn-svm,main,,Long statement,,98,/Volumes/BrokeExt/NICHE/AFAgarap_cnn-svm/main.py,A line with 133 chars in main exceeds the maximum length of 120 characters.
AFAgarap_cnn-svm.cnn_svm.models,cnn,CNN,Long statement,__init__,25,/Volumes/BrokeExt/NICHE/AFAgarap_cnn-svm/cnn_svm/models/cnn.py,A line with 135 chars in __init__ exceeds the maximum length of 120 characters.
AFAgarap_cnn-svm.cnn_svm.models,cnn,CNN,Long statement,__init__,33,/Volumes/BrokeExt/NICHE/AFAgarap_cnn-svm/cnn_svm/models/cnn.py,A line with 135 chars in __init__ exceeds the maximum length of 120 characters.
AFAgarap_cnn-svm.cnn_svm.utils,data,,Long statement,load_tfds,18,/Volumes/BrokeExt/NICHE/AFAgarap_cnn-svm/cnn_svm/utils/data.py,A line with 413 chars in load_tfds exceeds the maximum length of 120 characters.
AFAgarap_cnn-svm.cnn_svm.utils,data,,Long statement,create_dataset,64,/Volumes/BrokeExt/NICHE/AFAgarap_cnn-svm/cnn_svm/utils/data.py,A line with 522 chars in create_dataset exceeds the maximum length of 120 characters.
AFAgarap_cnn-svm.cnn_svm.utils,data,,Magic number,load_tfds,44,/Volumes/BrokeExt/NICHE/AFAgarap_cnn-svm/cnn_svm/utils/data.py,Magic number 255.0 used in load_tfds.
AFAgarap_cnn-svm.cnn_svm.utils,data,,Magic number,load_tfds,53,/Volumes/BrokeExt/NICHE/AFAgarap_cnn-svm/cnn_svm/utils/data.py,Magic number 255.0 used in load_tfds.
AFAgarap_cnn-svm.model,cnn_softmax,CNN,Complex method,train,130 - 221,/Volumes/BrokeExt/NICHE/AFAgarap_cnn-svm/model/cnn_softmax.py,"Method 'train' has a cyclomatic complexity of 7, exceeding the max of 6."
AFAgarap_cnn-svm.model,cnn_softmax,CNN,Long method,__init__,29 - 128,/Volumes/BrokeExt/NICHE/AFAgarap_cnn-svm/model/cnn_softmax.py,Method '__init__' is too long (92 lines).
AFAgarap_cnn-svm.model,cnn_softmax,CNN,Long method,train,130 - 221,/Volumes/BrokeExt/NICHE/AFAgarap_cnn-svm/model/cnn_softmax.py,Method 'train' is too long (77 lines).
