Package,Module,Class,Smell,Function/Method,Line no,File,Details
Ha0Tang_GestureGAN,train,,Long statement,,57,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/train.py,A line with 128 chars in train exceeds the maximum length of 120 characters.
Ha0Tang_GestureGAN.data,__init__,,Long statement,find_dataset_using_name,24,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/data/__init__.py,A line with 150 chars in find_dataset_using_name exceeds the maximum length of 120 characters.
Ha0Tang_GestureGAN.data,__init__,CustomDatasetDataLoader,Long statement,initialize,58,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/data/__init__.py,A line with 150 chars in initialize exceeds the maximum length of 120 characters.
Ha0Tang_GestureGAN.data,aligned_dataset,AlignedDataset,Long method,__getitem__,22 - 75,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/data/aligned_dataset.py,Method '__getitem__' is too long (42 lines).
Ha0Tang_GestureGAN.data,aligned_dataset,AlignedDataset,Magic number,__getitem__,60,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/data/aligned_dataset.py,Magic number 0.5 used in __getitem__.
Ha0Tang_GestureGAN.data,aligned_dataset,AlignedDataset,Magic number,__getitem__,67,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/data/aligned_dataset.py,Magic number 0.114 used in __getitem__.
Ha0Tang_GestureGAN.data,aligned_dataset,AlignedDataset,Magic number,__getitem__,71,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/data/aligned_dataset.py,Magic number 0.114 used in __getitem__.
Ha0Tang_GestureGAN.data,aligned_dataset,AlignedDataset,Magic number,__getitem__,67,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/data/aligned_dataset.py,Magic number 0.299 used in __getitem__.
Ha0Tang_GestureGAN.data,aligned_dataset,AlignedDataset,Magic number,__getitem__,67,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/data/aligned_dataset.py,Magic number 0.587 used in __getitem__.
Ha0Tang_GestureGAN.data,aligned_dataset,AlignedDataset,Magic number,__getitem__,71,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/data/aligned_dataset.py,Magic number 0.299 used in __getitem__.
Ha0Tang_GestureGAN.data,aligned_dataset,AlignedDataset,Magic number,__getitem__,71,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/data/aligned_dataset.py,Magic number 0.587 used in __getitem__.
Ha0Tang_GestureGAN.data,aligned_dataset,AlignedDataset,Magic number,__getitem__,67,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/data/aligned_dataset.py,Magic number 2 used in __getitem__.
Ha0Tang_GestureGAN.data,aligned_dataset,AlignedDataset,Magic number,__getitem__,71,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/data/aligned_dataset.py,Magic number 2 used in __getitem__.
Ha0Tang_GestureGAN.data,base_dataset,,Complex method,get_transform,24 - 51,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/data/base_dataset.py,"Method 'get_transform' has a cyclomatic complexity of 8, exceeding the max of 6."
Ha0Tang_GestureGAN.data,base_dataset,,Long statement,__print_size_warning,97,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/data/base_dataset.py,A line with 217 chars in __print_size_warning exceeds the maximum length of 120 characters.
Ha0Tang_GestureGAN.data,base_dataset,,Magic number,__adjust,60,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/data/base_dataset.py,Magic number 4 used in __adjust.
Ha0Tang_GestureGAN.data,base_dataset,,Magic number,__scale_width,80,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/data/base_dataset.py,Magic number 4 used in __scale_width.
Ha0Tang_GestureGAN.models,__init__,,Long statement,find_model_using_name,23,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/models/__init__.py,A line with 144 chars in find_model_using_name exceeds the maximum length of 120 characters.
Ha0Tang_GestureGAN.models,base_model,BaseModel,Complex method,__patch_instance_norm_state_dict,104 - 115,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/models/base_model.py,"Method '__patch_instance_norm_state_dict' has a cyclomatic complexity of 8, exceeding the max of 6."
Ha0Tang_GestureGAN.models,base_model,BaseModel,Long identifier,__patch_instance_norm_state_dict,104,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/models/base_model.py,Identifier'__patch_instance_norm_state_dict' exceeds the maximum length of 30 characters.
Ha0Tang_GestureGAN.models,gesturegan_onecycle_model,GestureGANOneCycleModel,Long statement,initialize,29,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/models/gesturegan_onecycle_model.py,A line with 127 chars in initialize exceeds the maximum length of 120 characters.
Ha0Tang_GestureGAN.models,gesturegan_onecycle_model,GestureGANOneCycleModel,Long statement,initialize,41,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/models/gesturegan_onecycle_model.py,A line with 142 chars in initialize exceeds the maximum length of 120 characters.
Ha0Tang_GestureGAN.models,gesturegan_onecycle_model,GestureGANOneCycleModel,Long statement,initialize,46,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/models/gesturegan_onecycle_model.py,A line with 147 chars in initialize exceeds the maximum length of 120 characters.
Ha0Tang_GestureGAN.models,gesturegan_onecycle_model,GestureGANOneCycleModel,Long statement,initialize,49,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/models/gesturegan_onecycle_model.py,A line with 147 chars in initialize exceeds the maximum length of 120 characters.
Ha0Tang_GestureGAN.models,gesturegan_onecycle_model,GestureGANOneCycleModel,Long statement,initialize,65,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/models/gesturegan_onecycle_model.py,A line with 139 chars in initialize exceeds the maximum length of 120 characters.
Ha0Tang_GestureGAN.models,gesturegan_onecycle_model,GestureGANOneCycleModel,Long statement,backward_G,145,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/models/gesturegan_onecycle_model.py,A line with 427 chars in backward_G exceeds the maximum length of 120 characters.
Ha0Tang_GestureGAN.models,gesturegan_onecycle_model,GestureGANOneCycleModel,Long statement,backward_G,149,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/models/gesturegan_onecycle_model.py,A line with 215 chars in backward_G exceeds the maximum length of 120 characters.
Ha0Tang_GestureGAN.models,gesturegan_onecycle_model,GestureGANOneCycleModel,Magic number,backward_D1,102,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/models/gesturegan_onecycle_model.py,Magic number 0.5 used in backward_D1.
Ha0Tang_GestureGAN.models,gesturegan_onecycle_model,GestureGANOneCycleModel,Magic number,backward_D2,119,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/models/gesturegan_onecycle_model.py,Magic number 0.5 used in backward_D2.
Ha0Tang_GestureGAN.models,gesturegan_onecycle_model,GestureGANOneCycleModel,Magic number,backward_G,137,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/models/gesturegan_onecycle_model.py,Magic number 2 used in backward_G.
Ha0Tang_GestureGAN.models,gesturegan_onecycle_model,GestureGANOneCycleModel,Magic number,backward_G,138,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/models/gesturegan_onecycle_model.py,Magic number 2 used in backward_G.
Ha0Tang_GestureGAN.models,gesturegan_onecycle_model,GestureGANOneCycleModel,Magic number,backward_G,138,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/models/gesturegan_onecycle_model.py,Magic number 3 used in backward_G.
Ha0Tang_GestureGAN.models,gesturegan_onecycle_model,GestureGANOneCycleModel,Magic number,backward_G,141,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/models/gesturegan_onecycle_model.py,Magic number 2 used in backward_G.
Ha0Tang_GestureGAN.models,gesturegan_onecycle_model,GestureGANOneCycleModel,Magic number,backward_G,142,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/models/gesturegan_onecycle_model.py,Magic number 2 used in backward_G.
Ha0Tang_GestureGAN.models,gesturegan_onecycle_model,GestureGANOneCycleModel,Magic number,backward_G,142,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/models/gesturegan_onecycle_model.py,Magic number 3 used in backward_G.
Ha0Tang_GestureGAN.models,gesturegan_twocycle_model,GestureGANTwoCycleModel,Long statement,initialize,34,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/models/gesturegan_twocycle_model.py,A line with 136 chars in initialize exceeds the maximum length of 120 characters.
Ha0Tang_GestureGAN.models,gesturegan_twocycle_model,GestureGANTwoCycleModel,Long statement,initialize,41,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/models/gesturegan_twocycle_model.py,A line with 142 chars in initialize exceeds the maximum length of 120 characters.
Ha0Tang_GestureGAN.models,gesturegan_twocycle_model,GestureGANTwoCycleModel,Long statement,initialize,46,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/models/gesturegan_twocycle_model.py,A line with 147 chars in initialize exceeds the maximum length of 120 characters.
Ha0Tang_GestureGAN.models,gesturegan_twocycle_model,GestureGANTwoCycleModel,Long statement,initialize,49,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/models/gesturegan_twocycle_model.py,A line with 147 chars in initialize exceeds the maximum length of 120 characters.
Ha0Tang_GestureGAN.models,gesturegan_twocycle_model,GestureGANTwoCycleModel,Long statement,initialize,65,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/models/gesturegan_twocycle_model.py,A line with 139 chars in initialize exceeds the maximum length of 120 characters.
Ha0Tang_GestureGAN.models,gesturegan_twocycle_model,GestureGANTwoCycleModel,Long statement,backward_G,192,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/models/gesturegan_twocycle_model.py,A line with 842 chars in backward_G exceeds the maximum length of 120 characters.
Ha0Tang_GestureGAN.models,gesturegan_twocycle_model,GestureGANTwoCycleModel,Long statement,backward_G,194,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/models/gesturegan_twocycle_model.py,A line with 159 chars in backward_G exceeds the maximum length of 120 characters.
Ha0Tang_GestureGAN.models,gesturegan_twocycle_model,GestureGANTwoCycleModel,Long statement,backward_G,196,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/models/gesturegan_twocycle_model.py,A line with 419 chars in backward_G exceeds the maximum length of 120 characters.
Ha0Tang_GestureGAN.models,gesturegan_twocycle_model,GestureGANTwoCycleModel,Magic number,backward_D1,108,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/models/gesturegan_twocycle_model.py,Magic number 0.5 used in backward_D1.
Ha0Tang_GestureGAN.models,gesturegan_twocycle_model,GestureGANTwoCycleModel,Magic number,backward_D1,117,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/models/gesturegan_twocycle_model.py,Magic number 0.5 used in backward_D1.
Ha0Tang_GestureGAN.models,gesturegan_twocycle_model,GestureGANTwoCycleModel,Magic number,backward_D2,134,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/models/gesturegan_twocycle_model.py,Magic number 0.5 used in backward_D2.
Ha0Tang_GestureGAN.models,gesturegan_twocycle_model,GestureGANTwoCycleModel,Magic number,backward_D2,148,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/models/gesturegan_twocycle_model.py,Magic number 0.5 used in backward_D2.
Ha0Tang_GestureGAN.models,gesturegan_twocycle_model,GestureGANTwoCycleModel,Magic number,backward_G,176,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/models/gesturegan_twocycle_model.py,Magic number 2 used in backward_G.
Ha0Tang_GestureGAN.models,gesturegan_twocycle_model,GestureGANTwoCycleModel,Magic number,backward_G,177,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/models/gesturegan_twocycle_model.py,Magic number 2 used in backward_G.
Ha0Tang_GestureGAN.models,gesturegan_twocycle_model,GestureGANTwoCycleModel,Magic number,backward_G,177,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/models/gesturegan_twocycle_model.py,Magic number 3 used in backward_G.
Ha0Tang_GestureGAN.models,gesturegan_twocycle_model,GestureGANTwoCycleModel,Magic number,backward_G,180,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/models/gesturegan_twocycle_model.py,Magic number 2 used in backward_G.
Ha0Tang_GestureGAN.models,gesturegan_twocycle_model,GestureGANTwoCycleModel,Magic number,backward_G,181,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/models/gesturegan_twocycle_model.py,Magic number 2 used in backward_G.
Ha0Tang_GestureGAN.models,gesturegan_twocycle_model,GestureGANTwoCycleModel,Magic number,backward_G,181,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/models/gesturegan_twocycle_model.py,Magic number 3 used in backward_G.
Ha0Tang_GestureGAN.models,gesturegan_twocycle_model,GestureGANTwoCycleModel,Magic number,backward_G,184,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/models/gesturegan_twocycle_model.py,Magic number 2 used in backward_G.
Ha0Tang_GestureGAN.models,gesturegan_twocycle_model,GestureGANTwoCycleModel,Magic number,backward_G,185,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/models/gesturegan_twocycle_model.py,Magic number 2 used in backward_G.
Ha0Tang_GestureGAN.models,gesturegan_twocycle_model,GestureGANTwoCycleModel,Magic number,backward_G,185,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/models/gesturegan_twocycle_model.py,Magic number 3 used in backward_G.
Ha0Tang_GestureGAN.models,gesturegan_twocycle_model,GestureGANTwoCycleModel,Magic number,backward_G,188,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/models/gesturegan_twocycle_model.py,Magic number 2 used in backward_G.
Ha0Tang_GestureGAN.models,gesturegan_twocycle_model,GestureGANTwoCycleModel,Magic number,backward_G,189,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/models/gesturegan_twocycle_model.py,Magic number 2 used in backward_G.
Ha0Tang_GestureGAN.models,gesturegan_twocycle_model,GestureGANTwoCycleModel,Magic number,backward_G,189,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/models/gesturegan_twocycle_model.py,Magic number 3 used in backward_G.
Ha0Tang_GestureGAN.models,networks,,Complex method,init_weights,39 - 60,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/models/networks.py,"Method 'init_weights' has a cyclomatic complexity of 11, exceeding the max of 6."
Ha0Tang_GestureGAN.models,networks,ResnetBlock,Complex method,build_conv_block,209 - 239,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/models/networks.py,"Method 'build_conv_block' has a cyclomatic complexity of 8, exceeding the max of 6."
Ha0Tang_GestureGAN.models,networks,Vgg19,Complex method,__init__,400 - 420,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/models/networks.py,"Method '__init__' has a cyclomatic complexity of 8, exceeding the max of 6."
Ha0Tang_GestureGAN.models,networks,UnetSkipConnectionBlock,Long method,__init__,274 - 317,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/models/networks.py,Method '__init__' is too long (41 lines).
Ha0Tang_GestureGAN.models,networks,,Long parameter list,define_G,86 - 100,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/models/networks.py,"define_G has 9 parameters, exceeding the max of 5."
Ha0Tang_GestureGAN.models,networks,,Long parameter list,define_D,103 - 117,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/models/networks.py,"define_D has 9 parameters, exceeding the max of 5."
Ha0Tang_GestureGAN.models,networks,ResnetGenerator,Long parameter list,__init__,156 - 197,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/models/networks.py,"__init__ has 7 parameters, exceeding the max of 5."
Ha0Tang_GestureGAN.models,networks,UnetGenerator,Long parameter list,__init__,251 - 264,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/models/networks.py,"__init__ has 6 parameters, exceeding the max of 5."
Ha0Tang_GestureGAN.models,networks,UnetSkipConnectionBlock,Long parameter list,__init__,274 - 317,/Volumes/BrokeExt/NICHE/Ha0Tang_GestureGAN/models/networks.py,"__init__ has 8 parameters, exceeding the max of 5."
