Package,Module,Class,Smell,Function/Method,Line no,File,Details
Ha0Tang_SelectionGAN.gaugan_pix2pixhd_guided,test,,Long statement,,1,/Volumes/BrokeExt/NICHE/Ha0Tang_SelectionGAN/gaugan_pix2pixhd_guided/test.py,A line with 173 chars in test exceeds the maximum length of 120 characters.
Ha0Tang_SelectionGAN.gaugan_pix2pixhd_guided,test,,Long statement,,41,/Volumes/BrokeExt/NICHE/Ha0Tang_SelectionGAN/gaugan_pix2pixhd_guided/test.py,A line with 128 chars in test exceeds the maximum length of 120 characters.
Ha0Tang_SelectionGAN.gaugan_pix2pixhd_guided,train,,Long statement,,1,/Volumes/BrokeExt/NICHE/Ha0Tang_SelectionGAN/gaugan_pix2pixhd_guided/train.py,A line with 173 chars in train exceeds the maximum length of 120 characters.
Ha0Tang_SelectionGAN.gaugan_pix2pixhd_guided,train,,Long statement,,53,/Volumes/BrokeExt/NICHE/Ha0Tang_SelectionGAN/gaugan_pix2pixhd_guided/train.py,A line with 145 chars in train exceeds the maximum length of 120 characters.
Ha0Tang_SelectionGAN.gaugan_pix2pixhd_guided.data,__init__,,Long statement,find_dataset_using_name,29,/Volumes/BrokeExt/NICHE/Ha0Tang_SelectionGAN/gaugan_pix2pixhd_guided/data/__init__.py,A line with 161 chars in find_dataset_using_name exceeds the maximum length of 120 characters.
Ha0Tang_SelectionGAN.gaugan_pix2pixhd_guided.data,__init__,,Long statement,create_dataloader,47,/Volumes/BrokeExt/NICHE/Ha0Tang_SelectionGAN/gaugan_pix2pixhd_guided/data/__init__.py,A line with 164 chars in create_dataloader exceeds the maximum length of 120 characters.
Ha0Tang_SelectionGAN.gaugan_pix2pixhd_guided.data,__init__,,Long statement,,1,/Volumes/BrokeExt/NICHE/Ha0Tang_SelectionGAN/gaugan_pix2pixhd_guided/data/__init__.py,A line with 173 chars in __init__ exceeds the maximum length of 120 characters.
Ha0Tang_SelectionGAN.gaugan_pix2pixhd_guided.data,aligned_dataset,AlignedDataset,Long statement,modify_commandline_options,14,/Volumes/BrokeExt/NICHE/Ha0Tang_SelectionGAN/gaugan_pix2pixhd_guided/data/aligned_dataset.py,A line with 138 chars in modify_commandline_options exceeds the maximum length of 120 characters.
Ha0Tang_SelectionGAN.gaugan_pix2pixhd_guided.data,aligned_dataset,,Long statement,,1,/Volumes/BrokeExt/NICHE/Ha0Tang_SelectionGAN/gaugan_pix2pixhd_guided/data/aligned_dataset.py,A line with 173 chars in aligned_dataset exceeds the maximum length of 120 characters.
Ha0Tang_SelectionGAN.gaugan_pix2pixhd_guided.data,base_dataset,,Complex method,get_transform,47 - 78,/Volumes/BrokeExt/NICHE/Ha0Tang_SelectionGAN/gaugan_pix2pixhd_guided/data/base_dataset.py,"Method 'get_transform' has a cyclomatic complexity of 11, exceeding the max of 6."
Ha0Tang_SelectionGAN.gaugan_pix2pixhd_guided.data,base_dataset,,Long statement,,1,/Volumes/BrokeExt/NICHE/Ha0Tang_SelectionGAN/gaugan_pix2pixhd_guided/data/base_dataset.py,A line with 173 chars in base_dataset exceeds the maximum length of 120 characters.
Ha0Tang_SelectionGAN.gaugan_pix2pixhd_guided.data,base_dataset,,Magic number,get_params,43,/Volumes/BrokeExt/NICHE/Ha0Tang_SelectionGAN/gaugan_pix2pixhd_guided/data/base_dataset.py,Magic number 0.5 used in get_params.
Ha0Tang_SelectionGAN.gaugan_pix2pixhd_guided.data,base_dataset,,Magic number,get_transform,61,/Volumes/BrokeExt/NICHE/Ha0Tang_SelectionGAN/gaugan_pix2pixhd_guided/data/base_dataset.py,Magic number 32 used in get_transform.
Ha0Tang_SelectionGAN.gaugan_pix2pixhd_guided.data,custom_dataset,,Long statement,,1,/Volumes/BrokeExt/NICHE/Ha0Tang_SelectionGAN/gaugan_pix2pixhd_guided/data/custom_dataset.py,A line with 173 chars in custom_dataset exceeds the maximum length of 120 characters.
Ha0Tang_SelectionGAN.gaugan_pix2pixhd_guided.data,custom_dataset,CustomDataset,Magic number,modify_commandline_options,20,/Volumes/BrokeExt/NICHE/Ha0Tang_SelectionGAN/gaugan_pix2pixhd_guided/data/custom_dataset.py,Magic number 286 used in modify_commandline_options.
Ha0Tang_SelectionGAN.gaugan_pix2pixhd_guided.data,custom_dataset,CustomDataset,Magic number,modify_commandline_options,20,/Volumes/BrokeExt/NICHE/Ha0Tang_SelectionGAN/gaugan_pix2pixhd_guided/data/custom_dataset.py,Magic number 256 used in modify_commandline_options.
Ha0Tang_SelectionGAN.gaugan_pix2pixhd_guided.data,image_folder,,Complex method,make_dataset,36 - 64,/Volumes/BrokeExt/NICHE/Ha0Tang_SelectionGAN/gaugan_pix2pixhd_guided/data/image_folder.py,"Method 'make_dataset' has a cyclomatic complexity of 9, exceeding the max of 6."
Ha0Tang_SelectionGAN.gaugan_pix2pixhd_guided.data,image_folder,,Long statement,,1,/Volumes/BrokeExt/NICHE/Ha0Tang_SelectionGAN/gaugan_pix2pixhd_guided/data/image_folder.py,A line with 173 chars in image_folder exceeds the maximum length of 120 characters.
Ha0Tang_SelectionGAN.gaugan_pix2pixhd_guided.data,pix2pix_dataset,Pix2pixDataset,Long statement,modify_commandline_options,15,/Volumes/BrokeExt/NICHE/Ha0Tang_SelectionGAN/gaugan_pix2pixhd_guided/data/pix2pix_dataset.py,A line with 138 chars in modify_commandline_options exceeds the maximum length of 120 characters.
Ha0Tang_SelectionGAN.gaugan_pix2pixhd_guided.data,pix2pix_dataset,Pix2pixDataset,Long statement,initialize,35,/Volumes/BrokeExt/NICHE/Ha0Tang_SelectionGAN/gaugan_pix2pixhd_guided/data/pix2pix_dataset.py,A line with 299 chars in initialize exceeds the maximum length of 120 characters.
Ha0Tang_SelectionGAN.gaugan_pix2pixhd_guided.data,pix2pix_dataset,Pix2pixDataset,Long statement,__getitem__,68,/Volumes/BrokeExt/NICHE/Ha0Tang_SelectionGAN/gaugan_pix2pixhd_guided/data/pix2pix_dataset.py,A line with 128 chars in __getitem__ exceeds the maximum length of 120 characters.
Ha0Tang_SelectionGAN.gaugan_pix2pixhd_guided.data,pix2pix_dataset,,Long statement,,1,/Volumes/BrokeExt/NICHE/Ha0Tang_SelectionGAN/gaugan_pix2pixhd_guided/data/pix2pix_dataset.py,A line with 173 chars in pix2pix_dataset exceeds the maximum length of 120 characters.
Ha0Tang_SelectionGAN.gaugan_pix2pixhd_guided.data,pix2pix_dataset,Pix2pixDataset,Magic number,__getitem__,63,/Volumes/BrokeExt/NICHE/Ha0Tang_SelectionGAN/gaugan_pix2pixhd_guided/data/pix2pix_dataset.py,Magic number 255.0 used in __getitem__.
Ha0Tang_SelectionGAN.gaugan_pix2pixhd_guided.data,pix2pix_dataset,Pix2pixDataset,Magic number,__getitem__,64,/Volumes/BrokeExt/NICHE/Ha0Tang_SelectionGAN/gaugan_pix2pixhd_guided/data/pix2pix_dataset.py,Magic number 255 used in __getitem__.
Ha0Tang_SelectionGAN.gaugan_pix2pixhd_guided.data,pix2pix_dataset,Pix2pixDataset,Magic number,__getitem__,84,/Volumes/BrokeExt/NICHE/Ha0Tang_SelectionGAN/gaugan_pix2pixhd_guided/data/pix2pix_dataset.py,Magic number 255 used in __getitem__.
Ha0Tang_SelectionGAN.gaugan_pix2pixhd_guided.models,__init__,,Long statement,find_model_using_name,28,/Volumes/BrokeExt/NICHE/Ha0Tang_SelectionGAN/gaugan_pix2pixhd_guided/models/__init__.py,A line with 150 chars in find_model_using_name exceeds the maximum length of 120 characters.
Ha0Tang_SelectionGAN.gaugan_pix2pixhd_guided.models,__init__,,Long statement,,1,/Volumes/BrokeExt/NICHE/Ha0Tang_SelectionGAN/gaugan_pix2pixhd_guided/models/__init__.py,A line with 173 chars in __init__ exceeds the maximum length of 120 characters.
Ha0Tang_SelectionGAN.gaugan_pix2pixhd_guided.models,pix2pix_model,Pix2PixModel,Long statement,compute_generator_loss,136,/Volumes/BrokeExt/NICHE/Ha0Tang_SelectionGAN/gaugan_pix2pixhd_guided/models/pix2pix_model.py,A line with 124 chars in compute_generator_loss exceeds the maximum length of 120 characters.
Ha0Tang_SelectionGAN.gaugan_pix2pixhd_guided.models,pix2pix_model,,Long statement,,1,/Volumes/BrokeExt/NICHE/Ha0Tang_SelectionGAN/gaugan_pix2pixhd_guided/models/pix2pix_model.py,A line with 173 chars in pix2pix_model exceeds the maximum length of 120 characters.
Ha0Tang_SelectionGAN.gaugan_pix2pixhd_guided.models,pix2pix_model,Pix2PixModel,Magic number,create_optimizers,73,/Volumes/BrokeExt/NICHE/Ha0Tang_SelectionGAN/gaugan_pix2pixhd_guided/models/pix2pix_model.py,Magic number 2 used in create_optimizers.
Ha0Tang_SelectionGAN.gaugan_pix2pixhd_guided.models,pix2pix_model,Pix2PixModel,Magic number,create_optimizers,73,/Volumes/BrokeExt/NICHE/Ha0Tang_SelectionGAN/gaugan_pix2pixhd_guided/models/pix2pix_model.py,Magic number 2 used in create_optimizers.
Ha0Tang_SelectionGAN.gaugan_pix2pixhd_guided.models,pix2pix_model,Pix2PixModel,Magic number,divide_pred,234,/Volumes/BrokeExt/NICHE/Ha0Tang_SelectionGAN/gaugan_pix2pixhd_guided/models/pix2pix_model.py,Magic number 2 used in divide_pred.
Ha0Tang_SelectionGAN.gaugan_pix2pixhd_guided.models,pix2pix_model,Pix2PixModel,Magic number,divide_pred,235,/Volumes/BrokeExt/NICHE/Ha0Tang_SelectionGAN/gaugan_pix2pixhd_guided/models/pix2pix_model.py,Magic number 2 used in divide_pred.
Ha0Tang_SelectionGAN.gaugan_pix2pixhd_guided.models.networks,__init__,,Long statement,,1,/Volumes/BrokeExt/NICHE/Ha0Tang_SelectionGAN/gaugan_pix2pixhd_guided/models/networks/__init__.py,A line with 173 chars in __init__ exceeds the maximum length of 120 characters.
Ha0Tang_SelectionGAN.gaugan_pix2pixhd_guided.models.networks,architecture,VGG19,Complex method,__init__,94 - 114,/Volumes/BrokeExt/NICHE/Ha0Tang_SelectionGAN/gaugan_pix2pixhd_guided/models/networks/architecture.py,"Method '__init__' has a cyclomatic complexity of 8, exceeding the max of 6."
Ha0Tang_SelectionGAN.gaugan_pix2pixhd_guided.models.networks,architecture,ResnetBlock,Long statement,__init__,78,/Volumes/BrokeExt/NICHE/Ha0Tang_SelectionGAN/gaugan_pix2pixhd_guided/models/networks/architecture.py,A line with 207 chars in __init__ exceeds the maximum length of 120 characters.
