Package,Module,Class,Function,LOC,CC,PC
LPDI-EPFL_masif.comparison.masif_ligand,parse_json_tmscore_rocauc,,get_masif_ligand_prediction,31,8,3
LPDI-EPFL_masif.comparison.masif_ligand.Kripo.similarity_results,generate_ROCs,,get_df,17,4,2
LPDI-EPFL_masif.comparison.masif_ligand.Kripo.test_set,generate_fingerprints_multithreaded,,generate_fingerprints,18,1,1
LPDI-EPFL_masif.comparison.masif_ligand.Kripo.training_set,generate_fingerprints_multithreaded,,generate_fingerprints,18,1,1
LPDI-EPFL_masif.comparison.masif_ppi_search.zdock,eval_zdock,,test_alignment,31,3,4
LPDI-EPFL_masif.comparison.masif_ppi_search.zrank,eval_zrank,,test_alignment,31,3,4
LPDI-EPFL_masif.comparison.masif_ppi_search_ub.patchdock,evalPatchDock,,test_alignment,23,3,4
LPDI-EPFL_masif.comparison.masif_ppi_search_ub.zdock,eval_zdock,,test_alignment,31,3,4
LPDI-EPFL_masif.comparison.masif_ppi_search_ub.zrank,eval_zrank,,test_alignment,31,3,4
LPDI-EPFL_masif.comparison.masif_site.masif_vs_sppider.intpred_pred,make_intpred_pdbs,,parse_intpred_raw,23,4,2
LPDI-EPFL_masif.comparison.masif_site.masif_vs_sppider.psiver_pred,make_psiver_pdbs,,parse_psiver_raw,25,4,2
LPDI-EPFL_masif.source.data_preparation,00b-generate_assembly,,assemble,12,1,1
LPDI-EPFL_masif.source.data_preparation,01b-helix_extract_and_triangulate,,computeHelices,25,6,3
LPDI-EPFL_masif.source.geometry,compute_polar_coordinates,,compute_polar_coordinates,62,8,4
LPDI-EPFL_masif.source.geometry,compute_polar_coordinates,,compute_thetas,52,5,7
LPDI-EPFL_masif.source.geometry,compute_polar_coordinates,,dict_to_sparse,16,3,1
LPDI-EPFL_masif.source.geometry,compute_polar_coordinates,,extract_patch,21,3,3
LPDI-EPFL_masif.source.geometry,compute_polar_coordinates,,output_patch_coords,23,1,7
LPDI-EPFL_masif.source.geometry,compute_polar_coordinates,,call_mds,2,1,2
LPDI-EPFL_masif.source.geometry,compute_polar_coordinates,,compute_theta_all,20,3,6
LPDI-EPFL_masif.source.geometry,compute_polar_coordinates,,compute_theta_all_fast,42,2,6
LPDI-EPFL_masif.source.gif_descriptors,compute_gif_descriptors,,compute_dfss_histogram,17,6,3
LPDI-EPFL_masif.source.gif_descriptors,eval_gif_descriptors,,compute_roc_auc,4,1,2
LPDI-EPFL_masif.source.gif_descriptors,eval_gif_descriptors,,compute_dfss_histogram,17,6,3
LPDI-EPFL_masif.source.input_output,extractHelix,NotDisordered,accept_atom,2,2,1
LPDI-EPFL_masif.source.input_output,extractHelix,,extractHelix,20,6,6
LPDI-EPFL_masif.source.input_output,extractPDB,NotDisordered,accept_atom,2,2,1
LPDI-EPFL_masif.source.input_output,extractPDB,,find_modified_amino_acids,12,6,1
LPDI-EPFL_masif.source.input_output,extractPDB,,extractPDB,26,7,3
LPDI-EPFL_masif.source.input_output,protonate,,protonate,13,1,2
LPDI-EPFL_masif.source.input_output,read_msms,,read_msms,40,3,1
LPDI-EPFL_masif.source.input_output,read_ply,,read_ply,36,6,1
LPDI-EPFL_masif.source.input_output,save_ply,,save_ply,33,8,10
LPDI-EPFL_masif.source.masif_modules,MaSIF_ligand,MaSIF_ligand,count_number_parameters,15,3,0
LPDI-EPFL_masif.source.masif_modules,MaSIF_ligand,MaSIF_ligand,frobenius_norm,5,1,1
LPDI-EPFL_masif.source.masif_modules,MaSIF_ligand,MaSIF_ligand,build_sparse_matrix_softmax,5,1,3
LPDI-EPFL_masif.source.masif_modules,MaSIF_ligand,MaSIF_ligand,compute_initial_coordinates,20,1,0
LPDI-EPFL_masif.source.masif_modules,MaSIF_ligand,MaSIF_ligand,inference,52,3,12
LPDI-EPFL_masif.source.masif_modules,MaSIF_ligand,MaSIF_ligand,__init__,157,7,11
LPDI-EPFL_masif.source.masif_modules,MaSIF_ppi_search,MaSIF_ppi_search,count_number_parameters,12,3,0
LPDI-EPFL_masif.source.masif_modules,MaSIF_ppi_search,MaSIF_ppi_search,frobenius_norm,5,1,1
LPDI-EPFL_masif.source.masif_modules,MaSIF_ppi_search,MaSIF_ppi_search,build_sparse_matrix_softmax,5,1,3
LPDI-EPFL_masif.source.masif_modules,MaSIF_ppi_search,MaSIF_ppi_search,compute_initial_coordinates,20,1,0
LPDI-EPFL_masif.source.masif_modules,MaSIF_ppi_search,MaSIF_ppi_search,inference,52,3,12
LPDI-EPFL_masif.source.masif_modules,MaSIF_ppi_search,MaSIF_ppi_search,compute_data_loss_cross_entropy,6,1,2
LPDI-EPFL_masif.source.masif_modules,MaSIF_ppi_search,MaSIF_ppi_search,compute_data_loss,30,1,2
LPDI-EPFL_masif.source.masif_modules,MaSIF_ppi_search,MaSIF_ppi_search,__init__,141,6,8
LPDI-EPFL_masif.source.masif_modules,MaSIF_site,MaSIF_site,count_number_parameters,12,3,0
LPDI-EPFL_masif.source.masif_modules,MaSIF_site,MaSIF_site,frobenius_norm,5,1,1
LPDI-EPFL_masif.source.masif_modules,MaSIF_site,MaSIF_site,build_sparse_matrix_softmax,5,1,3
LPDI-EPFL_masif.source.masif_modules,MaSIF_site,MaSIF_site,compute_initial_coordinates,20,1,0
