Package,Module,Class,Smell,Function/Method,Line no,File,Details
LPDI-EPFL_masif.comparison.masif_ligand,copy_dataset,,Long statement,,6,/Volumes/BrokeExt/NICHE/LPDI-EPFL_masif/comparison/masif_ligand/copy_dataset.py,A line with 133 chars in copy_dataset exceeds the maximum length of 120 characters.
LPDI-EPFL_masif.comparison.masif_ligand,parse_json_tmscore_rocauc,,Complex method,get_masif_ligand_prediction,20 - 54,/Volumes/BrokeExt/NICHE/LPDI-EPFL_masif/comparison/masif_ligand/parse_json_tmscore_rocauc.py,"Method 'get_masif_ligand_prediction' has a cyclomatic complexity of 8, exceeding the max of 6."
LPDI-EPFL_masif.comparison.masif_ligand,parse_json_tmscore_rocauc,,Long statement,,11,/Volumes/BrokeExt/NICHE/LPDI-EPFL_masif/comparison/masif_ligand/parse_json_tmscore_rocauc.py,A line with 163 chars in parse_json_tmscore_rocauc exceeds the maximum length of 120 characters.
LPDI-EPFL_masif.comparison.masif_ligand,parse_json_tmscore_rocauc,,Long statement,,135,/Volumes/BrokeExt/NICHE/LPDI-EPFL_masif/comparison/masif_ligand/parse_json_tmscore_rocauc.py,A line with 123 chars in parse_json_tmscore_rocauc exceeds the maximum length of 120 characters.
LPDI-EPFL_masif.comparison.masif_ligand,parse_json_tmscore_rocauc,,Long statement,,139,/Volumes/BrokeExt/NICHE/LPDI-EPFL_masif/comparison/masif_ligand/parse_json_tmscore_rocauc.py,A line with 130 chars in parse_json_tmscore_rocauc exceeds the maximum length of 120 characters.
LPDI-EPFL_masif.comparison.masif_ligand,parse_json_tmscore_rocauc,,Magic number,get_masif_ligand_prediction,46,/Volumes/BrokeExt/NICHE/LPDI-EPFL_masif/comparison/masif_ligand/parse_json_tmscore_rocauc.py,Magic number 3 used in get_masif_ligand_prediction.
LPDI-EPFL_masif.comparison.masif_ligand.Kripo,compare_test_training,,Long statement,,17,/Volumes/BrokeExt/NICHE/LPDI-EPFL_masif/comparison/masif_ligand/Kripo/compare_test_training.py,A line with 338 chars in compare_test_training exceeds the maximum length of 120 characters.
LPDI-EPFL_masif.comparison.masif_ligand.Kripo.similarity_results,generate_ROCs,,Long statement,,89,/Volumes/BrokeExt/NICHE/LPDI-EPFL_masif/comparison/masif_ligand/Kripo/similarity_results/generate_ROCs.py,A line with 121 chars in generate_ROCs exceeds the maximum length of 120 characters.
LPDI-EPFL_masif.comparison.masif_ligand.Kripo.similarity_results,generate_ROCs,,Long statement,,96,/Volumes/BrokeExt/NICHE/LPDI-EPFL_masif/comparison/masif_ligand/Kripo/similarity_results/generate_ROCs.py,A line with 123 chars in generate_ROCs exceeds the maximum length of 120 characters.
LPDI-EPFL_masif.comparison.masif_ligand.Kripo.similarity_results,generate_ROCs,,Long statement,,124,/Volumes/BrokeExt/NICHE/LPDI-EPFL_masif/comparison/masif_ligand/Kripo/similarity_results/generate_ROCs.py,A line with 134 chars in generate_ROCs exceeds the maximum length of 120 characters.
LPDI-EPFL_masif.comparison.masif_ligand.Kripo.similarity_results,generate_ROCs,,Long statement,,131,/Volumes/BrokeExt/NICHE/LPDI-EPFL_masif/comparison/masif_ligand/Kripo/similarity_results/generate_ROCs.py,A line with 135 chars in generate_ROCs exceeds the maximum length of 120 characters.
LPDI-EPFL_masif.comparison.masif_ligand.Kripo.similarity_results,generate_ROCs,,Long statement,,160,/Volumes/BrokeExt/NICHE/LPDI-EPFL_masif/comparison/masif_ligand/Kripo/similarity_results/generate_ROCs.py,A line with 135 chars in generate_ROCs exceeds the maximum length of 120 characters.
LPDI-EPFL_masif.comparison.masif_ligand.Kripo.similarity_results,generate_ROCs,,Long statement,,167,/Volumes/BrokeExt/NICHE/LPDI-EPFL_masif/comparison/masif_ligand/Kripo/similarity_results/generate_ROCs.py,A line with 135 chars in generate_ROCs exceeds the maximum length of 120 characters.
LPDI-EPFL_masif.comparison.masif_ligand.Kripo.similarity_results,generate_ROCs,,Magic number,get_df,48,/Volumes/BrokeExt/NICHE/LPDI-EPFL_masif/comparison/masif_ligand/Kripo/similarity_results/generate_ROCs.py,Magic number 2 used in get_df.
LPDI-EPFL_masif.comparison.masif_ligand.Kripo.test_set,generate_fingerprints_multithreaded,,Long statement,generate_fingerprints,23,/Volumes/BrokeExt/NICHE/LPDI-EPFL_masif/comparison/masif_ligand/Kripo/test_set/generate_fingerprints_multithreaded.py,A line with 282 chars in generate_fingerprints exceeds the maximum length of 120 characters.
LPDI-EPFL_masif.comparison.masif_ligand.Kripo.training_set,generate_fingerprints_multithreaded,,Long statement,generate_fingerprints,25,/Volumes/BrokeExt/NICHE/LPDI-EPFL_masif/comparison/masif_ligand/Kripo/training_set/generate_fingerprints_multithreaded.py,A line with 298 chars in generate_fingerprints exceeds the maximum length of 120 characters.
LPDI-EPFL_masif.comparison.masif_ligand.data.pocket_to_pocket_align,get_split,,Long statement,,1,/Volumes/BrokeExt/NICHE/LPDI-EPFL_masif/comparison/masif_ligand/data/pocket_to_pocket_align/get_split.py,A line with 236 chars in get_split exceeds the maximum length of 120 characters.
LPDI-EPFL_masif.comparison.masif_ppi_search.patchdock,runPatchDockBenchmark,,Long statement,,49,/Volumes/BrokeExt/NICHE/LPDI-EPFL_masif/comparison/masif_ppi_search/patchdock/runPatchDockBenchmark.py,A line with 130 chars in runPatchDockBenchmark exceeds the maximum length of 120 characters.
LPDI-EPFL_masif.comparison.masif_ppi_search.patchdock,runPatchDockBenchmark,,Long statement,,110,/Volumes/BrokeExt/NICHE/LPDI-EPFL_masif/comparison/masif_ppi_search/patchdock/runPatchDockBenchmark.py,A line with 150 chars in runPatchDockBenchmark exceeds the maximum length of 120 characters.
LPDI-EPFL_masif.comparison.masif_ppi_search.zdock,eval_zdock,,Magic number,test_alignment,12,/Volumes/BrokeExt/NICHE/LPDI-EPFL_masif/comparison/masif_ppi_search/zdock/eval_zdock.py,Magic number 10.0 used in test_alignment.
LPDI-EPFL_masif.comparison.masif_ppi_search.zdock,eval_zdock,,Magic number,test_alignment,62,/Volumes/BrokeExt/NICHE/LPDI-EPFL_masif/comparison/masif_ppi_search/zdock/eval_zdock.py,Magic number 1e-08 used in test_alignment.
LPDI-EPFL_masif.comparison.masif_ppi_search.zrank,eval_zrank,,Magic number,test_alignment,12,/Volumes/BrokeExt/NICHE/LPDI-EPFL_masif/comparison/masif_ppi_search/zrank/eval_zrank.py,Magic number 10.0 used in test_alignment.
LPDI-EPFL_masif.comparison.masif_ppi_search.zrank,eval_zrank,,Magic number,test_alignment,62,/Volumes/BrokeExt/NICHE/LPDI-EPFL_masif/comparison/masif_ppi_search/zrank/eval_zrank.py,Magic number 1e-08 used in test_alignment.
LPDI-EPFL_masif.comparison.masif_ppi_search_ub.patchdock,evalPatchDock,,Magic number,test_alignment,11,/Volumes/BrokeExt/NICHE/LPDI-EPFL_masif/comparison/masif_ppi_search_ub/patchdock/evalPatchDock.py,Magic number 10.0 used in test_alignment.
LPDI-EPFL_masif.comparison.masif_ppi_search_ub.patchdock,runPatchDockBenchmark,,Long statement,,53,/Volumes/BrokeExt/NICHE/LPDI-EPFL_masif/comparison/masif_ppi_search_ub/patchdock/runPatchDockBenchmark.py,A line with 130 chars in runPatchDockBenchmark exceeds the maximum length of 120 characters.
LPDI-EPFL_masif.comparison.masif_ppi_search_ub.patchdock,runPatchDockBenchmark,,Long statement,,109,/Volumes/BrokeExt/NICHE/LPDI-EPFL_masif/comparison/masif_ppi_search_ub/patchdock/runPatchDockBenchmark.py,A line with 150 chars in runPatchDockBenchmark exceeds the maximum length of 120 characters.
LPDI-EPFL_masif.comparison.masif_ppi_search_ub.zdock,eval_zdock,,Magic number,test_alignment,12,/Volumes/BrokeExt/NICHE/LPDI-EPFL_masif/comparison/masif_ppi_search_ub/zdock/eval_zdock.py,Magic number 10.0 used in test_alignment.
LPDI-EPFL_masif.comparison.masif_ppi_search_ub.zdock,eval_zdock,,Magic number,test_alignment,62,/Volumes/BrokeExt/NICHE/LPDI-EPFL_masif/comparison/masif_ppi_search_ub/zdock/eval_zdock.py,Magic number 1e-08 used in test_alignment.
LPDI-EPFL_masif.comparison.masif_ppi_search_ub.zdock.util,compute_blocked_res_list,,Long statement,,18,/Volumes/BrokeExt/NICHE/LPDI-EPFL_masif/comparison/masif_ppi_search_ub/zdock/util/compute_blocked_res_list.py,A line with 122 chars in compute_blocked_res_list exceeds the maximum length of 120 characters.
LPDI-EPFL_masif.comparison.masif_ppi_search_ub.zdock.util,compute_blocked_res_list,,Long statement,,32,/Volumes/BrokeExt/NICHE/LPDI-EPFL_masif/comparison/masif_ppi_search_ub/zdock/util/compute_blocked_res_list.py,A line with 134 chars in compute_blocked_res_list exceeds the maximum length of 120 characters.
LPDI-EPFL_masif.comparison.masif_ppi_search_ub.zrank,eval_zrank,,Magic number,test_alignment,12,/Volumes/BrokeExt/NICHE/LPDI-EPFL_masif/comparison/masif_ppi_search_ub/zrank/eval_zrank.py,Magic number 10.0 used in test_alignment.
LPDI-EPFL_masif.comparison.masif_ppi_search_ub.zrank,eval_zrank,,Magic number,test_alignment,62,/Volumes/BrokeExt/NICHE/LPDI-EPFL_masif/comparison/masif_ppi_search_ub/zrank/eval_zrank.py,Magic number 1e-08 used in test_alignment.
LPDI-EPFL_masif.comparison.masif_site.masif_vs_sppider.psiver_pred,make_psiver_pdbs,,Magic number,parse_psiver_raw,13,/Volumes/BrokeExt/NICHE/LPDI-EPFL_masif/comparison/masif_site/masif_vs_sppider/psiver_pred/make_psiver_pdbs.py,Magic number 2 used in parse_psiver_raw.
LPDI-EPFL_masif.comparison.masif_site.masif_vs_sppider.psiver_pred,make_psiver_pdbs,,Magic number,parse_psiver_raw,30,/Volumes/BrokeExt/NICHE/LPDI-EPFL_masif/comparison/masif_site/masif_vs_sppider/psiver_pred/make_psiver_pdbs.py,Magic number 3 used in parse_psiver_raw.
LPDI-EPFL_masif.source.data_preparation,00b-generate_assembly,,Empty catch block,assemble,19,/Volumes/BrokeExt/NICHE/LPDI-EPFL_masif/source/data_preparation/00b-generate_assembly.py,Empty catch block found in assemble.
LPDI-EPFL_masif.source.data_preparation,00c-save_ligand_coords,,Long statement,,32,/Volumes/BrokeExt/NICHE/LPDI-EPFL_masif/source/data_preparation/00c-save_ligand_coords.py,A line with 126 chars in 00c-save_ligand_coords exceeds the maximum length of 120 characters.
LPDI-EPFL_masif.source.data_preparation,00c-save_ligand_coords,,Long statement,,38,/Volumes/BrokeExt/NICHE/LPDI-EPFL_masif/source/data_preparation/00c-save_ligand_coords.py,A line with 129 chars in 00c-save_ligand_coords exceeds the maximum length of 120 characters.
