Package,Module,Class,Function,LOC,CC,PC
Lyken17_pytorch-OpCounter..github.workflows,date_extraction,,func,9,2,1
Lyken17_pytorch-OpCounter.tests,test_conv2d,TestUtils,test_conv2d_no_bias,10,1,0
Lyken17_pytorch-OpCounter.tests,test_conv2d,TestUtils,test_conv2d,10,1,0
Lyken17_pytorch-OpCounter.tests,test_conv2d,TestUtils,test_conv2d_random,17,2,0
Lyken17_pytorch-OpCounter.tests,test_matmul,TestUtils,test_matmul_case2,6,1,0
Lyken17_pytorch-OpCounter.tests,test_matmul,TestUtils,test_matmul_case2,7,2,0
Lyken17_pytorch-OpCounter.tests,test_matmul,TestUtils,test_conv2d,6,1,0
Lyken17_pytorch-OpCounter.tests,test_relu,TestUtils,test_relu,7,1,0
Lyken17_pytorch-OpCounter.tests,test_utils,TestUtils,test_clever_format_returns_formatted_number,5,1,0
Lyken17_pytorch-OpCounter.tests,test_utils,TestUtils,test_clever_format_returns_formatted_numbers,5,1,0
Lyken17_pytorch-OpCounter.thop,fx_profile,,count_clamp,2,1,2
Lyken17_pytorch-OpCounter.thop,fx_profile,,count_mul,2,1,2
Lyken17_pytorch-OpCounter.thop,fx_profile,,count_matmul,6,1,2
Lyken17_pytorch-OpCounter.thop,fx_profile,,count_fn_linear,5,2,2
Lyken17_pytorch-OpCounter.thop,fx_profile,,count_fn_conv2d,14,3,2
Lyken17_pytorch-OpCounter.thop,fx_profile,,count_nn_linear,2,1,3
Lyken17_pytorch-OpCounter.thop,fx_profile,,count_zero_ops,2,1,3
Lyken17_pytorch-OpCounter.thop,fx_profile,,count_nn_conv2d,10,1,3
Lyken17_pytorch-OpCounter.thop,fx_profile,,count_nn_bn2d,5,1,3
Lyken17_pytorch-OpCounter.thop,fx_profile,,null_print,2,1,0
Lyken17_pytorch-OpCounter.thop,fx_profile,,fx_profile,86,15,3
Lyken17_pytorch-OpCounter.thop,onnx_profile,OnnxProfile,__init__,2,1,0
Lyken17_pytorch-OpCounter.thop,onnx_profile,OnnxProfile,calculate_params,10,3,1
Lyken17_pytorch-OpCounter.thop,onnx_profile,OnnxProfile,create_dict,26,8,3
Lyken17_pytorch-OpCounter.thop,onnx_profile,OnnxProfile,nodes_counter,7,1,2
Lyken17_pytorch-OpCounter.thop,onnx_profile,OnnxProfile,calculate_macs,15,2,1
Lyken17_pytorch-OpCounter.thop,profile,,profile_origin,72,22,5
Lyken17_pytorch-OpCounter.thop,profile,,profile,75,15,6
Lyken17_pytorch-OpCounter.thop,rnn_hooks,,_count_rnn_cell,5,2,3
Lyken17_pytorch-OpCounter.thop,rnn_hooks,,count_rnn_cell,5,1,3
