Package,Module,Class,Smell,Function/Method,Line no,File,Details
NVIDIA_tacotron2,audio_processing,,Long parameter list,window_sumsquare,7 - 56,/Volumes/BrokeExt/NICHE/NVIDIA_tacotron2/audio_processing.py,"window_sumsquare has 7 parameters, exceeding the max of 5."
NVIDIA_tacotron2,audio_processing,,Long statement,window_sumsquare,9,/Volumes/BrokeExt/NICHE/NVIDIA_tacotron2/audio_processing.py,A line with 923 chars in window_sumsquare exceeds the maximum length of 120 characters.
NVIDIA_tacotron2,audio_processing,,Long statement,griffin_lim,60,/Volumes/BrokeExt/NICHE/NVIDIA_tacotron2/audio_processing.py,A line with 147 chars in griffin_lim exceeds the maximum length of 120 characters.
NVIDIA_tacotron2,audio_processing,,Magic number,window_sumsquare,7,/Volumes/BrokeExt/NICHE/NVIDIA_tacotron2/audio_processing.py,Magic number 200 used in window_sumsquare.
NVIDIA_tacotron2,audio_processing,,Magic number,window_sumsquare,7,/Volumes/BrokeExt/NICHE/NVIDIA_tacotron2/audio_processing.py,Magic number 800 used in window_sumsquare.
NVIDIA_tacotron2,audio_processing,,Magic number,window_sumsquare,8,/Volumes/BrokeExt/NICHE/NVIDIA_tacotron2/audio_processing.py,Magic number 800 used in window_sumsquare.
NVIDIA_tacotron2,audio_processing,,Magic number,window_sumsquare,49,/Volumes/BrokeExt/NICHE/NVIDIA_tacotron2/audio_processing.py,Magic number 2 used in window_sumsquare.
NVIDIA_tacotron2,audio_processing,,Magic number,griffin_lim,59,/Volumes/BrokeExt/NICHE/NVIDIA_tacotron2/audio_processing.py,Magic number 30 used in griffin_lim.
NVIDIA_tacotron2,audio_processing,,Magic number,dynamic_range_compression,78,/Volumes/BrokeExt/NICHE/NVIDIA_tacotron2/audio_processing.py,Magic number 1e-05 used in dynamic_range_compression.
NVIDIA_tacotron2,data_utils,TextMelLoader,Long statement,__init__,23,/Volumes/BrokeExt/NICHE/NVIDIA_tacotron2/data_utils.py,A line with 177 chars in __init__ exceeds the maximum length of 120 characters.
NVIDIA_tacotron2,data_utils,TextMelLoader,Long statement,get_mel,50,/Volumes/BrokeExt/NICHE/NVIDIA_tacotron2/data_utils.py,A line with 151 chars in get_mel exceeds the maximum length of 120 characters.
NVIDIA_tacotron2,data_utils,TextMelCollate,Long statement,__call__,74,/Volumes/BrokeExt/NICHE/NVIDIA_tacotron2/data_utils.py,A line with 159 chars in __call__ exceeds the maximum length of 120 characters.
