Package,Module,Class,Smell,Function/Method,Line no,File,Details
OUCMachineLearning_OUCML.AutoML.darts-master.cnn,architect,Architect,Long parameter list,step,31 - 37,/Volumes/BrokeExt/NICHE/OUCMachineLearning_OUCML/AutoML/darts-master/cnn/architect.py,"step has 7 parameters, exceeding the max of 5."
OUCMachineLearning_OUCML.AutoML.darts-master.cnn,architect,Architect,Long parameter list,_backward_step_unrolled,43 - 59,/Volumes/BrokeExt/NICHE/OUCMachineLearning_OUCML/AutoML/darts-master/cnn/architect.py,"_backward_step_unrolled has 6 parameters, exceeding the max of 5."
OUCMachineLearning_OUCML.AutoML.darts-master.cnn,architect,Architect,Long statement,__init__,17,/Volumes/BrokeExt/NICHE/OUCMachineLearning_OUCML/AutoML/darts-master/cnn/architect.py,A line with 148 chars in __init__ exceeds the maximum length of 120 characters.
OUCMachineLearning_OUCML.AutoML.darts-master.cnn,architect,Architect,Long statement,_compute_unrolled_model,24,/Volumes/BrokeExt/NICHE/OUCMachineLearning_OUCML/AutoML/darts-master/cnn/architect.py,A line with 126 chars in _compute_unrolled_model exceeds the maximum length of 120 characters.
OUCMachineLearning_OUCML.AutoML.darts-master.cnn,architect,Architect,Magic number,_hessian_vector_product,76,/Volumes/BrokeExt/NICHE/OUCMachineLearning_OUCML/AutoML/darts-master/cnn/architect.py,Magic number 0.01 used in _hessian_vector_product.
OUCMachineLearning_OUCML.AutoML.darts-master.cnn,genotypes,,Long statement,,5,/Volumes/BrokeExt/NICHE/OUCMachineLearning_OUCML/AutoML/darts-master/cnn/genotypes.py,A line with 133 chars in genotypes exceeds the maximum length of 120 characters.
OUCMachineLearning_OUCML.AutoML.darts-master.cnn,genotypes,,Long statement,,16,/Volumes/BrokeExt/NICHE/OUCMachineLearning_OUCML/AutoML/darts-master/cnn/genotypes.py,A line with 511 chars in genotypes exceeds the maximum length of 120 characters.
OUCMachineLearning_OUCML.AutoML.darts-master.cnn,genotypes,,Long statement,,45,/Volumes/BrokeExt/NICHE/OUCMachineLearning_OUCML/AutoML/darts-master/cnn/genotypes.py,A line with 508 chars in genotypes exceeds the maximum length of 120 characters.
OUCMachineLearning_OUCML.AutoML.darts-master.cnn,genotypes,,Long statement,,74,/Volumes/BrokeExt/NICHE/OUCMachineLearning_OUCML/AutoML/darts-master/cnn/genotypes.py,A line with 429 chars in genotypes exceeds the maximum length of 120 characters.
OUCMachineLearning_OUCML.AutoML.darts-master.cnn,genotypes,,Long statement,,75,/Volumes/BrokeExt/NICHE/OUCMachineLearning_OUCML/AutoML/darts-master/cnn/genotypes.py,A line with 429 chars in genotypes exceeds the maximum length of 120 characters.
OUCMachineLearning_OUCML.AutoML.darts-master.cnn,model,Cell,Long parameter list,__init__,10 - 26,/Volumes/BrokeExt/NICHE/OUCMachineLearning_OUCML/AutoML/darts-master/cnn/model.py,"__init__ has 6 parameters, exceeding the max of 5."
OUCMachineLearning_OUCML.AutoML.darts-master.cnn,model,AuxiliaryHeadCIFAR,Long statement,__init__,68,/Volumes/BrokeExt/NICHE/OUCMachineLearning_OUCML/AutoML/darts-master/cnn/model.py,A line with 273 chars in __init__ exceeds the maximum length of 120 characters.
OUCMachineLearning_OUCML.AutoML.darts-master.cnn,model,AuxiliaryHeadImageNet,Long statement,__init__,91,/Volumes/BrokeExt/NICHE/OUCMachineLearning_OUCML/AutoML/darts-master/cnn/model.py,A line with 252 chars in __init__ exceeds the maximum length of 120 characters.
OUCMachineLearning_OUCML.AutoML.darts-master.cnn,model,NetworkImageNet,Long statement,__init__,166,/Volumes/BrokeExt/NICHE/OUCMachineLearning_OUCML/AutoML/darts-master/cnn/model.py,A line with 226 chars in __init__ exceeds the maximum length of 120 characters.
OUCMachineLearning_OUCML.AutoML.darts-master.cnn,model,NetworkImageNet,Long statement,__init__,174,/Volumes/BrokeExt/NICHE/OUCMachineLearning_OUCML/AutoML/darts-master/cnn/model.py,A line with 121 chars in __init__ exceeds the maximum length of 120 characters.
OUCMachineLearning_OUCML.AutoML.darts-master.cnn,model,Cell,Magic number,_compile,30,/Volumes/BrokeExt/NICHE/OUCMachineLearning_OUCML/AutoML/darts-master/cnn/model.py,Magic number 2 used in _compile.
OUCMachineLearning_OUCML.AutoML.darts-master.cnn,model,Cell,Magic number,_compile,36,/Volumes/BrokeExt/NICHE/OUCMachineLearning_OUCML/AutoML/darts-master/cnn/model.py,Magic number 2 used in _compile.
OUCMachineLearning_OUCML.AutoML.darts-master.cnn,model,Cell,Magic number,_compile,36,/Volumes/BrokeExt/NICHE/OUCMachineLearning_OUCML/AutoML/darts-master/cnn/model.py,Magic number 2 used in _compile.
OUCMachineLearning_OUCML.AutoML.darts-master.cnn,model,Cell,Magic number,forward,49,/Volumes/BrokeExt/NICHE/OUCMachineLearning_OUCML/AutoML/darts-master/cnn/model.py,Magic number 2 used in forward.
OUCMachineLearning_OUCML.AutoML.darts-master.cnn,model,Cell,Magic number,forward,47,/Volumes/BrokeExt/NICHE/OUCMachineLearning_OUCML/AutoML/darts-master/cnn/model.py,Magic number 2 used in forward.
OUCMachineLearning_OUCML.AutoML.darts-master.cnn,model,Cell,Magic number,forward,50,/Volumes/BrokeExt/NICHE/OUCMachineLearning_OUCML/AutoML/darts-master/cnn/model.py,Magic number 2 used in forward.
OUCMachineLearning_OUCML.AutoML.darts-master.cnn,model,Cell,Magic number,forward,48,/Volumes/BrokeExt/NICHE/OUCMachineLearning_OUCML/AutoML/darts-master/cnn/model.py,Magic number 2 used in forward.
OUCMachineLearning_OUCML.AutoML.darts-master.cnn,model,NetworkCIFAR,Magic number,__init__,118,/Volumes/BrokeExt/NICHE/OUCMachineLearning_OUCML/AutoML/darts-master/cnn/model.py,Magic number 3 used in __init__.
OUCMachineLearning_OUCML.AutoML.darts-master.cnn,model,NetworkCIFAR,Magic number,__init__,130,/Volumes/BrokeExt/NICHE/OUCMachineLearning_OUCML/AutoML/darts-master/cnn/model.py,Magic number 2 used in __init__.
OUCMachineLearning_OUCML.AutoML.darts-master.cnn,model,NetworkCIFAR,Magic number,__init__,138,/Volumes/BrokeExt/NICHE/OUCMachineLearning_OUCML/AutoML/darts-master/cnn/model.py,Magic number 3 used in __init__.
OUCMachineLearning_OUCML.AutoML.darts-master.cnn,model,NetworkCIFAR,Magic number,__init__,129,/Volumes/BrokeExt/NICHE/OUCMachineLearning_OUCML/AutoML/darts-master/cnn/model.py,Magic number 3 used in __init__.
OUCMachineLearning_OUCML.AutoML.darts-master.cnn,model,NetworkCIFAR,Magic number,__init__,129,/Volumes/BrokeExt/NICHE/OUCMachineLearning_OUCML/AutoML/darts-master/cnn/model.py,Magic number 3 used in __init__.
OUCMachineLearning_OUCML.AutoML.darts-master.cnn,model,NetworkCIFAR,Magic number,__init__,138,/Volumes/BrokeExt/NICHE/OUCMachineLearning_OUCML/AutoML/darts-master/cnn/model.py,Magic number 2 used in __init__.
OUCMachineLearning_OUCML.AutoML.darts-master.cnn,model,NetworkCIFAR,Magic number,__init__,129,/Volumes/BrokeExt/NICHE/OUCMachineLearning_OUCML/AutoML/darts-master/cnn/model.py,Magic number 2 used in __init__.
OUCMachineLearning_OUCML.AutoML.darts-master.cnn,model,NetworkCIFAR,Magic number,forward,151,/Volumes/BrokeExt/NICHE/OUCMachineLearning_OUCML/AutoML/darts-master/cnn/model.py,Magic number 3 used in forward.
OUCMachineLearning_OUCML.AutoML.darts-master.cnn,model,NetworkCIFAR,Magic number,forward,151,/Volumes/BrokeExt/NICHE/OUCMachineLearning_OUCML/AutoML/darts-master/cnn/model.py,Magic number 2 used in forward.
OUCMachineLearning_OUCML.AutoML.darts-master.cnn,model,NetworkImageNet,Magic number,__init__,186,/Volumes/BrokeExt/NICHE/OUCMachineLearning_OUCML/AutoML/darts-master/cnn/model.py,Magic number 2 used in __init__.
OUCMachineLearning_OUCML.AutoML.darts-master.cnn,model,NetworkImageNet,Magic number,__init__,194,/Volumes/BrokeExt/NICHE/OUCMachineLearning_OUCML/AutoML/darts-master/cnn/model.py,Magic number 3 used in __init__.
OUCMachineLearning_OUCML.AutoML.darts-master.cnn,model,NetworkImageNet,Magic number,__init__,185,/Volumes/BrokeExt/NICHE/OUCMachineLearning_OUCML/AutoML/darts-master/cnn/model.py,Magic number 3 used in __init__.
OUCMachineLearning_OUCML.AutoML.darts-master.cnn,model,NetworkImageNet,Magic number,__init__,185,/Volumes/BrokeExt/NICHE/OUCMachineLearning_OUCML/AutoML/darts-master/cnn/model.py,Magic number 3 used in __init__.
OUCMachineLearning_OUCML.AutoML.darts-master.cnn,model,NetworkImageNet,Magic number,__init__,194,/Volumes/BrokeExt/NICHE/OUCMachineLearning_OUCML/AutoML/darts-master/cnn/model.py,Magic number 2 used in __init__.
OUCMachineLearning_OUCML.AutoML.darts-master.cnn,model,NetworkImageNet,Magic number,__init__,185,/Volumes/BrokeExt/NICHE/OUCMachineLearning_OUCML/AutoML/darts-master/cnn/model.py,Magic number 2 used in __init__.
OUCMachineLearning_OUCML.AutoML.darts-master.cnn,model,NetworkImageNet,Magic number,forward,208,/Volumes/BrokeExt/NICHE/OUCMachineLearning_OUCML/AutoML/darts-master/cnn/model.py,Magic number 3 used in forward.
OUCMachineLearning_OUCML.AutoML.darts-master.cnn,model,NetworkImageNet,Magic number,forward,208,/Volumes/BrokeExt/NICHE/OUCMachineLearning_OUCML/AutoML/darts-master/cnn/model.py,Magic number 2 used in forward.
OUCMachineLearning_OUCML.AutoML.darts-master.cnn,model_search,Network,Long Lambda Function,genotype,142,/Volumes/BrokeExt/NICHE/OUCMachineLearning_OUCML/AutoML/darts-master/cnn/model_search.py,A Lambda with 91 chars in genotype exceeds the maximum length of 80 characters.
OUCMachineLearning_OUCML.AutoML.darts-master.cnn,model_search,Cell,Long parameter list,__init__,27 - 45,/Volumes/BrokeExt/NICHE/OUCMachineLearning_OUCML/AutoML/darts-master/cnn/model_search.py,"__init__ has 7 parameters, exceeding the max of 5."
OUCMachineLearning_OUCML.AutoML.darts-master.cnn,model_search,Network,Long parameter list,__init__,63 - 95,/Volumes/BrokeExt/NICHE/OUCMachineLearning_OUCML/AutoML/darts-master/cnn/model_search.py,"__init__ has 7 parameters, exceeding the max of 5."
OUCMachineLearning_OUCML.AutoML.darts-master.cnn,model_search,Network,Long statement,genotype,142,/Volumes/BrokeExt/NICHE/OUCMachineLearning_OUCML/AutoML/darts-master/cnn/model_search.py,A line with 131 chars in genotype exceeds the maximum length of 120 characters.
OUCMachineLearning_OUCML.AutoML.darts-master.cnn,model_search,Cell,Magic number,__init__,43,/Volumes/BrokeExt/NICHE/OUCMachineLearning_OUCML/AutoML/darts-master/cnn/model_search.py,Magic number 2 used in __init__.
OUCMachineLearning_OUCML.AutoML.darts-master.cnn,model_search,Cell,Magic number,__init__,43,/Volumes/BrokeExt/NICHE/OUCMachineLearning_OUCML/AutoML/darts-master/cnn/model_search.py,Magic number 2 used in __init__.
OUCMachineLearning_OUCML.AutoML.darts-master.cnn,model_search,Network,Magic number,__init__,63,/Volumes/BrokeExt/NICHE/OUCMachineLearning_OUCML/AutoML/darts-master/cnn/model_search.py,Magic number 4 used in __init__.
OUCMachineLearning_OUCML.AutoML.darts-master.cnn,model_search,Network,Magic number,__init__,63,/Volumes/BrokeExt/NICHE/OUCMachineLearning_OUCML/AutoML/darts-master/cnn/model_search.py,Magic number 4 used in __init__.
OUCMachineLearning_OUCML.AutoML.darts-master.cnn,model_search,Network,Magic number,__init__,63,/Volumes/BrokeExt/NICHE/OUCMachineLearning_OUCML/AutoML/darts-master/cnn/model_search.py,Magic number 3 used in __init__.
OUCMachineLearning_OUCML.AutoML.darts-master.cnn,model_search,Network,Magic number,__init__,83,/Volumes/BrokeExt/NICHE/OUCMachineLearning_OUCML/AutoML/darts-master/cnn/model_search.py,Magic number 2 used in __init__.
OUCMachineLearning_OUCML.AutoML.darts-master.cnn,model_search,Network,Magic number,__init__,82,/Volumes/BrokeExt/NICHE/OUCMachineLearning_OUCML/AutoML/darts-master/cnn/model_search.py,Magic number 3 used in __init__.
