Package,Module,Class,Smell,Function/Method,Line no,File,Details
PacktPublishing_Advanced-Deep-Learning-with-Keras.chapter1-keras-quick-tour,cnn-mnist-1.4.1,,Long statement,,1,/Volumes/BrokeExt/NICHE/PacktPublishing_Advanced-Deep-Learning-with-Keras/chapter1-keras-quick-tour/cnn-mnist-1.4.1.py,A line with 332 chars in cnn-mnist-1.4.1 exceeds the maximum length of 120 characters.
PacktPublishing_Advanced-Deep-Learning-with-Keras.chapter1-keras-quick-tour,mlp-mnist-1.3.2,,Long statement,,1,/Volumes/BrokeExt/NICHE/PacktPublishing_Advanced-Deep-Learning-with-Keras/chapter1-keras-quick-tour/mlp-mnist-1.3.2.py,A line with 158 chars in mlp-mnist-1.3.2 exceeds the maximum length of 120 characters.
PacktPublishing_Advanced-Deep-Learning-with-Keras.chapter1-keras-quick-tour,mnist-sampler-1.3.1,,Long statement,,1,/Volumes/BrokeExt/NICHE/PacktPublishing_Advanced-Deep-Learning-with-Keras/chapter1-keras-quick-tour/mnist-sampler-1.3.1.py,A line with 141 chars in mnist-sampler-1.3.1 exceeds the maximum length of 120 characters.
PacktPublishing_Advanced-Deep-Learning-with-Keras.chapter1-keras-quick-tour,rnn-mnist-1.5.1,,Long statement,,1,/Volumes/BrokeExt/NICHE/PacktPublishing_Advanced-Deep-Learning-with-Keras/chapter1-keras-quick-tour/rnn-mnist-1.5.1.py,A line with 144 chars in rnn-mnist-1.5.1 exceeds the maximum length of 120 characters.
PacktPublishing_Advanced-Deep-Learning-with-Keras.chapter10-policy,policygradient-car-10.1.1,,Complex method,setup_files,670 - 710,/Volumes/BrokeExt/NICHE/PacktPublishing_Advanced-Deep-Learning-with-Keras/chapter10-policy/policygradient-car-10.1.1.py,"Method 'setup_files' has a cyclomatic complexity of 7, exceeding the max of 6."
PacktPublishing_Advanced-Deep-Learning-with-Keras.chapter10-policy,policygradient-car-10.1.1,,Complex method,setup_agent,714 - 753,/Volumes/BrokeExt/NICHE/PacktPublishing_Advanced-Deep-Learning-with-Keras/chapter10-policy/policygradient-car-10.1.1.py,"Method 'setup_agent' has a cyclomatic complexity of 7, exceeding the max of 6."
PacktPublishing_Advanced-Deep-Learning-with-Keras.chapter10-policy,policygradient-car-10.1.1,PolicyAgent,Long method,build_actor_critic,197 - 265,/Volumes/BrokeExt/NICHE/PacktPublishing_Advanced-Deep-Learning-with-Keras/chapter10-policy/policygradient-car-10.1.1.py,Method 'build_actor_critic' is too long (52 lines).
PacktPublishing_Advanced-Deep-Learning-with-Keras.chapter10-policy,policygradient-car-10.1.1,,Long statement,softplusk,42,/Volumes/BrokeExt/NICHE/PacktPublishing_Advanced-Deep-Learning-with-Keras/chapter10-policy/policygradient-car-10.1.1.py,A line with 155 chars in softplusk exceeds the maximum length of 120 characters.
PacktPublishing_Advanced-Deep-Learning-with-Keras.chapter10-policy,policygradient-car-10.1.1,,Long statement,setup_agent,715,/Volumes/BrokeExt/NICHE/PacktPublishing_Advanced-Deep-Learning-with-Keras/chapter10-policy/policygradient-car-10.1.1.py,A line with 125 chars in setup_agent exceeds the maximum length of 120 characters.
PacktPublishing_Advanced-Deep-Learning-with-Keras.chapter10-policy,policygradient-car-10.1.1,,Long statement,setup_writer,757,/Volumes/BrokeExt/NICHE/PacktPublishing_Advanced-Deep-Learning-with-Keras/chapter10-policy/policygradient-car-10.1.1.py,A line with 151 chars in setup_writer exceeds the maximum length of 120 characters.
PacktPublishing_Advanced-Deep-Learning-with-Keras.chapter10-policy,policygradient-car-10.1.1,PolicyAgent,Long statement,__init__,52,/Volumes/BrokeExt/NICHE/PacktPublishing_Advanced-Deep-Learning-with-Keras/chapter10-policy/policygradient-car-10.1.1.py,A line with 156 chars in __init__ exceeds the maximum length of 120 characters.
PacktPublishing_Advanced-Deep-Learning-with-Keras.chapter10-policy,policygradient-car-10.1.1,PolicyAgent,Long statement,action,88,/Volumes/BrokeExt/NICHE/PacktPublishing_Advanced-Deep-Learning-with-Keras/chapter10-policy/policygradient-car-10.1.1.py,A line with 318 chars in action exceeds the maximum length of 120 characters.
PacktPublishing_Advanced-Deep-Learning-with-Keras.chapter10-policy,policygradient-car-10.1.1,PolicyAgent,Long statement,logp,107,/Volumes/BrokeExt/NICHE/PacktPublishing_Advanced-Deep-Learning-with-Keras/chapter10-policy/policygradient-car-10.1.1.py,A line with 243 chars in logp exceeds the maximum length of 120 characters.
PacktPublishing_Advanced-Deep-Learning-with-Keras.chapter10-policy,policygradient-car-10.1.1,PolicyAgent,Long statement,entropy,121,/Volumes/BrokeExt/NICHE/PacktPublishing_Advanced-Deep-Learning-with-Keras/chapter10-policy/policygradient-car-10.1.1.py,A line with 212 chars in entropy exceeds the maximum length of 120 characters.
PacktPublishing_Advanced-Deep-Learning-with-Keras.chapter10-policy,policygradient-car-10.1.1,PolicyAgent,Long statement,train_autoencoder,182,/Volumes/BrokeExt/NICHE/PacktPublishing_Advanced-Deep-Learning-with-Keras/chapter10-policy/policygradient-car-10.1.1.py,A line with 232 chars in train_autoencoder exceeds the maximum length of 120 characters.
