Package,Module,Class,Smell,Function/Method,Line no,File,Details
ShangtongZhang_DeepRL,setup,,Long statement,,8,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/setup.py,A line with 324 chars in setup exceeds the maximum length of 120 characters.
ShangtongZhang_DeepRL,template_jobs,,Long method,batch_mujoco,52 - 114,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/template_jobs.py,Method 'batch_mujoco' is too long (57 lines).
ShangtongZhang_DeepRL,template_jobs,,Long statement,batch_atari,17,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/template_jobs.py,A line with 149 chars in batch_atari exceeds the maximum length of 120 characters.
ShangtongZhang_DeepRL,template_jobs,,Long statement,batch_mujoco,58,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/template_jobs.py,A line with 615 chars in batch_mujoco exceeds the maximum length of 120 characters.
ShangtongZhang_DeepRL,template_jobs,,Long statement,batch_mujoco,89,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/template_jobs.py,A line with 129 chars in batch_mujoco exceeds the maximum length of 120 characters.
ShangtongZhang_DeepRL,template_plot,,Long statement,plot_ppo,10,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/template_plot.py,A line with 129 chars in plot_ppo exceeds the maximum length of 120 characters.
ShangtongZhang_DeepRL,template_plot,,Long statement,plot_ppo,29,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/template_plot.py,A line with 198 chars in plot_ppo exceeds the maximum length of 120 characters.
ShangtongZhang_DeepRL,template_plot,,Long statement,plot_ddpg_td3,67,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/template_plot.py,A line with 194 chars in plot_ddpg_td3 exceeds the maximum length of 120 characters.
ShangtongZhang_DeepRL,template_plot,,Long statement,plot_atari,90,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/template_plot.py,A line with 139 chars in plot_atari exceeds the maximum length of 120 characters.
ShangtongZhang_DeepRL,template_plot,,Long statement,plot_atari,112,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/template_plot.py,A line with 198 chars in plot_atari exceeds the maximum length of 120 characters.
ShangtongZhang_DeepRL.deep_rl.agent,A2C_agent,A2CAgent,Magic number,step,57,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/deep_rl/agent/A2C_agent.py,Magic number 0.5 used in step.
ShangtongZhang_DeepRL.deep_rl.agent,BaseAgent,BaseAgent,Long statement,eval_episodes,54,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/deep_rl/agent/BaseAgent.py,A line with 172 chars in eval_episodes exceeds the maximum length of 120 characters.
ShangtongZhang_DeepRL.deep_rl.agent,BaseAgent,BaseActor,Magic number,__init__,125,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/deep_rl/agent/BaseAgent.py,Magic number 2 used in __init__.
ShangtongZhang_DeepRL.deep_rl.agent,CategoricalDQN_agent,CategoricalDQNAgent,Long statement,compute_loss,78,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/deep_rl/agent/CategoricalDQN_agent.py,A line with 130 chars in compute_loss exceeds the maximum length of 120 characters.
ShangtongZhang_DeepRL.deep_rl.agent,DDPG_agent,DDPGAgent,Long method,step,39 - 101,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/deep_rl/agent/DDPG_agent.py,Method 'step' is too long (59 lines).
ShangtongZhang_DeepRL.deep_rl.agent,DDPG_agent,DDPGAgent,Long statement,step,58,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/deep_rl/agent/DDPG_agent.py,A line with 138 chars in step exceeds the maximum length of 120 characters.
ShangtongZhang_DeepRL.deep_rl.agent,DQN_agent,DQNAgent,Long statement,step,107,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/deep_rl/agent/DQN_agent.py,A line with 221 chars in step exceeds the maximum length of 120 characters.
ShangtongZhang_DeepRL.deep_rl.agent,NStepDQN_agent,NStepDQNAgent,Long statement,step,41,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/deep_rl/agent/NStepDQN_agent.py,A line with 167 chars in step exceeds the maximum length of 120 characters.
ShangtongZhang_DeepRL.deep_rl.agent,NStepDQN_agent,NStepDQNAgent,Magic number,step,63,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/deep_rl/agent/NStepDQN_agent.py,Magic number 0.5 used in step.
ShangtongZhang_DeepRL.deep_rl.agent,OptionCritic_agent,OptionCriticAgent,Long method,step,51 - 118,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/deep_rl/agent/OptionCritic_agent.py,Method 'step' is too long (62 lines).
ShangtongZhang_DeepRL.deep_rl.agent,OptionCritic_agent,OptionCriticAgent,Long statement,step,70,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/deep_rl/agent/OptionCritic_agent.py,A line with 347 chars in step exceeds the maximum length of 120 characters.
ShangtongZhang_DeepRL.deep_rl.agent,OptionCritic_agent,OptionCriticAgent,Long statement,step,91,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/deep_rl/agent/OptionCritic_agent.py,A line with 132 chars in step exceeds the maximum length of 120 characters.
ShangtongZhang_DeepRL.deep_rl.agent,OptionCritic_agent,OptionCriticAgent,Long statement,step,101,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/deep_rl/agent/OptionCritic_agent.py,A line with 138 chars in step exceeds the maximum length of 120 characters.
ShangtongZhang_DeepRL.deep_rl.agent,OptionCritic_agent,OptionCriticAgent,Long statement,step,106,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/deep_rl/agent/OptionCritic_agent.py,A line with 148 chars in step exceeds the maximum length of 120 characters.
ShangtongZhang_DeepRL.deep_rl.agent,OptionCritic_agent,OptionCriticAgent,Long statement,step,110,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/deep_rl/agent/OptionCritic_agent.py,A line with 131 chars in step exceeds the maximum length of 120 characters.
ShangtongZhang_DeepRL.deep_rl.agent,OptionCritic_agent,OptionCriticAgent,Long statement,step,113,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/deep_rl/agent/OptionCritic_agent.py,A line with 127 chars in step exceeds the maximum length of 120 characters.
ShangtongZhang_DeepRL.deep_rl.agent,PPO_agent,PPOAgent,Complex method,step,29 - 99,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/deep_rl/agent/PPO_agent.py,"Method 'step' has a cyclomatic complexity of 9, exceeding the max of 6."
ShangtongZhang_DeepRL.deep_rl.agent,PPO_agent,PPOAgent,Long method,step,29 - 99,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/deep_rl/agent/PPO_agent.py,Method 'step' is too long (66 lines).
ShangtongZhang_DeepRL.deep_rl.agent,PPO_agent,PPOAgent,Long statement,step,40,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/deep_rl/agent/PPO_agent.py,A line with 133 chars in step exceeds the maximum length of 120 characters.
ShangtongZhang_DeepRL.deep_rl.agent,PPO_agent,PPOAgent,Magic number,step,84,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/deep_rl/agent/PPO_agent.py,Magic number 0.5 used in step.
ShangtongZhang_DeepRL.deep_rl.agent,PPO_agent,PPOAgent,Magic number,step,93,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/deep_rl/agent/PPO_agent.py,Magic number 1.5 used in step.
ShangtongZhang_DeepRL.deep_rl.agent,QuantileRegressionDQN_agent,QuantileRegressionDQNAgent,Long statement,__init__,44,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/deep_rl/agent/QuantileRegressionDQN_agent.py,A line with 135 chars in __init__ exceeds the maximum length of 120 characters.
ShangtongZhang_DeepRL.deep_rl.agent,TD3_agent,TD3Agent,Long method,step,39 - 106,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/deep_rl/agent/TD3_agent.py,Method 'step' is too long (64 lines).
ShangtongZhang_DeepRL.deep_rl.agent,TD3_agent,TD3Agent,Long statement,step,58,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/deep_rl/agent/TD3_agent.py,A line with 138 chars in step exceeds the maximum length of 120 characters.
ShangtongZhang_DeepRL.deep_rl.component,envs,Task,Long parameter list,__init__,154 - 181,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/deep_rl/component/envs.py,"__init__ has 6 parameters, exceeding the max of 5."
ShangtongZhang_DeepRL.deep_rl.component,envs,TransposeImage,Long statement,__init__,81,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/deep_rl/component/envs.py,A line with 187 chars in __init__ exceeds the maximum length of 120 characters.
ShangtongZhang_DeepRL.deep_rl.component,envs,LazyFrames,Long statement,__init__,94,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/deep_rl/component/envs.py,A line with 366 chars in __init__ exceeds the maximum length of 120 characters.
ShangtongZhang_DeepRL.deep_rl.component,envs,,Magic number,make_env,49,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/deep_rl/component/envs.py,Magic number 3 used in make_env.
ShangtongZhang_DeepRL.deep_rl.component,random_process,OrnsteinUhlenbeckProcess,Long statement,sample,35,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/deep_rl/component/random_process.py,A line with 138 chars in sample exceeds the maximum length of 120 characters.
ShangtongZhang_DeepRL.deep_rl.component,random_process,OrnsteinUhlenbeckProcess,Magic number,__init__,25,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/deep_rl/component/random_process.py,Magic number 0.15 used in __init__.
ShangtongZhang_DeepRL.deep_rl.component,random_process,OrnsteinUhlenbeckProcess,Magic number,__init__,25,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/deep_rl/component/random_process.py,Magic number 0.01 used in __init__.
ShangtongZhang_DeepRL.deep_rl.network,network_bodies,FCBody,Long statement,__init__,58,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/deep_rl/network/network_bodies.py,A line with 122 chars in __init__ exceeds the maximum length of 120 characters.
ShangtongZhang_DeepRL.deep_rl.network,network_bodies,NatureConvBody,Magic number,__init__,11,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/deep_rl/network/network_bodies.py,Magic number 4 used in __init__.
ShangtongZhang_DeepRL.deep_rl.network,network_bodies,NatureConvBody,Magic number,__init__,13,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/deep_rl/network/network_bodies.py,Magic number 512 used in __init__.
ShangtongZhang_DeepRL.deep_rl.network,network_bodies,DDPGConvBody,Magic number,__init__,37,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/deep_rl/network/network_bodies.py,Magic number 4 used in __init__.
ShangtongZhang_DeepRL.deep_rl.network,network_bodies,DDPGConvBody,Magic number,__init__,39,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/deep_rl/network/network_bodies.py,Magic number 32 used in __init__.
ShangtongZhang_DeepRL.deep_rl.network,network_bodies,DDPGConvBody,Magic number,__init__,39,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/deep_rl/network/network_bodies.py,Magic number 39 used in __init__.
ShangtongZhang_DeepRL.deep_rl.network,network_bodies,DDPGConvBody,Magic number,__init__,39,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/deep_rl/network/network_bodies.py,Magic number 39 used in __init__.
ShangtongZhang_DeepRL.deep_rl.network,network_bodies,FCBody,Magic number,__init__,51,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/deep_rl/network/network_bodies.py,Magic number 64 used in __init__.
ShangtongZhang_DeepRL.deep_rl.network,network_bodies,FCBody,Magic number,__init__,51,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/deep_rl/network/network_bodies.py,Magic number 64 used in __init__.
ShangtongZhang_DeepRL.deep_rl.network,network_heads,DeterministicActorCriticNet,Long parameter list,__init__,131 - 155,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/deep_rl/network/network_heads.py,"__init__ has 7 parameters, exceeding the max of 5."
ShangtongZhang_DeepRL.deep_rl.network,network_heads,TD3Net,Long statement,__init__,276,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/deep_rl/network/network_heads.py,A line with 180 chars in __init__ exceeds the maximum length of 120 characters.
ShangtongZhang_DeepRL.deep_rl.network,network_utils,NoisyLinear,Magic number,__init__,32,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/deep_rl/network/network_utils.py,Magic number 0.4 used in __init__.
ShangtongZhang_DeepRL.deep_rl.utils,config,Config,Long method,__init__,17 - 68,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/deep_rl/utils/config.py,Method '__init__' is too long (52 lines).
ShangtongZhang_DeepRL.deep_rl.utils,config,Config,Magic number,__init__,40,/Volumes/BrokeExt/NICHE/ShangtongZhang_DeepRL/deep_rl/utils/config.py,Magic number 0.001 used in __init__.
