Package,Module,Class,Smell,Function/Method,Line no,File,Details
aisolab_nlp_classification.A_Structured_Self-attentive_Sentence_Embedding_cls,build_dataset,,Long statement,,21,/Volumes/BrokeExt/NICHE/aisolab_nlp_classification/A_Structured_Self-attentive_Sentence_Embedding_cls/build_dataset.py,A line with 145 chars in build_dataset exceeds the maximum length of 120 characters.
aisolab_nlp_classification.A_Structured_Self-attentive_Sentence_Embedding_cls,evaluate,,Long statement,main,36,/Volumes/BrokeExt/NICHE/aisolab_nlp_classification/A_Structured_Self-attentive_Sentence_Embedding_cls/evaluate.py,A line with 192 chars in main exceeds the maximum length of 120 characters.
aisolab_nlp_classification.A_Structured_Self-attentive_Sentence_Embedding_cls,train,,Complex method,main,42 - 127,/Volumes/BrokeExt/NICHE/aisolab_nlp_classification/A_Structured_Self-attentive_Sentence_Embedding_cls/train.py,"Method 'main' has a cyclomatic complexity of 7, exceeding the max of 6."
aisolab_nlp_classification.A_Structured_Self-attentive_Sentence_Embedding_cls,train,,Long method,main,42 - 127,/Volumes/BrokeExt/NICHE/aisolab_nlp_classification/A_Structured_Self-attentive_Sentence_Embedding_cls/train.py,Method 'main' is too long (79 lines).
aisolab_nlp_classification.A_Structured_Self-attentive_Sentence_Embedding_cls,train,,Long statement,main,61,/Volumes/BrokeExt/NICHE/aisolab_nlp_classification/A_Structured_Self-attentive_Sentence_Embedding_cls/train.py,A line with 192 chars in main exceeds the maximum length of 120 characters.
aisolab_nlp_classification.A_Structured_Self-attentive_Sentence_Embedding_cls,train,,Long statement,main,110,/Volumes/BrokeExt/NICHE/aisolab_nlp_classification/A_Structured_Self-attentive_Sentence_Embedding_cls/train.py,A line with 177 chars in main exceeds the maximum length of 120 characters.
aisolab_nlp_classification.A_Structured_Self-attentive_Sentence_Embedding_cls,train,,Magic number,main,73,/Volumes/BrokeExt/NICHE/aisolab_nlp_classification/A_Structured_Self-attentive_Sentence_Embedding_cls/train.py,Magic number 10000000000.0 used in main.
aisolab_nlp_classification.A_Structured_Self-attentive_Sentence_Embedding_cls,utils,Config,Long statement,__init__,11,/Volumes/BrokeExt/NICHE/aisolab_nlp_classification/A_Structured_Self-attentive_Sentence_Embedding_cls/utils.py,A line with 158 chars in __init__ exceeds the maximum length of 120 characters.
aisolab_nlp_classification.A_Structured_Self-attentive_Sentence_Embedding_cls,utils,Config,Long statement,update,31,/Volumes/BrokeExt/NICHE/aisolab_nlp_classification/A_Structured_Self-attentive_Sentence_Embedding_cls/utils.py,A line with 156 chars in update exceeds the maximum length of 120 characters.
aisolab_nlp_classification.A_Structured_Self-attentive_Sentence_Embedding_cls,utils,CheckpointManager,Long statement,__init__,51,/Volumes/BrokeExt/NICHE/aisolab_nlp_classification/A_Structured_Self-attentive_Sentence_Embedding_cls/utils.py,A line with 146 chars in __init__ exceeds the maximum length of 120 characters.
