Package,Module,Class,Smell,Function/Method,Line no,File,Details
bethgelab_siamese-mask-rcnn.lib,config,Config,Magic number,__init__,255,/Volumes/BrokeExt/NICHE/bethgelab_siamese-mask-rcnn/lib/config.py,Magic number 4 used in __init__.
bethgelab_siamese-mask-rcnn.lib,config,Config,Magic number,__init__,255,/Volumes/BrokeExt/NICHE/bethgelab_siamese-mask-rcnn/lib/config.py,Magic number 3 used in __init__.
bethgelab_siamese-mask-rcnn.lib,config,Config,Magic number,__init__,255,/Volumes/BrokeExt/NICHE/bethgelab_siamese-mask-rcnn/lib/config.py,Magic number 3 used in __init__.
bethgelab_siamese-mask-rcnn.lib,model,SiameseMaskRCNN,Complex method,build,226 - 486,/Volumes/BrokeExt/NICHE/bethgelab_siamese-mask-rcnn/lib/model.py,"Method 'build' has a cyclomatic complexity of 22, exceeding the max of 6."
bethgelab_siamese-mask-rcnn.lib,model,SiameseMaskRCNN,Complex method,compile,489 - 538,/Volumes/BrokeExt/NICHE/bethgelab_siamese-mask-rcnn/lib/model.py,"Method 'compile' has a cyclomatic complexity of 7, exceeding the max of 6."
bethgelab_siamese-mask-rcnn.lib,model,SiameseMaskRCNN,Complex method,set_trainable,541 - 573,/Volumes/BrokeExt/NICHE/bethgelab_siamese-mask-rcnn/lib/model.py,"Method 'set_trainable' has a cyclomatic complexity of 9, exceeding the max of 6."
bethgelab_siamese-mask-rcnn.lib,model,SiameseMaskRCNN,Complex method,detect,712 - 800,/Volumes/BrokeExt/NICHE/bethgelab_siamese-mask-rcnn/lib/model.py,"Method 'detect' has a cyclomatic complexity of 8, exceeding the max of 6."
bethgelab_siamese-mask-rcnn.lib,model,SiameseMaskRCNN,Long method,build,226 - 486,/Volumes/BrokeExt/NICHE/bethgelab_siamese-mask-rcnn/lib/model.py,Method 'build' is too long (214 lines).
bethgelab_siamese-mask-rcnn.lib,model,SiameseMaskRCNN,Long method,train,620 - 709,/Volumes/BrokeExt/NICHE/bethgelab_siamese-mask-rcnn/lib/model.py,Method 'train' is too long (50 lines).
bethgelab_siamese-mask-rcnn.lib,model,SiameseMaskRCNN,Long method,detect,712 - 800,/Volumes/BrokeExt/NICHE/bethgelab_siamese-mask-rcnn/lib/model.py,Method 'detect' is too long (64 lines).
bethgelab_siamese-mask-rcnn.lib,model,,Long parameter list,fpn_classifier_graph,95 - 146,/Volumes/BrokeExt/NICHE/bethgelab_siamese-mask-rcnn/lib/model.py,"fpn_classifier_graph has 7 parameters, exceeding the max of 5."
bethgelab_siamese-mask-rcnn.lib,model,,Long parameter list,fpn_mask_graph,149 - 198,/Volumes/BrokeExt/NICHE/bethgelab_siamese-mask-rcnn/lib/model.py,"fpn_mask_graph has 6 parameters, exceeding the max of 5."
bethgelab_siamese-mask-rcnn.lib,model,SiameseMaskRCNN,Long parameter list,train,620 - 709,/Volumes/BrokeExt/NICHE/bethgelab_siamese-mask-rcnn/lib/model.py,"train has 6 parameters, exceeding the max of 5."
bethgelab_siamese-mask-rcnn.lib,model,,Long statement,fpn_graph,63,/Volumes/BrokeExt/NICHE/bethgelab_siamese-mask-rcnn/lib/model.py,A line with 162 chars in fpn_graph exceeds the maximum length of 120 characters.
bethgelab_siamese-mask-rcnn.lib,model,,Long statement,fpn_graph,66,/Volumes/BrokeExt/NICHE/bethgelab_siamese-mask-rcnn/lib/model.py,A line with 162 chars in fpn_graph exceeds the maximum length of 120 characters.
bethgelab_siamese-mask-rcnn.lib,model,,Long statement,fpn_graph,69,/Volumes/BrokeExt/NICHE/bethgelab_siamese-mask-rcnn/lib/model.py,A line with 162 chars in fpn_graph exceeds the maximum length of 120 characters.
bethgelab_siamese-mask-rcnn.lib,model,,Long statement,fpn_classifier_graph,97,/Volumes/BrokeExt/NICHE/bethgelab_siamese-mask-rcnn/lib/model.py,A line with 898 chars in fpn_classifier_graph exceeds the maximum length of 120 characters.
bethgelab_siamese-mask-rcnn.lib,model,,Long statement,fpn_mask_graph,151,/Volumes/BrokeExt/NICHE/bethgelab_siamese-mask-rcnn/lib/model.py,A line with 689 chars in fpn_mask_graph exceeds the maximum length of 120 characters.
bethgelab_siamese-mask-rcnn.lib,model,,Long statement,mrcnn_class_loss_graph,201,/Volumes/BrokeExt/NICHE/bethgelab_siamese-mask-rcnn/lib/model.py,A line with 392 chars in mrcnn_class_loss_graph exceeds the maximum length of 120 characters.
bethgelab_siamese-mask-rcnn.lib,model,SiameseMaskRCNN,Long statement,build,227,/Volumes/BrokeExt/NICHE/bethgelab_siamese-mask-rcnn/lib/model.py,A line with 224 chars in build exceeds the maximum length of 120 characters.
bethgelab_siamese-mask-rcnn.lib,model,SiameseMaskRCNN,Long statement,build,237,/Volumes/BrokeExt/NICHE/bethgelab_siamese-mask-rcnn/lib/model.py,A line with 171 chars in build exceeds the maximum length of 120 characters.
bethgelab_siamese-mask-rcnn.lib,model,SiameseMaskRCNN,Long statement,build,272,/Volumes/BrokeExt/NICHE/bethgelab_siamese-mask-rcnn/lib/model.py,A line with 128 chars in build exceeds the maximum length of 120 characters.
bethgelab_siamese-mask-rcnn.lib,model,SiameseMaskRCNN,Long statement,build,303,/Volumes/BrokeExt/NICHE/bethgelab_siamese-mask-rcnn/lib/model.py,A line with 132 chars in build exceeds the maximum length of 120 characters.
bethgelab_siamese-mask-rcnn.lib,model,SiameseMaskRCNN,Long statement,build,337,/Volumes/BrokeExt/NICHE/bethgelab_siamese-mask-rcnn/lib/model.py,A line with 129 chars in build exceeds the maximum length of 120 characters.
bethgelab_siamese-mask-rcnn.lib,model,SiameseMaskRCNN,Long statement,build,359,/Volumes/BrokeExt/NICHE/bethgelab_siamese-mask-rcnn/lib/model.py,A line with 163 chars in build exceeds the maximum length of 120 characters.
bethgelab_siamese-mask-rcnn.lib,model,SiameseMaskRCNN,Long statement,build,386,/Volumes/BrokeExt/NICHE/bethgelab_siamese-mask-rcnn/lib/model.py,A line with 176 chars in build exceeds the maximum length of 120 characters.
bethgelab_siamese-mask-rcnn.lib,model,SiameseMaskRCNN,Long statement,build,394,/Volumes/BrokeExt/NICHE/bethgelab_siamese-mask-rcnn/lib/model.py,A line with 221 chars in build exceeds the maximum length of 120 characters.
bethgelab_siamese-mask-rcnn.lib,model,SiameseMaskRCNN,Long statement,build,402,/Volumes/BrokeExt/NICHE/bethgelab_siamese-mask-rcnn/lib/model.py,A line with 135 chars in build exceeds the maximum length of 120 characters.
bethgelab_siamese-mask-rcnn.lib,model,SiameseMaskRCNN,Long statement,build,412,/Volumes/BrokeExt/NICHE/bethgelab_siamese-mask-rcnn/lib/model.py,A line with 133 chars in build exceeds the maximum length of 120 characters.
bethgelab_siamese-mask-rcnn.lib,model,SiameseMaskRCNN,Long statement,build,414,/Volumes/BrokeExt/NICHE/bethgelab_siamese-mask-rcnn/lib/model.py,A line with 146 chars in build exceeds the maximum length of 120 characters.
bethgelab_siamese-mask-rcnn.lib,model,SiameseMaskRCNN,Long statement,build,417,/Volumes/BrokeExt/NICHE/bethgelab_siamese-mask-rcnn/lib/model.py,A line with 145 chars in build exceeds the maximum length of 120 characters.
bethgelab_siamese-mask-rcnn.lib,model,SiameseMaskRCNN,Long statement,build,419,/Volumes/BrokeExt/NICHE/bethgelab_siamese-mask-rcnn/lib/model.py,A line with 138 chars in build exceeds the maximum length of 120 characters.
bethgelab_siamese-mask-rcnn.lib,model,SiameseMaskRCNN,Long statement,build,422,/Volumes/BrokeExt/NICHE/bethgelab_siamese-mask-rcnn/lib/model.py,A line with 138 chars in build exceeds the maximum length of 120 characters.
