Package,Module,Class,Function,LOC,CC,PC
biolib_openprotein,dashboard,GraphWebServer,__init__,2,1,0
biolib_openprotein,dashboard,GraphWebServer,run,3,1,0
biolib_openprotein,dashboard,,update_graph,4,1,0
biolib_openprotein,dashboard,,get_graph,2,1,0
biolib_openprotein,dashboard,,start_dashboard_server,3,1,0
biolib_openprotein,op_cli,,main,33,5,0
biolib_openprotein,openprotein,BaseModel,__init__,6,1,2
biolib_openprotein,openprotein,BaseModel,get_embedding_size,2,1,0
biolib_openprotein,openprotein,BaseModel,embed,18,3,1
biolib_openprotein,openprotein,BaseModel,compute_loss,19,4,1
biolib_openprotein,openprotein,BaseModel,forward,2,1,1
biolib_openprotein,openprotein,BaseModel,evaluate_model,76,6,1
biolib_openprotein,prediction,,prediction,27,2,0
biolib_openprotein,preprocessing,,process_raw_data,25,6,3
biolib_openprotein,preprocessing,,read_protein_from_file,75,18,1
biolib_openprotein,preprocessing,,process_file,84,8,3
biolib_openprotein,preprocessing,,filter_input_files,3,1,1
biolib_openprotein,preprocessing_cli,,main,12,2,0
biolib_openprotein,training,,train_model,76,10,10
biolib_openprotein,util,H5PytorchDataset,__init__,4,1,1
biolib_openprotein,util,H5PytorchDataset,__getitem__,7,1,1
biolib_openprotein,util,H5PytorchDataset,__len__,2,1,0
biolib_openprotein,util,,contruct_dataloader_from_disk,5,1,2
biolib_openprotein,util,,merge_samples_to_minibatch,6,2,1
biolib_openprotein,util,,set_experiment_id,7,1,3
biolib_openprotein,util,,get_experiment_id,2,1,0
biolib_openprotein,util,,write_out,8,2,0
biolib_openprotein,util,,write_model_to_disk,4,1,1
biolib_openprotein,util,,write_prediction_data_to_disk,5,1,1
biolib_openprotein,util,,draw_plot,17,1,6
biolib_openprotein,util,,draw_ramachandran_plot,12,1,4
biolib_openprotein,util,,write_result_summary,6,1,1
biolib_openprotein,util,,calculate_dihedral_angles_over_minibatch,12,2,3
biolib_openprotein,util,,protein_id_to_str,7,2,1
biolib_openprotein,util,,calculate_dihedral_angles,10,2,2
biolib_openprotein,util,,compute_cross,16,1,3
biolib_openprotein,util,,compute_atan2,8,1,2
biolib_openprotein,util,,compute_dihedral_list,12,1,1
biolib_openprotein,util,,write_pdb,22,2,3
biolib_openprotein,util,,get_structure_from_angles,11,1,2
biolib_openprotein,util,,write_to_pdb,4,1,2
biolib_openprotein,util,,calc_pairwise_distances,9,3,3
biolib_openprotein,util,,calc_drmsd,6,1,3
biolib_openprotein,util,,transpose_atoms_to_center_of_mass,5,1,1
biolib_openprotein,util,,calc_rmsd,12,1,2
biolib_openprotein,util,,calc_angular_difference,14,2,2
biolib_openprotein,util,,structures_to_backbone_atoms_padded,7,2,1
biolib_openprotein,util,,structure_to_backbone_atoms,7,2,1
biolib_openprotein,util,,get_backbone_positions_from_angles,8,1,3
biolib_openprotein,util,,calc_avg_drmsd_over_minibatch,13,2,3
biolib_openprotein,util,,encode_primary_string,2,1,1
biolib_openprotein,util,,initial_pos_from_aa_string,12,2,2
biolib_openprotein,util,,pass_messages,19,2,3
biolib_openprotein,util,,load_model_from_disk,13,2,2
biolib_openprotein,util,,dihedral_to_point,19,2,4
biolib_openprotein,util,,point_to_coordinate,73,6,3
biolib_openprotein.experiments.example,__init__,,run_experiment,26,1,2
biolib_openprotein.experiments.example,models,ExampleModel,__init__,13,1,3
