Package,Module,Class,Smell,Function/Method,Line no,File,Details
biolib_openprotein,__main__,,Long statement,,1,/Volumes/BrokeExt/NICHE/biolib_openprotein/__main__.py,A line with 130 chars in __main__ exceeds the maximum length of 120 characters.
biolib_openprotein,dashboard,,Long statement,,1,/Volumes/BrokeExt/NICHE/biolib_openprotein/dashboard.py,A line with 130 chars in dashboard exceeds the maximum length of 120 characters.
biolib_openprotein,op_cli,,Long statement,main,21,/Volumes/BrokeExt/NICHE/biolib_openprotein/op_cli.py,A line with 153 chars in main exceeds the maximum length of 120 characters.
biolib_openprotein,op_cli,,Long statement,main,24,/Volumes/BrokeExt/NICHE/biolib_openprotein/op_cli.py,A line with 134 chars in main exceeds the maximum length of 120 characters.
biolib_openprotein,op_cli,,Long statement,main,28,/Volumes/BrokeExt/NICHE/biolib_openprotein/op_cli.py,A line with 144 chars in main exceeds the maximum length of 120 characters.
biolib_openprotein,op_cli,,Long statement,main,30,/Volumes/BrokeExt/NICHE/biolib_openprotein/op_cli.py,A line with 132 chars in main exceeds the maximum length of 120 characters.
biolib_openprotein,op_cli,,Long statement,main,34,/Volumes/BrokeExt/NICHE/biolib_openprotein/op_cli.py,A line with 122 chars in main exceeds the maximum length of 120 characters.
biolib_openprotein,op_cli,,Long statement,,1,/Volumes/BrokeExt/NICHE/biolib_openprotein/op_cli.py,A line with 130 chars in op_cli exceeds the maximum length of 120 characters.
biolib_openprotein,openprotein,BaseModel,Long method,evaluate_model,83 - 162,/Volumes/BrokeExt/NICHE/biolib_openprotein/openprotein.py,Method 'evaluate_model' is too long (76 lines).
biolib_openprotein,openprotein,,Long statement,,1,/Volumes/BrokeExt/NICHE/biolib_openprotein/openprotein.py,A line with 130 chars in openprotein exceeds the maximum length of 120 characters.
biolib_openprotein,openprotein,BaseModel,Magic number,evaluate_model,141,/Volumes/BrokeExt/NICHE/biolib_openprotein/openprotein.py,Magic number 3 used in evaluate_model.
biolib_openprotein,prediction,,Long statement,prediction,45,/Volumes/BrokeExt/NICHE/biolib_openprotein/prediction.py,A line with 126 chars in prediction exceeds the maximum length of 120 characters.
biolib_openprotein,prediction,,Long statement,,1,/Volumes/BrokeExt/NICHE/biolib_openprotein/prediction.py,A line with 130 chars in prediction exceeds the maximum length of 120 characters.
biolib_openprotein,preprocessing,,Complex method,read_protein_from_file,49 - 127,/Volumes/BrokeExt/NICHE/biolib_openprotein/preprocessing.py,"Method 'read_protein_from_file' has a cyclomatic complexity of 18, exceeding the max of 6."
biolib_openprotein,preprocessing,,Complex method,process_file,129 - 215,/Volumes/BrokeExt/NICHE/biolib_openprotein/preprocessing.py,"Method 'process_file' has a cyclomatic complexity of 8, exceeding the max of 6."
biolib_openprotein,preprocessing,,Long method,read_protein_from_file,49 - 127,/Volumes/BrokeExt/NICHE/biolib_openprotein/preprocessing.py,Method 'read_protein_from_file' is too long (75 lines).
biolib_openprotein,preprocessing,,Long method,process_file,129 - 215,/Volumes/BrokeExt/NICHE/biolib_openprotein/preprocessing.py,Method 'process_file' is too long (84 lines).
biolib_openprotein,preprocessing,,Long statement,read_protein_from_file,50,/Volumes/BrokeExt/NICHE/biolib_openprotein/preprocessing.py,A line with 224 chars in read_protein_from_file exceeds the maximum length of 120 characters.
biolib_openprotein,preprocessing,,Long statement,process_file,135,/Volumes/BrokeExt/NICHE/biolib_openprotein/preprocessing.py,A line with 135 chars in process_file exceeds the maximum length of 120 characters.
biolib_openprotein,preprocessing,,Long statement,process_file,137,/Volumes/BrokeExt/NICHE/biolib_openprotein/preprocessing.py,A line with 142 chars in process_file exceeds the maximum length of 120 characters.
biolib_openprotein,preprocessing,,Long statement,process_file,139,/Volumes/BrokeExt/NICHE/biolib_openprotein/preprocessing.py,A line with 132 chars in process_file exceeds the maximum length of 120 characters.
biolib_openprotein,preprocessing,,Long statement,process_file,186,/Volumes/BrokeExt/NICHE/biolib_openprotein/preprocessing.py,A line with 122 chars in process_file exceeds the maximum length of 120 characters.
