Package,Module,Class,Function,LOC,CC,PC
digantamisra98_Mish.Mish.TFKeras,mish,Mish,__init__,3,1,1
digantamisra98_Mish.Mish.TFKeras,mish,,mish,2,1,1
digantamisra98_Mish.Mish.Torch,functional,,mish,4,1,1
digantamisra98_Mish.Mish.Torch,mish,Mish,__init__,4,1,0
digantamisra98_Mish.Mish.Torch,mish,Mish,forward,7,1,1
digantamisra98_Mish.PyTorch Benchmarks,activations_autofn,SwishAutoFn,forward,4,1,2
digantamisra98_Mish.PyTorch Benchmarks,activations_autofn,SwishAutoFn,backward,4,1,2
digantamisra98_Mish.PyTorch Benchmarks,activations_autofn,SwishAuto,__init__,3,1,1
digantamisra98_Mish.PyTorch Benchmarks,activations_autofn,SwishAuto,forward,2,1,1
digantamisra98_Mish.PyTorch Benchmarks,activations_autofn,MishAutoFn,forward,4,1,2
digantamisra98_Mish.PyTorch Benchmarks,activations_autofn,MishAutoFn,backward,5,1,2
digantamisra98_Mish.PyTorch Benchmarks,activations_autofn,MishAuto,__init__,3,1,1
digantamisra98_Mish.PyTorch Benchmarks,activations_autofn,MishAuto,forward,2,1,1
digantamisra98_Mish.PyTorch Benchmarks,activations_autofn,,swish_auto,2,1,2
digantamisra98_Mish.PyTorch Benchmarks,activations_autofn,,mish_auto,2,1,2
digantamisra98_Mish.PyTorch Benchmarks,resnet,BasicBlock,__init__,9,1,4
digantamisra98_Mish.PyTorch Benchmarks,resnet,BasicBlock,forward,12,2,1
digantamisra98_Mish.PyTorch Benchmarks,resnet,Bottleneck,__init__,13,1,4
digantamisra98_Mish.PyTorch Benchmarks,resnet,Bottleneck,forward,15,2,1
digantamisra98_Mish.PyTorch Benchmarks,resnet,ResNet,__init__,33,8,4
digantamisra98_Mish.PyTorch Benchmarks,resnet,ResNet,_make_layer,18,4,4
digantamisra98_Mish.PyTorch Benchmarks,resnet,ResNet,forward,17,3,1
digantamisra98_Mish.PyTorch Benchmarks,resnet,,conv3x3,4,1,3
digantamisra98_Mish.PyTorch Benchmarks,resnet,,ResidualNet,12,3,3
digantamisra98_Mish.PyTorch Benchmarks,train_imagenet,AverageMeter,__init__,2,1,0
digantamisra98_Mish.PyTorch Benchmarks,train_imagenet,AverageMeter,reset,5,1,0
digantamisra98_Mish.PyTorch Benchmarks,train_imagenet,AverageMeter,update,5,1,2
digantamisra98_Mish.PyTorch Benchmarks,train_imagenet,,parse_args,122,1,0
digantamisra98_Mish.PyTorch Benchmarks,train_imagenet,,init_wandb,4,1,3
digantamisra98_Mish.PyTorch Benchmarks,train_imagenet,,set_seed,5,1,1
digantamisra98_Mish.PyTorch Benchmarks,train_imagenet,,get_model,5,1,2
digantamisra98_Mish.PyTorch Benchmarks,train_imagenet,,get_model_stats,9,2,3
digantamisra98_Mish.PyTorch Benchmarks,train_imagenet,,get_loss_optim,6,1,5
digantamisra98_Mish.PyTorch Benchmarks,train_imagenet,,get_model_checkpoint,13,3,3
digantamisra98_Mish.PyTorch Benchmarks,train_imagenet,,get_dataloader,31,1,4
digantamisra98_Mish.PyTorch Benchmarks,train_imagenet,,main,63,6,0
digantamisra98_Mish.PyTorch Benchmarks,train_imagenet,,train,64,4,5
digantamisra98_Mish.PyTorch Benchmarks,train_imagenet,,validate,52,3,4
digantamisra98_Mish.PyTorch Benchmarks,train_imagenet,,save_checkpoint,8,3,3
digantamisra98_Mish.PyTorch Benchmarks,train_imagenet,,adjust_learning_rate,8,4,2
digantamisra98_Mish.PyTorch Benchmarks,train_imagenet,,accuracy,14,2,3
digantamisra98_Mish.exps,op_landscape,swish,__init__,2,1,0
digantamisra98_Mish.exps,op_landscape,swish,forward,2,1,1
digantamisra98_Mish.exps,op_landscape,mish,__init__,2,1,0
digantamisra98_Mish.exps,op_landscape,mish,forward,2,1,1
digantamisra98_Mish.exps,op_landscape,,build_model,15,1,1
digantamisra98_Mish.exps,op_landscape,,convert_to_PIL,8,3,3
digantamisra98_Mish.exps,op_landscape,,main,31,1,0
digantamisra98_Mish.exps,resnet,LambdaLayer,__init__,3,1,1
digantamisra98_Mish.exps,resnet,LambdaLayer,forward,2,1,1
digantamisra98_Mish.exps,resnet,Mish,__init__,2,1,0
digantamisra98_Mish.exps,resnet,Mish,forward,2,1,1
digantamisra98_Mish.exps,resnet,Swish,__init__,2,1,0
digantamisra98_Mish.exps,resnet,Swish,forward,2,1,1
digantamisra98_Mish.exps,resnet,BasicBlock,__init__,41,7,5
digantamisra98_Mish.exps,resnet,BasicBlock,forward,6,1,1
digantamisra98_Mish.exps,resnet,ResNet,__init__,16,3,4
digantamisra98_Mish.exps,resnet,ResNet,_make_layer,7,2,5
digantamisra98_Mish.exps,resnet,ResNet,forward,9,1,1
digantamisra98_Mish.exps,resnet,,_weights_init,4,3,1
digantamisra98_Mish.exps,resnet,,resnet20,2,1,1
digantamisra98_Mish.exps,resnet,,resnet32,2,1,1
digantamisra98_Mish.exps,resnet,,resnet44,2,1,1
digantamisra98_Mish.exps,resnet,,resnet56,2,1,1
digantamisra98_Mish.exps,train_cifar,AverageMeter,__init__,2,1,0
digantamisra98_Mish.exps,train_cifar,AverageMeter,reset,5,1,0
digantamisra98_Mish.exps,train_cifar,AverageMeter,update,5,1,2
digantamisra98_Mish.exps,train_cifar,,main,105,10,0
digantamisra98_Mish.exps,train_cifar,,train,52,3,5
digantamisra98_Mish.exps,train_cifar,,validate,47,3,4
digantamisra98_Mish.exps,train_cifar,,save_checkpoint,4,1,3
digantamisra98_Mish.exps,train_cifar,,accuracy,11,2,3
