Package,Module,Class,Smell,Function/Method,Line no,File,Details
dsgiitr_d2l-pytorch.d2l,figure,Animator,Long Lambda Function,__init__,124,/Volumes/BrokeExt/NICHE/dsgiitr_d2l-pytorch/d2l/figure.py,A Lambda with 85 chars in __init__ exceeds the maximum length of 80 characters.
dsgiitr_d2l-pytorch.d2l,figure,,Complex method,plot,81 - 102,/Volumes/BrokeExt/NICHE/dsgiitr_d2l-pytorch/d2l/figure.py,"Method 'plot' has a cyclomatic complexity of 8, exceeding the max of 6."
dsgiitr_d2l-pytorch.d2l,figure,Animator,Complex method,add,128 - 145,/Volumes/BrokeExt/NICHE/dsgiitr_d2l-pytorch/d2l/figure.py,"Method 'add' has a cyclomatic complexity of 10, exceeding the max of 6."
dsgiitr_d2l-pytorch.d2l,figure,,Long parameter list,semilogy,15 - 25,/Volumes/BrokeExt/NICHE/dsgiitr_d2l-pytorch/d2l/figure.py,"semilogy has 8 parameters, exceeding the max of 5."
dsgiitr_d2l-pytorch.d2l,figure,,Long parameter list,plot,81 - 102,/Volumes/BrokeExt/NICHE/dsgiitr_d2l-pytorch/d2l/figure.py,"plot has 12 parameters, exceeding the max of 5."
dsgiitr_d2l-pytorch.d2l,figure,,Long parameter list,set_axes,104 - 113,/Volumes/BrokeExt/NICHE/dsgiitr_d2l-pytorch/d2l/figure.py,"set_axes has 8 parameters, exceeding the max of 5."
dsgiitr_d2l-pytorch.d2l,figure,Animator,Long parameter list,__init__,116 - 126,/Volumes/BrokeExt/NICHE/dsgiitr_d2l-pytorch/d2l/figure.py,"__init__ has 11 parameters, exceeding the max of 5."
dsgiitr_d2l-pytorch.d2l,figure,,Long statement,bbox_to_rect,11,/Volumes/BrokeExt/NICHE/dsgiitr_d2l-pytorch/d2l/figure.py,A line with 140 chars in bbox_to_rect exceeds the maximum length of 120 characters.
dsgiitr_d2l-pytorch.d2l,figure,,Long statement,show_bboxes,50,/Volumes/BrokeExt/NICHE/dsgiitr_d2l-pytorch/d2l/figure.py,A line with 134 chars in show_bboxes exceeds the maximum length of 120 characters.
dsgiitr_d2l-pytorch.d2l,figure,,Long statement,,6,/Volumes/BrokeExt/NICHE/dsgiitr_d2l-pytorch/d2l/figure.py,A line with 158 chars in figure exceeds the maximum length of 120 characters.
dsgiitr_d2l-pytorch.d2l,figure,,Magic number,semilogy,16,/Volumes/BrokeExt/NICHE/dsgiitr_d2l-pytorch/d2l/figure.py,Magic number 3.5 used in semilogy.
dsgiitr_d2l-pytorch.d2l,figure,,Magic number,semilogy,16,/Volumes/BrokeExt/NICHE/dsgiitr_d2l-pytorch/d2l/figure.py,Magic number 2.5 used in semilogy.
dsgiitr_d2l-pytorch.d2l,figure,,Magic number,set_figsize,28,/Volumes/BrokeExt/NICHE/dsgiitr_d2l-pytorch/d2l/figure.py,Magic number 3.5 used in set_figsize.
dsgiitr_d2l-pytorch.d2l,figure,,Magic number,set_figsize,28,/Volumes/BrokeExt/NICHE/dsgiitr_d2l-pytorch/d2l/figure.py,Magic number 2.5 used in set_figsize.
dsgiitr_d2l-pytorch.d2l,figure,,Magic number,show_images,54,/Volumes/BrokeExt/NICHE/dsgiitr_d2l-pytorch/d2l/figure.py,Magic number 2 used in show_images.
