Package,Module,Class,Function,LOC,CC,PC
dwadden_dygiepp.dygie.data.dataset_readers,document,Dataset,__init__,2,1,1
dwadden_dygiepp.dygie.data.dataset_readers,document,Dataset,__getitem__,2,1,1
dwadden_dygiepp.dygie.data.dataset_readers,document,Dataset,__len__,2,1,0
dwadden_dygiepp.dygie.data.dataset_readers,document,Dataset,__repr__,2,1,0
dwadden_dygiepp.dygie.data.dataset_readers,document,Dataset,from_jsonl,7,2,2
dwadden_dygiepp.dygie.data.dataset_readers,document,Dataset,to_jsonl,5,2,1
dwadden_dygiepp.dygie.data.dataset_readers,document,Document,__init__,9,1,8
dwadden_dygiepp.dygie.data.dataset_readers,document,Document,from_json,39,5,2
dwadden_dygiepp.dygie.data.dataset_readers,document,Document,_check_fields,11,4,1
dwadden_dygiepp.dygie.data.dataset_readers,document,Document,to_json,17,6,0
dwadden_dygiepp.dygie.data.dataset_readers,document,Document,split,42,8,1
dwadden_dygiepp.dygie.data.dataset_readers,document,Document,__repr__,2,1,0
dwadden_dygiepp.dygie.data.dataset_readers,document,Document,__getitem__,2,1,1
dwadden_dygiepp.dygie.data.dataset_readers,document,Document,__len__,2,1,0
dwadden_dygiepp.dygie.data.dataset_readers,document,Document,print_plaintext,3,2,0
dwadden_dygiepp.dygie.data.dataset_readers,document,Document,n_tokens,2,1,0
dwadden_dygiepp.dygie.data.dataset_readers,document,Document,find_cluster,8,3,1
dwadden_dygiepp.dygie.data.dataset_readers,document,Document,n_tokens,2,1,0
dwadden_dygiepp.dygie.data.dataset_readers,document,Sentence,__init__,41,8,3
dwadden_dygiepp.dygie.data.dataset_readers,document,Sentence,to_json,17,8,0
dwadden_dygiepp.dygie.data.dataset_readers,document,Sentence,__repr__,9,2,0
dwadden_dygiepp.dygie.data.dataset_readers,document,Sentence,__len__,2,1,0
dwadden_dygiepp.dygie.data.dataset_readers,document,Span,__init__,5,1,4
dwadden_dygiepp.dygie.data.dataset_readers,document,Span,start_doc,2,1,0
dwadden_dygiepp.dygie.data.dataset_readers,document,Span,end_doc,2,1,0
dwadden_dygiepp.dygie.data.dataset_readers,document,Span,span_doc,2,1,0
dwadden_dygiepp.dygie.data.dataset_readers,document,Span,span_sent,2,1,0
dwadden_dygiepp.dygie.data.dataset_readers,document,Span,text,2,1,0
