Package,Module,Class,Function,LOC,CC,PC
eladhoffer_convNet.pytorch,autoaugment,ImageNetPolicy,__init__,31,1,1
eladhoffer_convNet.pytorch,autoaugment,ImageNetPolicy,__call__,3,1,1
eladhoffer_convNet.pytorch,autoaugment,ImageNetPolicy,__repr__,2,1,0
eladhoffer_convNet.pytorch,autoaugment,CIFAR10Policy,__init__,32,1,1
eladhoffer_convNet.pytorch,autoaugment,CIFAR10Policy,__call__,3,1,1
eladhoffer_convNet.pytorch,autoaugment,CIFAR10Policy,__repr__,2,1,0
eladhoffer_convNet.pytorch,autoaugment,SVHNPolicy,__init__,32,1,1
eladhoffer_convNet.pytorch,autoaugment,SVHNPolicy,__call__,3,1,1
eladhoffer_convNet.pytorch,autoaugment,SVHNPolicy,__repr__,2,1,0
eladhoffer_convNet.pytorch,autoaugment,SubPolicy,__init__,54,1,7
eladhoffer_convNet.pytorch,autoaugment,SubPolicy,__call__,4,3,1
eladhoffer_convNet.pytorch,compare_experiments,,main,34,6,0
eladhoffer_convNet.pytorch,data,DataRegime,__init__,5,1,2
eladhoffer_convNet.pytorch,data,DataRegime,get_setting,11,1,0
eladhoffer_convNet.pytorch,data,DataRegime,get,2,1,2
eladhoffer_convNet.pytorch,data,DataRegime,get_loader,19,6,3
eladhoffer_convNet.pytorch,data,DataRegime,set_epoch,4,3,1
eladhoffer_convNet.pytorch,data,DataRegime,__len__,2,1,0
eladhoffer_convNet.pytorch,data,DataRegime,__repr__,2,1,0
eladhoffer_convNet.pytorch,data,SampledDataLoader,__init__,3,1,1
eladhoffer_convNet.pytorch,data,SampledDataLoader,generate_order,6,1,0
eladhoffer_convNet.pytorch,data,SampledDataLoader,__len__,2,1,0
eladhoffer_convNet.pytorch,data,SampledDataLoader,__iter__,6,2,0
eladhoffer_convNet.pytorch,data,SampledDataRegime,__init__,4,1,3
eladhoffer_convNet.pytorch,data,SampledDataRegime,get_setting,2,1,0
eladhoffer_convNet.pytorch,data,SampledDataRegime,get,2,1,2
eladhoffer_convNet.pytorch,data,SampledDataRegime,get_loader,20,2,1
eladhoffer_convNet.pytorch,data,SampledDataRegime,set_epoch,7,5,1
eladhoffer_convNet.pytorch,data,SampledDataRegime,__len__,3,1,0
eladhoffer_convNet.pytorch,data,SampledDataRegime,__repr__,5,2,0
eladhoffer_convNet.pytorch,data,,get_dataset,44,4,6
eladhoffer_convNet.pytorch,evaluate,,main,3,1,0
eladhoffer_convNet.pytorch,evaluate,,main_worker,70,16,1
eladhoffer_convNet.pytorch,main,,main,8,2,0
eladhoffer_convNet.pytorch,main,,main_worker,198,32,1
eladhoffer_convNet.pytorch,preprocess,Lighting,__init__,4,1,3
eladhoffer_convNet.pytorch,preprocess,Lighting,__call__,9,1,1
eladhoffer_convNet.pytorch,preprocess,Cutout,__init__,3,1,2
eladhoffer_convNet.pytorch,preprocess,Cutout,__call__,20,2,1
eladhoffer_convNet.pytorch,preprocess,,scale_crop,20,5,4
eladhoffer_convNet.pytorch,preprocess,,random_crop,11,3,4
eladhoffer_convNet.pytorch,preprocess,,cifar_autoaugment,12,3,4
eladhoffer_convNet.pytorch,preprocess,,inception_preprocess,7,1,2
eladhoffer_convNet.pytorch,preprocess,,inception_autoaugment_preprocess,8,1,2
eladhoffer_convNet.pytorch,preprocess,,inception_color_preprocess,13,1,2
eladhoffer_convNet.pytorch,preprocess,,multi_transform,6,1,3
eladhoffer_convNet.pytorch,preprocess,,get_transform,45,20,10
eladhoffer_convNet.pytorch,probe,,multi_line_opts,11,4,3
eladhoffer_convNet.pytorch,probe,,reduce_multiple,11,3,1
eladhoffer_convNet.pytorch,probe,,plot_comparison,28,9,15
eladhoffer_convNet.pytorch,probe,,dump_stream,4,1,2
eladhoffer_convNet.pytorch,probe,,reduce_ranges,9,3,2
eladhoffer_convNet.pytorch,probe,,annotate_indices,10,4,3
eladhoffer_convNet.pytorch,trainer,Trainer,__init__,27,4,14
eladhoffer_convNet.pytorch,trainer,Trainer,_grad_norm,17,3,3
eladhoffer_convNet.pytorch,trainer,Trainer,_step,68,23,5
eladhoffer_convNet.pytorch,trainer,Trainer,forward,79,17,5
eladhoffer_convNet.pytorch,trainer,Trainer,train,4,1,3
eladhoffer_convNet.pytorch,trainer,Trainer,validate,4,1,2
eladhoffer_convNet.pytorch,trainer,Trainer,calibrate_bn,9,4,2
eladhoffer_convNet.pytorch,trainer,Trainer,set_watcher,9,2,2
eladhoffer_convNet.pytorch,trainer,Trainer,get_stream,7,2,1
eladhoffer_convNet.pytorch,trainer,Trainer,write_stream,4,2,2
eladhoffer_convNet.pytorch,trainer,Trainer,stream_meters,12,4,2
eladhoffer_convNet.pytorch,trainer,Trainer,observe,5,1,0
eladhoffer_convNet.pytorch,trainer,Trainer,_default_streams,6,1,0
eladhoffer_convNet.pytorch,trainer,,_flatten_duplicates,12,4,4
eladhoffer_convNet.pytorch,trainer,,_average_duplicates,9,2,3
eladhoffer_convNet.pytorch,trainer,,_mixup,8,3,3
eladhoffer_convNet.pytorch.models,alexnet,AlexNetOWT_BN,__init__,59,1,1
eladhoffer_convNet.pytorch.models,alexnet,AlexNetOWT_BN,forward,5,1,1
eladhoffer_convNet.pytorch.models,alexnet,,alexnet,3,1,0
eladhoffer_convNet.pytorch.models,densenet,_DenseLayer,__init__,11,1,4
eladhoffer_convNet.pytorch.models,densenet,_DenseLayer,forward,6,2,1
eladhoffer_convNet.pytorch.models,densenet,_DenseBlock,__init__,6,2,5
eladhoffer_convNet.pytorch.models,densenet,_Transition,__init__,7,1,2
eladhoffer_convNet.pytorch.models,densenet,DenseNet,_create_features,8,1,1
eladhoffer_convNet.pytorch.models,densenet,DenseNet,__init__,20,4,7
eladhoffer_convNet.pytorch.models,densenet,DenseNet,forward,7,1,1
eladhoffer_convNet.pytorch.models,densenet,DenseNet_imagenet,__init__,33,3,8
eladhoffer_convNet.pytorch.models,densenet,DenseNet_cifar,_create_features,5,1,1
eladhoffer_convNet.pytorch.models,densenet,DenseNet_cifar,__init__,8,1,0
eladhoffer_convNet.pytorch.models,densenet,DenseNet_cifar,forward,7,1,1
eladhoffer_convNet.pytorch.models,densenet,,init_model,9,5,1
eladhoffer_convNet.pytorch.models,densenet,,weight_decay_config,7,1,2
eladhoffer_convNet.pytorch.models,densenet,,densenet,42,7,0
eladhoffer_convNet.pytorch.models,efficientnet,ConvBNAct,__init__,8,1,2
eladhoffer_convNet.pytorch.models,efficientnet,MBConv,__init__,15,2,8
eladhoffer_convNet.pytorch.models,efficientnet,MBConv,forward,7,4,1
eladhoffer_convNet.pytorch.models,efficientnet,MBConvBlock,__init__,8,1,9
eladhoffer_convNet.pytorch.models,efficientnet,EfficientNet,__init__,72,1,11
eladhoffer_convNet.pytorch.models,efficientnet,EfficientNet,forward,4,1,1
