Package,Module,Class,Smell,Function/Method,Line no,File,Details
funcwj_setk.scripts.sptk,apply_adaptive_beamformer,,Complex method,run,74 - 180,/Volumes/BrokeExt/NICHE/funcwj_setk/scripts/sptk/apply_adaptive_beamformer.py,"Method 'run' has a cyclomatic complexity of 15, exceeding the max of 6."
funcwj_setk.scripts.sptk,apply_adaptive_beamformer,,Long method,run,74 - 180,/Volumes/BrokeExt/NICHE/funcwj_setk/scripts/sptk/apply_adaptive_beamformer.py,Method 'run' is too long (106 lines).
funcwj_setk.scripts.sptk,apply_adaptive_beamformer,,Long statement,do_online_beamform,26,/Volumes/BrokeExt/NICHE/funcwj_setk/scripts/sptk/apply_adaptive_beamformer.py,A line with 185 chars in do_online_beamform exceeds the maximum length of 120 characters.
funcwj_setk.scripts.sptk,apply_adaptive_beamformer,,Long statement,do_online_beamform,42,/Volumes/BrokeExt/NICHE/funcwj_setk/scripts/sptk/apply_adaptive_beamformer.py,A line with 140 chars in do_online_beamform exceeds the maximum length of 120 characters.
funcwj_setk.scripts.sptk,apply_adaptive_beamformer,,Long statement,compute_vad_masks,51,/Volumes/BrokeExt/NICHE/funcwj_setk/scripts/sptk/apply_adaptive_beamformer.py,A line with 160 chars in compute_vad_masks exceeds the maximum length of 120 characters.
funcwj_setk.scripts.sptk,apply_adaptive_beamformer,,Long statement,,184,/Volumes/BrokeExt/NICHE/funcwj_setk/scripts/sptk/apply_adaptive_beamformer.py,A line with 183 chars in apply_adaptive_beamformer exceeds the maximum length of 120 characters.
funcwj_setk.scripts.sptk,apply_adaptive_beamformer,,Long statement,,198,/Volumes/BrokeExt/NICHE/funcwj_setk/scripts/sptk/apply_adaptive_beamformer.py,A line with 130 chars in apply_adaptive_beamformer exceeds the maximum length of 120 characters.
funcwj_setk.scripts.sptk,apply_adaptive_beamformer,,Long statement,,203,/Volumes/BrokeExt/NICHE/funcwj_setk/scripts/sptk/apply_adaptive_beamformer.py,A line with 161 chars in apply_adaptive_beamformer exceeds the maximum length of 120 characters.
funcwj_setk.scripts.sptk,apply_adaptive_beamformer,,Long statement,,209,/Volumes/BrokeExt/NICHE/funcwj_setk/scripts/sptk/apply_adaptive_beamformer.py,A line with 127 chars in apply_adaptive_beamformer exceeds the maximum length of 120 characters.
funcwj_setk.scripts.sptk,apply_adaptive_beamformer,,Long statement,,226,/Volumes/BrokeExt/NICHE/funcwj_setk/scripts/sptk/apply_adaptive_beamformer.py,A line with 141 chars in apply_adaptive_beamformer exceeds the maximum length of 120 characters.
funcwj_setk.scripts.sptk,apply_adaptive_beamformer,,Long statement,,231,/Volumes/BrokeExt/NICHE/funcwj_setk/scripts/sptk/apply_adaptive_beamformer.py,A line with 143 chars in apply_adaptive_beamformer exceeds the maximum length of 120 characters.
funcwj_setk.scripts.sptk,apply_adaptive_beamformer,,Long statement,,237,/Volumes/BrokeExt/NICHE/funcwj_setk/scripts/sptk/apply_adaptive_beamformer.py,A line with 121 chars in apply_adaptive_beamformer exceeds the maximum length of 120 characters.
funcwj_setk.scripts.sptk,apply_adaptive_beamformer,,Long statement,,242,/Volumes/BrokeExt/NICHE/funcwj_setk/scripts/sptk/apply_adaptive_beamformer.py,A line with 137 chars in apply_adaptive_beamformer exceeds the maximum length of 120 characters.
