Package,Module,Class,Function,LOC,CC,PC
hastagAB_Awesome-Python-Scripts.2048,2048,Game,__init__,14,1,0
hastagAB_Awesome-Python-Scripts.2048,2048,Game,make_GUI,24,3,0
hastagAB_Awesome-Python-Scripts.2048,2048,Game,start_game,24,2,0
hastagAB_Awesome-Python-Scripts.2048,2048,Game,stack,9,4,0
hastagAB_Awesome-Python-Scripts.2048,2048,Game,combine,7,5,0
hastagAB_Awesome-Python-Scripts.2048,2048,Game,reverse,7,3,0
hastagAB_Awesome-Python-Scripts.2048,2048,Game,transpose,6,3,0
hastagAB_Awesome-Python-Scripts.2048,2048,Game,add_new_tile,7,2,0
hastagAB_Awesome-Python-Scripts.2048,2048,Game,update_GUI,19,4,0
hastagAB_Awesome-Python-Scripts.2048,2048,Game,left,7,1,1
hastagAB_Awesome-Python-Scripts.2048,2048,Game,right,9,1,1
hastagAB_Awesome-Python-Scripts.2048,2048,Game,up,9,1,1
hastagAB_Awesome-Python-Scripts.2048,2048,Game,down,11,1,1
hastagAB_Awesome-Python-Scripts.2048,2048,Game,horizontal_move_exists,6,3,0
hastagAB_Awesome-Python-Scripts.2048,2048,Game,vertical_move_exists,6,3,0
hastagAB_Awesome-Python-Scripts.2048,2048,Game,game_over,20,4,0
hastagAB_Awesome-Python-Scripts.2048,2048,,main,2,1,0
hastagAB_Awesome-Python-Scripts.Algebra-Solver,Algebra-Solver,,solver,4,1,1
hastagAB_Awesome-Python-Scripts.Algebra-Solver,Algebra-Solver,,main,3,1,1
hastagAB_Awesome-Python-Scripts.Battery_notification,Battery_notification,,show_notification,6,2,1
hastagAB_Awesome-Python-Scripts.Battery_notification,Battery_notification,,monitor,20,6,0
hastagAB_Awesome-Python-Scripts.Better_CSV_Storage,better_csv_storage,BetterCSVStorage,__init__,4,1,1
hastagAB_Awesome-Python-Scripts.Better_CSV_Storage,better_csv_storage,BetterCSVStorage,load,4,1,0
hastagAB_Awesome-Python-Scripts.Better_CSV_Storage,better_csv_storage,BetterCSVStorage,write_dict_csv,11,3,1
hastagAB_Awesome-Python-Scripts.Better_CSV_Storage,better_csv_storage,BetterCSVStorage,get_filtered_data,27,10,3
hastagAB_Awesome-Python-Scripts.Better_CSV_Storage,better_csv_storage,BetterCSVStorage,update_data,24,7,3
hastagAB_Awesome-Python-Scripts.Bitcoin-Price-GUI,bitcoin-price,,get_luno,5,1,0
hastagAB_Awesome-Python-Scripts.Bitcoin-Price-GUI,bitcoin-price,,refresh_price,5,1,0
hastagAB_Awesome-Python-Scripts.Checksum,checksum,,checksum,15,2,2
hastagAB_Awesome-Python-Scripts.Checksum,checksum,,sign,15,1,3
hastagAB_Awesome-Python-Scripts.Checksum,checksum,,verify,7,2,4
hastagAB_Awesome-Python-Scripts.Checksum,checksum,,main,41,5,0
hastagAB_Awesome-Python-Scripts.Countdown,numbers-round,,parse_arguments,13,1,0
hastagAB_Awesome-Python-Scripts.Countdown,numbers-round,,nubmers_game,41,6,4
hastagAB_Awesome-Python-Scripts.Crypt_Socket,cryptSocket_cliente,,receving,13,4,2
hastagAB_Awesome-Python-Scripts.Cryptocurrency-Prices,cryptocurrency-prices,,get_price,10,2,0
hastagAB_Awesome-Python-Scripts.Cryptocurrency-converter,CryptoConverter,MainWindow,__init__,15,2,0
hastagAB_Awesome-Python-Scripts.Cryptocurrency-converter,CryptoConverter,MainWindow,digit_pressed,7,2,0
hastagAB_Awesome-Python-Scripts.Cryptocurrency-converter,CryptoConverter,MainWindow,decimal_point,5,2,0
hastagAB_Awesome-Python-Scripts.Cryptocurrency-converter,CryptoConverter,MainWindow,del_digit,3,1,0
hastagAB_Awesome-Python-Scripts.Cryptocurrency-converter,CryptoConverter,MainWindow,currencies1,2,1,1
hastagAB_Awesome-Python-Scripts.Cryptocurrency-converter,CryptoConverter,MainWindow,currencies2,2,1,1
hastagAB_Awesome-Python-Scripts.Cryptocurrency-converter,CryptoConverter,MainWindow,api,6,1,2
hastagAB_Awesome-Python-Scripts.Cryptocurrency-converter,CryptoConverter,MainWindow,convert_fun,17,5,0
hastagAB_Awesome-Python-Scripts.Cryptocurrency-converter,MainWindow,Ui_MainWindow,setupUi,269,1,1
hastagAB_Awesome-Python-Scripts.Cryptocurrency-converter,MainWindow,Ui_MainWindow,retranslateUi,103,1,1
hastagAB_Awesome-Python-Scripts.Current_City_Weather,Weather,,get_temperature,3,1,1
hastagAB_Awesome-Python-Scripts.Current_City_Weather,Weather,,get_weather_type,3,1,1
hastagAB_Awesome-Python-Scripts.Current_City_Weather,Weather,,get_wind_speed,3,1,1
hastagAB_Awesome-Python-Scripts.Current_City_Weather,Weather,,get_weather_data,7,1,2
hastagAB_Awesome-Python-Scripts.Current_City_Weather,Weather,,main,8,1,0
hastagAB_Awesome-Python-Scripts.Database-As-Storage,Database-As-Storage,CustomSqliteAction,__init__,6,1,3
hastagAB_Awesome-Python-Scripts.Database-As-Storage,Database-As-Storage,CustomSqliteAction,connect_to_db,4,1,0
hastagAB_Awesome-Python-Scripts.Database-As-Storage,Database-As-Storage,CustomSqliteAction,load_table_info,2,1,0
hastagAB_Awesome-Python-Scripts.Database-As-Storage,Database-As-Storage,CustomSqliteAction,table_validation,2,1,1
hastagAB_Awesome-Python-Scripts.Database-As-Storage,Database-As-Storage,CustomSqliteAction,_parse_result,6,2,1
hastagAB_Awesome-Python-Scripts.Database-As-Storage,Database-As-Storage,CustomSqliteAction,create_table,7,1,0
hastagAB_Awesome-Python-Scripts.Database-As-Storage,Database-As-Storage,CustomSqliteAction,table_exists,10,1,0
hastagAB_Awesome-Python-Scripts.Database-As-Storage,Database-As-Storage,CustomSqliteAction,store_data,18,3,0
hastagAB_Awesome-Python-Scripts.Database-As-Storage,Database-As-Storage,CustomSqliteAction,delete_data,23,4,0
hastagAB_Awesome-Python-Scripts.Database-As-Storage,Database-As-Storage,CustomSqliteAction,update_data,17,3,1
hastagAB_Awesome-Python-Scripts.Database-As-Storage,Database-As-Storage,CustomSqliteAction,read_data,25,3,0
hastagAB_Awesome-Python-Scripts.Database-As-Storage,Database-As-Storage,CustomSqliteAction,read_all,8,1,0
hastagAB_Awesome-Python-Scripts.Database-As-Storage,Database-As-Storage,CustomSqliteAction,load,7,2,0
hastagAB_Awesome-Python-Scripts.Directory-organizer,Directory-oraganiser,,create_folders,7,3,0
hastagAB_Awesome-Python-Scripts.Directory-organizer,Directory-oraganiser,,get_folder,6,2,1
hastagAB_Awesome-Python-Scripts.Directory-organizer,Directory-oraganiser,,start,8,5,0
hastagAB_Awesome-Python-Scripts.Directory_Tree_Generator,directory_tree_generator,,delete_trailing_slash,4,2,1
hastagAB_Awesome-Python-Scripts.Directory_Tree_Generator,directory_tree_generator,,get_relative_depth,2,1,2
hastagAB_Awesome-Python-Scripts.Directory_Tree_Generator,directory_tree_generator,,escape_illegal,5,2,1
hastagAB_Awesome-Python-Scripts.Download-page-as-pdf,download-page-as-pdf,,main,24,6,0
hastagAB_Awesome-Python-Scripts.English_Theasauras,app,,show_def,14,1,1
hastagAB_Awesome-Python-Scripts.Excel_Files_Merger,Combine excel files into 1,,reader,11,3,1
hastagAB_Awesome-Python-Scripts.Excel_to_ListofList,ExcelToList,ExcelToList,__init__,3,1,2
hastagAB_Awesome-Python-Scripts.Excel_to_ListofList,ExcelToList,ExcelToList,convert,13,3,0
hastagAB_Awesome-Python-Scripts.Fibonacci_Sequence_Generator,Fibonacci,,Fibbo_Sequence_Generator,19,6,0
hastagAB_Awesome-Python-Scripts.File-Explorer-Dialog-Box,select_file_pyqt,,select_files,5,1,1
hastagAB_Awesome-Python-Scripts.File-Explorer-Dialog-Box,select_file_pyqt,,main,3,1,0
hastagAB_Awesome-Python-Scripts.File-Sharing-Bot,bot,,start,3,1,2
hastagAB_Awesome-Python-Scripts.File-Sharing-Bot,bot,,help,19,2,2
hastagAB_Awesome-Python-Scripts.File-Sharing-Bot,bot,,get,16,4,2
hastagAB_Awesome-Python-Scripts.File-Sharing-Bot,bot,,ls,16,4,2
hastagAB_Awesome-Python-Scripts.File-Sharing-Bot,bot,,put,15,3,2
hastagAB_Awesome-Python-Scripts.File-Sharing-Bot,bot,,mkdir,8,3,2
hastagAB_Awesome-Python-Scripts.File-Sharing-Bot,bot,,echo,10,2,2
hastagAB_Awesome-Python-Scripts.File-Sharing-Bot,bot,,error,2,1,3
hastagAB_Awesome-Python-Scripts.File-Sharing-Bot,bot,,add_user,8,2,2
hastagAB_Awesome-Python-Scripts.File-Sharing-Bot,bot,,show_user,6,2,2
hastagAB_Awesome-Python-Scripts.File-Sharing-Bot,bot,,remove_user,8,2,2
hastagAB_Awesome-Python-Scripts.File-Sharing-Bot,bot,,remove,8,2,2
hastagAB_Awesome-Python-Scripts.File-Sharing-Bot,bot,,rmdir,8,2,2
hastagAB_Awesome-Python-Scripts.File-Sharing-Bot,bot,,main,19,1,0
hastagAB_Awesome-Python-Scripts.FileMagic_Organizer,main,,categorize_by_size,10,2,1
hastagAB_Awesome-Python-Scripts.FileMagic_Organizer,main,,organize_files,68,16,5
hastagAB_Awesome-Python-Scripts.File_Carving,carving,,fileSearch,21,7,2
hastagAB_Awesome-Python-Scripts.File_Carving,carving,,Carving,20,4,1
hastagAB_Awesome-Python-Scripts.File_Carving,carving,,findSignature,19,6,1
hastagAB_Awesome-Python-Scripts.Find-PhoneNumber-in-String,Find-PhoneNumber-in-String,,check_phone_number,17,4,1
hastagAB_Awesome-Python-Scripts.Folder Locker & Hider,locker,,read_json,8,2,0
hastagAB_Awesome-Python-Scripts.Folder Locker & Hider,locker,,write_to_json,4,1,1
hastagAB_Awesome-Python-Scripts.Folder Locker & Hider,locker,,get_from_json,3,1,1
hastagAB_Awesome-Python-Scripts.Folder Locker & Hider,locker,,generate_key,4,1,0
hastagAB_Awesome-Python-Scripts.Folder Locker & Hider,locker,,lock,21,2,2
hastagAB_Awesome-Python-Scripts.Folder Locker & Hider,locker,,unlock,22,2,3
hastagAB_Awesome-Python-Scripts.FramedText,FramedText,,drawboxtext,30,6,1
hastagAB_Awesome-Python-Scripts.Github-Review-Bot,main,Github,__init__,7,1,2
hastagAB_Awesome-Python-Scripts.Github-Review-Bot,main,Github,login,6,1,0
hastagAB_Awesome-Python-Scripts.Github-Review-Bot,main,Github,writeReview,18,3,0
hastagAB_Awesome-Python-Scripts.Github_Bot,main,GithubBot,__init__,3,1,0
hastagAB_Awesome-Python-Scripts.Github_Bot,main,GithubBot,get_user_details,13,2,1
hastagAB_Awesome-Python-Scripts.Github_Bot,main,GithubBot,get_repo_details,12,2,1
hastagAB_Awesome-Python-Scripts.HTML_Table_to_List,HTMLTableToList,HTMLTableToList,__init__,2,1,1
hastagAB_Awesome-Python-Scripts.HTML_Table_to_List,HTMLTableToList,HTMLTableToList,get_list,15,4,0
hastagAB_Awesome-Python-Scripts.Harry-Potter-Cloak,HarryPotterCloak,,hello,2,1,1
hastagAB_Awesome-Python-Scripts.IMDBQuerier,ClassFilm,Film,__init__,10,1,9
hastagAB_Awesome-Python-Scripts.IMDBQuerier,ClassFilm,Film,print_film,8,1,0
hastagAB_Awesome-Python-Scripts.IMDBQuerier,ClassFilm,Film,get_genres_string,3,1,0
hastagAB_Awesome-Python-Scripts.IMDBQuerier,ClassFilm,Film,get_image_html,2,1,0
hastagAB_Awesome-Python-Scripts.IMDBQuerier,ClassFilm,Film,get_title,2,1,0
hastagAB_Awesome-Python-Scripts.IMDBQuerier,ClassFilm,Film,get_rating,2,1,0
hastagAB_Awesome-Python-Scripts.IMDBQuerier,film_content_parser,,parse_film_year,3,1,1
hastagAB_Awesome-Python-Scripts.IMDBQuerier,film_content_parser,,parse_imdb_score,7,2,1
hastagAB_Awesome-Python-Scripts.IMDBQuerier,film_content_parser,,parse_runtime,2,1,1
hastagAB_Awesome-Python-Scripts.IMDBQuerier,film_content_parser,,obtain_all_genres,5,2,1
hastagAB_Awesome-Python-Scripts.IMDBQuerier,film_content_parser,,obtain_story_line,2,1,1
hastagAB_Awesome-Python-Scripts.IMDBQuerier,film_content_parser,,determine_film_type,4,1,1
hastagAB_Awesome-Python-Scripts.IMDBQuerier,film_content_parser,,obtain_image_source,5,1,1
hastagAB_Awesome-Python-Scripts.IMDBQuerier,film_content_parser,,obtain_film_object,23,3,2
hastagAB_Awesome-Python-Scripts.IMDBQuerier,html_creator,,crete_directory,3,2,0
hastagAB_Awesome-Python-Scripts.IMDBQuerier,html_creator,,start_html,13,1,1
hastagAB_Awesome-Python-Scripts.IMDBQuerier,html_creator,,close_html,6,1,0
hastagAB_Awesome-Python-Scripts.IMDBQuerier,html_creator,,create_table_from_object,25,1,1
hastagAB_Awesome-Python-Scripts.IMDBQuerier,html_creator,,create_html_file,7,2,2
hastagAB_Awesome-Python-Scripts.IMDBQuerier,main,,get_watched_films,6,1,1
hastagAB_Awesome-Python-Scripts.IMDBQuerier,parser_config,,check_runtime,6,2,1
hastagAB_Awesome-Python-Scripts.IMDBQuerier,parser_config,,check_genre,10,4,1
hastagAB_Awesome-Python-Scripts.IMDBQuerier,parser_config,,check_score,6,2,1
hastagAB_Awesome-Python-Scripts.IMDBQuerier,parser_config,,check_year,4,2,1
hastagAB_Awesome-Python-Scripts.IMDBQuerier,parser_config,,check_type,6,1,1
hastagAB_Awesome-Python-Scripts.IMDBQuerier,parser_config,,watched_included,2,1,0
hastagAB_Awesome-Python-Scripts.IMDBQuerier,parser_config,,check_film_object,14,3,2
hastagAB_Awesome-Python-Scripts.ImportanceChecker,ImportanceChecker,,ImportanceChecker,9,2,3
hastagAB_Awesome-Python-Scripts.ImportanceChecker,ImportanceChecker,,main,8,2,0
hastagAB_Awesome-Python-Scripts.Keylogger,script,,on_press,3,1,1
hastagAB_Awesome-Python-Scripts.Keylogger,script,,write_file,8,2,1
hastagAB_Awesome-Python-Scripts.Keylogger,script,,on_release,3,2,1
hastagAB_Awesome-Python-Scripts.PDF_Password_Decrypter,main,,select_file,4,1,0
