Package,Module,Class,Smell,Function/Method,Line no,File,Details
hrpan_tetris_mcts,play,ScoreTracker,Long statement,printStats,26,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/play.py,A line with 332 chars in printStats exceeds the maximum length of 120 characters.
hrpan_tetris_mcts,play,,Long statement,,63,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/play.py,A line with 131 chars in play exceeds the maximum length of 120 characters.
hrpan_tetris_mcts,play,,Long statement,,68,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/play.py,A line with 124 chars in play exceeds the maximum length of 120 characters.
hrpan_tetris_mcts,play,,Long statement,,69,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/play.py,A line with 138 chars in play exceeds the maximum length of 120 characters.
hrpan_tetris_mcts,play,,Long statement,,83,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/play.py,A line with 141 chars in play exceeds the maximum length of 120 characters.
hrpan_tetris_mcts,train,,Long statement,,23,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/train.py,A line with 127 chars in train exceeds the maximum length of 120 characters.
hrpan_tetris_mcts,train,,Long statement,,24,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/train.py,A line with 123 chars in train exceeds the maximum length of 120 characters.
hrpan_tetris_mcts,train,,Long statement,,25,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/train.py,A line with 128 chars in train exceeds the maximum length of 120 characters.
hrpan_tetris_mcts,train,,Long statement,,26,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/train.py,A line with 128 chars in train exceeds the maximum length of 120 characters.
hrpan_tetris_mcts,train,,Long statement,,27,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/train.py,A line with 123 chars in train exceeds the maximum length of 120 characters.
hrpan_tetris_mcts,train,,Long statement,,31,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/train.py,A line with 126 chars in train exceeds the maximum length of 120 characters.
hrpan_tetris_mcts,train,,Long statement,,32,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/train.py,A line with 139 chars in train exceeds the maximum length of 120 characters.
hrpan_tetris_mcts,train,,Long statement,,277,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/train.py,A line with 158 chars in train exceeds the maximum length of 120 characters.
hrpan_tetris_mcts,train,,Long statement,,280,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/train.py,A line with 203 chars in train exceeds the maximum length of 120 characters.
hrpan_tetris_mcts,train,,Long statement,,306,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/train.py,A line with 133 chars in train exceeds the maximum length of 120 characters.
hrpan_tetris_mcts,train,,Long statement,,310,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/train.py,A line with 203 chars in train exceeds the maximum length of 120 characters.
hrpan_tetris_mcts,train,,Magic number,loss_by_chunk,217,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/train.py,Magic number 1000 used in loss_by_chunk.
hrpan_tetris_mcts,train,,Magic number,loss_by_chunk,218,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/train.py,Magic number 5 used in loss_by_chunk.
hrpan_tetris_mcts.agents,ApproxPolicyIter,ApproxPolicyIter,Complex method,store_nodes,152 - 189,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/agents/ApproxPolicyIter.py,"Method 'store_nodes' has a cyclomatic complexity of 7, exceeding the max of 6."
hrpan_tetris_mcts.agents,ApproxPolicyIter,ApproxPolicyIter,Complex method,train_nodes,191 - 249,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/agents/ApproxPolicyIter.py,"Method 'train_nodes' has a cyclomatic complexity of 8, exceeding the max of 6."
hrpan_tetris_mcts.agents,ApproxPolicyIter,ApproxPolicyIter,Long method,train_nodes,191 - 249,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/agents/ApproxPolicyIter.py,Method 'train_nodes' is too long (48 lines).
hrpan_tetris_mcts.agents,ApproxPolicyIter,ApproxPolicyIter,Long parameter list,train_nodes,191 - 249,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/agents/ApproxPolicyIter.py,"train_nodes has 8 parameters, exceeding the max of 5."
hrpan_tetris_mcts.agents,ApproxPolicyIter,ApproxPolicyIter,Long statement,__init__,33,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/agents/ApproxPolicyIter.py,A line with 214 chars in __init__ exceeds the maximum length of 120 characters.
hrpan_tetris_mcts.agents,ApproxPolicyIter,ApproxPolicyIter,Long statement,mcts,112,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/agents/ApproxPolicyIter.py,A line with 188 chars in mcts exceeds the maximum length of 120 characters.
hrpan_tetris_mcts.agents,ApproxPolicyIter,ApproxPolicyIter,Long statement,mcts,122,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/agents/ApproxPolicyIter.py,A line with 154 chars in mcts exceeds the maximum length of 120 characters.
hrpan_tetris_mcts.agents,ApproxPolicyIter,ApproxPolicyIter,Long statement,train_nodes,207,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/agents/ApproxPolicyIter.py,A line with 121 chars in train_nodes exceeds the maximum length of 120 characters.
hrpan_tetris_mcts.agents,ApproxPolicyIter,ApproxPolicyIter,Long statement,train_nodes,213,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/agents/ApproxPolicyIter.py,A line with 157 chars in train_nodes exceeds the maximum length of 120 characters.
hrpan_tetris_mcts.agents,ApproxPolicyIter,ApproxPolicyIter,Long statement,train_nodes,241,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/agents/ApproxPolicyIter.py,A line with 128 chars in train_nodes exceeds the maximum length of 120 characters.
hrpan_tetris_mcts.agents,ApproxPolicyIter,ApproxPolicyIter,Magic number,__init__,15,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/agents/ApproxPolicyIter.py,Magic number 250000 used in __init__.
hrpan_tetris_mcts.agents,ApproxPolicyIter,ApproxPolicyIter,Magic number,__init__,15,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/agents/ApproxPolicyIter.py,Magic number 10 used in __init__.
hrpan_tetris_mcts.agents,ApproxPolicyIter,ApproxPolicyIter,Magic number,train_nodes,191,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/agents/ApproxPolicyIter.py,Magic number 128 used in train_nodes.
hrpan_tetris_mcts.agents,ApproxPolicyIter,ApproxPolicyIter,Magic number,train_nodes,191,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/agents/ApproxPolicyIter.py,Magic number 500 used in train_nodes.
hrpan_tetris_mcts.agents,ApproxPolicyIter,ApproxPolicyIter,Magic number,train_nodes,191,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/agents/ApproxPolicyIter.py,Magic number 0.1 used in train_nodes.
hrpan_tetris_mcts.agents,ApproxPolicyIter,ApproxPolicyIter,Magic number,train_nodes,191,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/agents/ApproxPolicyIter.py,Magic number 10 used in train_nodes.
hrpan_tetris_mcts.agents,ApproxPolicyIter,ApproxPolicyIter,Magic number,train_nodes,191,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/agents/ApproxPolicyIter.py,Magic number 5000 used in train_nodes.
hrpan_tetris_mcts.agents,ApproxPolicyIter,ApproxPolicyIter,Magic number,train_nodes,191,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/agents/ApproxPolicyIter.py,Magic number 100000 used in train_nodes.
hrpan_tetris_mcts.agents,ApproxPolicyIter,ApproxPolicyIter,Magic number,train_nodes,233,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/agents/ApproxPolicyIter.py,Magic number 0.5 used in train_nodes.
hrpan_tetris_mcts.agents,DQN,DQN,Complex method,train_step,139 - 205,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/agents/DQN.py,"Method 'train_step' has a cyclomatic complexity of 9, exceeding the max of 6."
hrpan_tetris_mcts.agents,DQN,DQN,Long method,train_step,139 - 205,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/agents/DQN.py,Method 'train_step' is too long (59 lines).
hrpan_tetris_mcts.agents,DQN,DQN,Long parameter list,__init__,56 - 115,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/agents/DQN.py,"__init__ has 12 parameters, exceeding the max of 5."
hrpan_tetris_mcts.agents,DQN,DQN,Long statement,__init__,86,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/agents/DQN.py,A line with 247 chars in __init__ exceeds the maximum length of 120 characters.
hrpan_tetris_mcts.agents,DQN,DQN,Long statement,save_model,248,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/agents/DQN.py,A line with 138 chars in save_model exceeds the maximum length of 120 characters.
hrpan_tetris_mcts.agents,DQN,,Magic number,prob_to_exp,49,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/agents/DQN.py,Magic number 0.5 used in prob_to_exp.
hrpan_tetris_mcts.agents,DQN,DistModel,Magic number,__init__,29,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/agents/DQN.py,Magic number 50 used in __init__.
hrpan_tetris_mcts.agents,DQN,DQN,Magic number,__init__,57,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/agents/DQN.py,Magic number 2 used in __init__.
hrpan_tetris_mcts.agents,DQN,DQN,Magic number,__init__,58,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/agents/DQN.py,Magic number 1000000 used in __init__.
hrpan_tetris_mcts.agents,DQN,DQN,Magic number,__init__,59,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/agents/DQN.py,Magic number 0.99 used in __init__.
hrpan_tetris_mcts.agents,DQN,DQN,Magic number,__init__,61,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/agents/DQN.py,Magic number 0.01 used in __init__.
hrpan_tetris_mcts.agents,DQN,DQN,Magic number,__init__,62,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/agents/DQN.py,Magic number 32 used in __init__.
hrpan_tetris_mcts.agents,DQN,DQN,Magic number,__init__,64,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/agents/DQN.py,Magic number 100 used in __init__.
hrpan_tetris_mcts.agents,DQN,DQN,Magic number,__init__,66,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/agents/DQN.py,Magic number 50 used in __init__.
hrpan_tetris_mcts.agents,DQN,DQN,Magic number,__init__,67,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/agents/DQN.py,Magic number 2500 used in __init__.
hrpan_tetris_mcts.agents,DQN,DQN,Magic number,update_root,239,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/agents/DQN.py,Magic number 1000 used in update_root.
hrpan_tetris_mcts.agents,DistValueSimOnline,DistValueSim,Magic number,__init__,13,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/agents/DistValueSimOnline.py,Magic number 50 used in __init__.
hrpan_tetris_mcts.agents,DistValueSimOnline,DistValueSim,Magic number,__init__,13,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/agents/DistValueSimOnline.py,Magic number 5000 used in __init__.
hrpan_tetris_mcts.agents,DistValueSimOnline,DistValueSim,Magic number,compute_stats,91,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/agents/DistValueSimOnline.py,Magic number 2 used in compute_stats.
hrpan_tetris_mcts.agents,DistValueSimOnline,DistValueSim,Magic number,compute_stats,100,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/agents/DistValueSimOnline.py,Magic number 3 used in compute_stats.
hrpan_tetris_mcts.agents,DistValueSimOnline,DistValueSim,Magic number,compute_stats,99,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/agents/DistValueSimOnline.py,Magic number 3 used in compute_stats.
hrpan_tetris_mcts.agents,DistValueSimOnline,DistValueSim,Magic number,compute_stats,100,/Volumes/BrokeExt/NICHE/hrpan_tetris_mcts/agents/DistValueSimOnline.py,Magic number 4 used in compute_stats.
