Package,Module,Class,Function,LOC,CC,PC
huseinzol05_NLP-Models-Tensorflow.abstractive-summarization,pointer_generator_helper,PointerGeneratorGreedyEmbeddingHelper,__init__,5,1,3
huseinzol05_NLP-Models-Tensorflow.abstractive-summarization,pointer_generator_helper,PointerGeneratorGreedyEmbeddingHelper,sample,9,2,4
huseinzol05_NLP-Models-Tensorflow.abstractive-summarization,pointer_generator_helper,PointerGeneratorGreedyEmbeddingHelper,next_inputs,15,1,5
huseinzol05_NLP-Models-Tensorflow.abstractive-summarization,pointer_generator_helper,PointerGeneratorDecoder,__init__,7,1,7
huseinzol05_NLP-Models-Tensorflow.abstractive-summarization,pointer_generator_helper,PointerGeneratorDecoder,output_size,5,1,0
huseinzol05_NLP-Models-Tensorflow.abstractive-summarization,pointer_generator_helper,PointerGeneratorDecoder,output_dtype,8,1,0
huseinzol05_NLP-Models-Tensorflow.abstractive-summarization,pointer_generator_helper,PointerGeneratorDecoder,step,71,2,4
huseinzol05_NLP-Models-Tensorflow.abstractive-summarization,pointer_generator_helper,PointerGeneratorAttentionWrapper,__init__,12,1,9
huseinzol05_NLP-Models-Tensorflow.abstractive-summarization,pointer_generator_helper,PointerGeneratorAttentionWrapper,zero_state,53,2,2
huseinzol05_NLP-Models-Tensorflow.abstractive-summarization,pointer_generator_helper,PointerGeneratorAttentionWrapper,call,78,6,2
huseinzol05_NLP-Models-Tensorflow.abstractive-summarization,pointer_generator_helper,PointerGeneratorBahdanauAttention,__init__,12,1,8
huseinzol05_NLP-Models-Tensorflow.abstractive-summarization,pointer_generator_helper,PointerGeneratorBahdanauAttention,__call__,15,1,2
huseinzol05_NLP-Models-Tensorflow.abstractive-summarization,pointer_generator_helper,,_pg_bahdanau_score,22,2,4
huseinzol05_NLP-Models-Tensorflow.chatbot,35.byte-net,ByteNet,__init__,44,3,9
huseinzol05_NLP-Models-Tensorflow.chatbot,35.byte-net,,build_dataset,18,4,3
huseinzol05_NLP-Models-Tensorflow.chatbot,35.byte-net,,clean_text,23,1,1
huseinzol05_NLP-Models-Tensorflow.chatbot,35.byte-net,,str_idx,8,3,2
huseinzol05_NLP-Models-Tensorflow.chatbot,35.byte-net,,pad_sentence_batch,8,2,3
huseinzol05_NLP-Models-Tensorflow.chatbot,35.byte-net,,layer_normalization,8,1,2
huseinzol05_NLP-Models-Tensorflow.chatbot,35.byte-net,,conv1d,12,2,5
huseinzol05_NLP-Models-Tensorflow.chatbot,35.byte-net,,bytenet_residual_block,14,1,6
huseinzol05_NLP-Models-Tensorflow.chatbot,37.capsule-lstm-seq2seq-greedy,Chatbot,__init__,72,2,12
huseinzol05_NLP-Models-Tensorflow.chatbot,37.capsule-lstm-seq2seq-greedy,,build_dataset,18,4,3
huseinzol05_NLP-Models-Tensorflow.chatbot,37.capsule-lstm-seq2seq-greedy,,clean_text,23,1,1
huseinzol05_NLP-Models-Tensorflow.chatbot,37.capsule-lstm-seq2seq-greedy,,squash,4,1,2
huseinzol05_NLP-Models-Tensorflow.chatbot,37.capsule-lstm-seq2seq-greedy,,conv_layer,5,1,5
huseinzol05_NLP-Models-Tensorflow.chatbot,37.capsule-lstm-seq2seq-greedy,,routing,24,3,5
huseinzol05_NLP-Models-Tensorflow.chatbot,37.capsule-lstm-seq2seq-greedy,,fully_conn_layer,7,1,3
huseinzol05_NLP-Models-Tensorflow.chatbot,37.capsule-lstm-seq2seq-greedy,,str_idx,8,3,2
huseinzol05_NLP-Models-Tensorflow.chatbot,37.capsule-lstm-seq2seq-greedy,,pad_sentence_batch,8,2,2
huseinzol05_NLP-Models-Tensorflow.chatbot,37.capsule-lstm-seq2seq-greedy,,pad_sentence_batch_static,8,2,2
huseinzol05_NLP-Models-Tensorflow.chatbot,38.capsule-lstm-seq2seq-luong-beam,Chatbot,__init__,91,2,14
huseinzol05_NLP-Models-Tensorflow.chatbot,38.capsule-lstm-seq2seq-luong-beam,,build_dataset,18,4,3
huseinzol05_NLP-Models-Tensorflow.chatbot,38.capsule-lstm-seq2seq-luong-beam,,clean_text,23,1,1
huseinzol05_NLP-Models-Tensorflow.chatbot,38.capsule-lstm-seq2seq-luong-beam,,squash,4,1,2
huseinzol05_NLP-Models-Tensorflow.chatbot,38.capsule-lstm-seq2seq-luong-beam,,conv_layer,5,1,5
huseinzol05_NLP-Models-Tensorflow.chatbot,38.capsule-lstm-seq2seq-luong-beam,,routing,23,3,5
huseinzol05_NLP-Models-Tensorflow.chatbot,38.capsule-lstm-seq2seq-luong-beam,,fully_conn_layer,7,1,3
huseinzol05_NLP-Models-Tensorflow.chatbot,38.capsule-lstm-seq2seq-luong-beam,,str_idx,8,3,2
huseinzol05_NLP-Models-Tensorflow.chatbot,38.capsule-lstm-seq2seq-luong-beam,,pad_sentence_batch,8,2,2
huseinzol05_NLP-Models-Tensorflow.chatbot,38.capsule-lstm-seq2seq-luong-beam,,pad_sentence_batch_static,8,2,2
huseinzol05_NLP-Models-Tensorflow.chatbot,access,MemoryAccess,__init__,13,1,5
huseinzol05_NLP-Models-Tensorflow.chatbot,access,MemoryAccess,_build,27,1,2
huseinzol05_NLP-Models-Tensorflow.chatbot,access,MemoryAccess,_read_inputs,37,1,1
huseinzol05_NLP-Models-Tensorflow.chatbot,access,MemoryAccess,_write_weights,21,1,3
huseinzol05_NLP-Models-Tensorflow.chatbot,access,MemoryAccess,_read_weights,25,1,4
huseinzol05_NLP-Models-Tensorflow.chatbot,access,MemoryAccess,state_size,7,1,0
huseinzol05_NLP-Models-Tensorflow.chatbot,access,MemoryAccess,output_size,2,1,0
huseinzol05_NLP-Models-Tensorflow.chatbot,access,,_erase_and_write,12,1,4
huseinzol05_NLP-Models-Tensorflow.chatbot,addressing,CosineWeights,__init__,6,1,4
huseinzol05_NLP-Models-Tensorflow.chatbot,addressing,CosineWeights,_build,8,1,3
huseinzol05_NLP-Models-Tensorflow.chatbot,addressing,TemporalLinkage,__init__,5,1,3
huseinzol05_NLP-Models-Tensorflow.chatbot,addressing,TemporalLinkage,_build,8,1,2
huseinzol05_NLP-Models-Tensorflow.chatbot,addressing,TemporalLinkage,directional_read_weights,11,1,3
huseinzol05_NLP-Models-Tensorflow.chatbot,addressing,TemporalLinkage,_link,17,1,3
huseinzol05_NLP-Models-Tensorflow.chatbot,addressing,TemporalLinkage,_precedence_weights,5,1,2
huseinzol05_NLP-Models-Tensorflow.chatbot,addressing,TemporalLinkage,state_size,6,1,0
huseinzol05_NLP-Models-Tensorflow.chatbot,addressing,Freeness,__init__,4,1,2
huseinzol05_NLP-Models-Tensorflow.chatbot,addressing,Freeness,_build,6,1,4
huseinzol05_NLP-Models-Tensorflow.chatbot,addressing,Freeness,write_allocation_weights,14,2,3
huseinzol05_NLP-Models-Tensorflow.chatbot,addressing,Freeness,_usage_after_write,6,1,2
huseinzol05_NLP-Models-Tensorflow.chatbot,addressing,Freeness,_usage_after_read,7,1,3
huseinzol05_NLP-Models-Tensorflow.chatbot,addressing,Freeness,_allocation,17,1,1
huseinzol05_NLP-Models-Tensorflow.chatbot,addressing,Freeness,state_size,2,1,0
huseinzol05_NLP-Models-Tensorflow.chatbot,addressing,,_vector_norms,3,1,1
huseinzol05_NLP-Models-Tensorflow.chatbot,addressing,,weighted_softmax,6,1,3
huseinzol05_NLP-Models-Tensorflow.chatbot,dnc,DNC,__init__,14,2,5
huseinzol05_NLP-Models-Tensorflow.chatbot,dnc,DNC,_clip_if_enabled,5,1,1
huseinzol05_NLP-Models-Tensorflow.chatbot,dnc,DNC,_build,23,1,2
huseinzol05_NLP-Models-Tensorflow.chatbot,dnc,DNC,initial_state,6,1,2
huseinzol05_NLP-Models-Tensorflow.chatbot,dnc,DNC,state_size,2,1,0
huseinzol05_NLP-Models-Tensorflow.chatbot,dnc,DNC,output_size,2,1,0
huseinzol05_NLP-Models-Tensorflow.chatbot,gpt_2,,shape_list,4,1,1
huseinzol05_NLP-Models-Tensorflow.chatbot,gpt_2,,softmax,4,1,2
huseinzol05_NLP-Models-Tensorflow.chatbot,gpt_2,,gelu,6,1,1
huseinzol05_NLP-Models-Tensorflow.chatbot,gpt_2,,norm,14,1,2
huseinzol05_NLP-Models-Tensorflow.chatbot,gpt_2,,split_states,3,1,2
huseinzol05_NLP-Models-Tensorflow.chatbot,gpt_2,,merge_states,3,1,1
huseinzol05_NLP-Models-Tensorflow.chatbot,gpt_2,,conv1d,14,1,3
huseinzol05_NLP-Models-Tensorflow.chatbot,gpt_2,,attention_mask,6,1,2
huseinzol05_NLP-Models-Tensorflow.chatbot,gpt_2,,attn,41,-1,3
huseinzol05_NLP-Models-Tensorflow.chatbot,gpt_2,,mlp,6,1,3
huseinzol05_NLP-Models-Tensorflow.chatbot,gpt_2,,block,10,1,2
huseinzol05_NLP-Models-Tensorflow.chatbot,gpt_2,,past_shape,9,1,0
huseinzol05_NLP-Models-Tensorflow.chatbot,gpt_2,,expand_tile,4,1,2
huseinzol05_NLP-Models-Tensorflow.chatbot,gpt_2,,positions_for,4,1,2
huseinzol05_NLP-Models-Tensorflow.chatbot,gpt_2,,model,38,2,5
huseinzol05_NLP-Models-Tensorflow.chatbot,util,,batch_invert_permutation,5,1,1
