Package,Module,Class,Function,LOC,CC,PC
hysts_pytorch_image_classification,evaluate,,load_config,11,1,0
hysts_pytorch_image_classification,evaluate,,evaluate,39,2,5
hysts_pytorch_image_classification,evaluate,,main,26,2,0
hysts_pytorch_image_classification,train,,load_config,22,4,0
hysts_pytorch_image_classification,train,,subdivide_batch,17,4,3
hysts_pytorch_image_classification,train,,send_targets_to_device,11,4,3
hysts_pytorch_image_classification,train,,train,130,20,10
hysts_pytorch_image_classification,train,,validate,75,12,7
hysts_pytorch_image_classification,train,,main,103,21,0
hysts_pytorch_image_classification.pytorch_image_classification.collators,__init__,,create_collator,9,1,1
hysts_pytorch_image_classification.pytorch_image_classification.collators,cutmix,CutMixCollator,__init__,2,1,1
hysts_pytorch_image_classification.pytorch_image_classification.collators,cutmix,CutMixCollator,__call__,4,1,1
hysts_pytorch_image_classification.pytorch_image_classification.collators,cutmix,,cutmix,18,1,2
hysts_pytorch_image_classification.pytorch_image_classification.collators,mixup,MixupCollator,__init__,2,1,1
hysts_pytorch_image_classification.pytorch_image_classification.collators,mixup,MixupCollator,__call__,4,1,1
hysts_pytorch_image_classification.pytorch_image_classification.collators,mixup,,mixup,9,1,2
hysts_pytorch_image_classification.pytorch_image_classification.collators,ricap,RICAPCollator,__init__,2,1,1
hysts_pytorch_image_classification.pytorch_image_classification.collators,ricap,RICAPCollator,__call__,4,1,1
hysts_pytorch_image_classification.pytorch_image_classification.collators,ricap,,ricap,23,2,2
hysts_pytorch_image_classification.pytorch_image_classification.config,__init__,,update_config,16,4,1
hysts_pytorch_image_classification.pytorch_image_classification.config,config_node,ConfigNode,__init__,2,1,3
hysts_pytorch_image_classification.pytorch_image_classification.config,config_node,ConfigNode,__str__,21,3,0
hysts_pytorch_image_classification.pytorch_image_classification.config,config_node,ConfigNode,as_dict,10,1,0
hysts_pytorch_image_classification.pytorch_image_classification.config,defaults,,get_default_config,2,1,0
hysts_pytorch_image_classification.pytorch_image_classification.datasets,dataloader,,worker_init_fn,2,1,1
hysts_pytorch_image_classification.pytorch_image_classification.datasets,dataloader,,create_dataloader,56,5,2
hysts_pytorch_image_classification.pytorch_image_classification.datasets,datasets,SubsetDataset,__init__,3,1,2
hysts_pytorch_image_classification.pytorch_image_classification.datasets,datasets,SubsetDataset,__getitem__,5,2,1
hysts_pytorch_image_classification.pytorch_image_classification.datasets,datasets,SubsetDataset,__len__,2,1,0
hysts_pytorch_image_classification.pytorch_image_classification.datasets,datasets,,create_dataset,58,2,2
hysts_pytorch_image_classification.pytorch_image_classification.losses,__init__,,create_loss,15,6,1
hysts_pytorch_image_classification.pytorch_image_classification.losses,cutmix,CutMixLoss,__init__,2,1,1
hysts_pytorch_image_classification.pytorch_image_classification.losses,cutmix,CutMixLoss,__call__,4,1,2
hysts_pytorch_image_classification.pytorch_image_classification.losses,dual_cutout,DualCutoutLoss,__init__,3,1,2
hysts_pytorch_image_classification.pytorch_image_classification.losses,dual_cutout,DualCutoutLoss,__call__,5,1,2
hysts_pytorch_image_classification.pytorch_image_classification.losses,label_smoothing,LabelSmoothingLoss,__init__,4,1,2
hysts_pytorch_image_classification.pytorch_image_classification.losses,label_smoothing,LabelSmoothingLoss,__call__,8,1,2
hysts_pytorch_image_classification.pytorch_image_classification.losses,label_smoothing,,onehot_encoding,3,1,2
hysts_pytorch_image_classification.pytorch_image_classification.losses,label_smoothing,,cross_entropy_loss,12,2,3
hysts_pytorch_image_classification.pytorch_image_classification.losses,mixup,MixupLoss,__init__,2,1,1
hysts_pytorch_image_classification.pytorch_image_classification.losses,mixup,MixupLoss,__call__,4,1,2
hysts_pytorch_image_classification.pytorch_image_classification.losses,ricap,RICAPLoss,__init__,2,1,1
hysts_pytorch_image_classification.pytorch_image_classification.losses,ricap,RICAPLoss,__call__,6,1,2
hysts_pytorch_image_classification.pytorch_image_classification.models,__init__,,create_model,8,1,1
hysts_pytorch_image_classification.pytorch_image_classification.models,__init__,,apply_data_parallel_wrapper,11,4,2
hysts_pytorch_image_classification.pytorch_image_classification.models,initializer,,create_initializer,20,5,1
hysts_pytorch_image_classification.pytorch_image_classification.models.cifar,densenet,BasicBlock,__init__,10,1,3
hysts_pytorch_image_classification.pytorch_image_classification.models.cifar,densenet,BasicBlock,forward,8,2,1
hysts_pytorch_image_classification.pytorch_image_classification.models.cifar,densenet,BottleneckBlock,__init__,18,1,3
hysts_pytorch_image_classification.pytorch_image_classification.models.cifar,densenet,BottleneckBlock,forward,14,3,1
hysts_pytorch_image_classification.pytorch_image_classification.models.cifar,densenet,TransitionBlock,__init__,10,1,3
hysts_pytorch_image_classification.pytorch_image_classification.models.cifar,densenet,TransitionBlock,forward,9,2,1
hysts_pytorch_image_classification.pytorch_image_classification.models.cifar,densenet,Network,__init__,51,4,1
hysts_pytorch_image_classification.pytorch_image_classification.models.cifar,densenet,Network,_make_stage,14,3,4
hysts_pytorch_image_classification.pytorch_image_classification.models.cifar,densenet,Network,_forward_conv,8,1,1
hysts_pytorch_image_classification.pytorch_image_classification.models.cifar,densenet,Network,forward,5,1,1
hysts_pytorch_image_classification.pytorch_image_classification.models.cifar,pyramidnet,BasicBlock,__init__,21,2,3
hysts_pytorch_image_classification.pytorch_image_classification.models.cifar,pyramidnet,BasicBlock,forward,12,2,1
hysts_pytorch_image_classification.pytorch_image_classification.models.cifar,pyramidnet,BottleneckBlock,__init__,29,2,3
hysts_pytorch_image_classification.pytorch_image_classification.models.cifar,pyramidnet,BottleneckBlock,forward,14,2,1
hysts_pytorch_image_classification.pytorch_image_classification.models.cifar,pyramidnet,Network,__init__,53,3,1
hysts_pytorch_image_classification.pytorch_image_classification.models.cifar,pyramidnet,Network,_make_stage,15,3,4
hysts_pytorch_image_classification.pytorch_image_classification.models.cifar,pyramidnet,Network,_forward_conv,10,1,1
hysts_pytorch_image_classification.pytorch_image_classification.models.cifar,pyramidnet,Network,forward,5,1,1
hysts_pytorch_image_classification.pytorch_image_classification.models.cifar,resnet,BasicBlock,__init__,29,2,3
hysts_pytorch_image_classification.pytorch_image_classification.models.cifar,resnet,BasicBlock,forward,6,1,1
hysts_pytorch_image_classification.pytorch_image_classification.models.cifar,resnet,BottleneckBlock,__init__,37,2,3
hysts_pytorch_image_classification.pytorch_image_classification.models.cifar,resnet,BottleneckBlock,forward,7,1,1
hysts_pytorch_image_classification.pytorch_image_classification.models.cifar,resnet,Network,__init__,52,2,1
hysts_pytorch_image_classification.pytorch_image_classification.models.cifar,resnet,Network,_make_stage,12,3,5
hysts_pytorch_image_classification.pytorch_image_classification.models.cifar,resnet,Network,_forward_conv,7,1,1
hysts_pytorch_image_classification.pytorch_image_classification.models.cifar,resnet,Network,forward,5,1,1
hysts_pytorch_image_classification.pytorch_image_classification.models.cifar,resnet_preact,BasicBlock,__init__,33,3,6
hysts_pytorch_image_classification.pytorch_image_classification.models.cifar,resnet_preact,BasicBlock,forward,17,4,1
hysts_pytorch_image_classification.pytorch_image_classification.models.cifar,resnet_preact,BottleneckBlock,__init__,41,3,6
hysts_pytorch_image_classification.pytorch_image_classification.models.cifar,resnet_preact,BottleneckBlock,forward,19,4,1
hysts_pytorch_image_classification.pytorch_image_classification.models.cifar,resnet_preact,Network,__init__,58,2,1
hysts_pytorch_image_classification.pytorch_image_classification.models.cifar,resnet_preact,Network,_make_stage,23,3,6
hysts_pytorch_image_classification.pytorch_image_classification.models.cifar,resnet_preact,Network,_forward_conv,9,1,1
hysts_pytorch_image_classification.pytorch_image_classification.models.cifar,resnet_preact,Network,forward,5,1,1
hysts_pytorch_image_classification.pytorch_image_classification.models.cifar,resnext,BottleneckBlock,__init__,38,2,6
hysts_pytorch_image_classification.pytorch_image_classification.models.cifar,resnext,BottleneckBlock,forward,7,1,1
hysts_pytorch_image_classification.pytorch_image_classification.models.cifar,resnext,Network,__init__,48,1,1
hysts_pytorch_image_classification.pytorch_image_classification.models.cifar,resnext,Network,_make_stage,25,3,5
hysts_pytorch_image_classification.pytorch_image_classification.models.cifar,resnext,Network,_forward_conv,7,1,1
hysts_pytorch_image_classification.pytorch_image_classification.models.cifar,resnext,Network,forward,5,1,1
hysts_pytorch_image_classification.pytorch_image_classification.models.cifar,se_resnet_preact,SELayer,__init__,5,1,2
hysts_pytorch_image_classification.pytorch_image_classification.models.cifar,se_resnet_preact,SELayer,forward,6,1,1
hysts_pytorch_image_classification.pytorch_image_classification.models.cifar,se_resnet_preact,BasicBlock,__init__,34,3,7
hysts_pytorch_image_classification.pytorch_image_classification.models.cifar,se_resnet_preact,BasicBlock,forward,18,4,1
hysts_pytorch_image_classification.pytorch_image_classification.models.cifar,se_resnet_preact,BottleneckBlock,__init__,42,3,7
