Package,Module,Class,Function,LOC,CC,PC
jakeret_tf_unet.docs,check_sphinx,,test_linkcheck,6,1,1
jakeret_tf_unet.docs,check_sphinx,,test_build_docs,6,1,1
jakeret_tf_unet.scripts,rfi_launcher,DataProvider,__init__,7,1,4
jakeret_tf_unet.scripts,rfi_launcher,DataProvider,_read_chunck,9,1,0
jakeret_tf_unet.scripts,rfi_launcher,DataProvider,_next_data,8,2,0
jakeret_tf_unet.scripts,rfi_launcher,DataProvider,_cylce_file,2,1,0
jakeret_tf_unet.scripts,rfi_launcher,,launch,20,1,7
jakeret_tf_unet.scripts,ufig_launcher,DataProvider,__init__,6,1,5
jakeret_tf_unet.scripts,ufig_launcher,DataProvider,_load_data,5,1,0
jakeret_tf_unet.scripts,ufig_launcher,DataProvider,_transpose_3d,2,1,1
jakeret_tf_unet.scripts,ufig_launcher,DataProvider,_post_process,8,3,2
jakeret_tf_unet.scripts,ufig_launcher,DataProvider,_next_data,13,1,0
jakeret_tf_unet.scripts,ufig_launcher,,launch,21,1,7
jakeret_tf_unet.scripts,ultrasound_launcher,DataProvider,__init__,4,1,2
jakeret_tf_unet.scripts,ultrasound_launcher,DataProvider,_next_data,6,2,0
jakeret_tf_unet.scripts,ultrasound_launcher,DataProvider,_process_data,4,1,1
jakeret_tf_unet.scripts,ultrasound_launcher,DataProvider,_load_file,3,1,2
jakeret_tf_unet.scripts,ultrasound_launcher,DataProvider,_cylce_file,2,1,0
jakeret_tf_unet.scripts,ultrasound_launcher,,launch,24,2,7
jakeret_tf_unet.tf_unet,image_gen,GrayScaleDataProvider,__init__,8,2,2
jakeret_tf_unet.tf_unet,image_gen,GrayScaleDataProvider,_next_data,2,1,0
jakeret_tf_unet.tf_unet,image_gen,RgbDataProvider,__init__,8,2,2
jakeret_tf_unet.tf_unet,image_gen,RgbDataProvider,_next_data,3,1,0
jakeret_tf_unet.tf_unet,image_gen,,create_image_and_label,39,4,8
jakeret_tf_unet.tf_unet,image_gen,,to_rgb,10,1,1
jakeret_tf_unet.tf_unet,image_util,BaseDataProvider,__init__,3,1,2
jakeret_tf_unet.tf_unet,image_util,BaseDataProvider,_load_data_and_label,8,1,0
jakeret_tf_unet.tf_unet,image_util,BaseDataProvider,_process_labels,15,2,1
jakeret_tf_unet.tf_unet,image_util,BaseDataProvider,_process_data,6,2,1
jakeret_tf_unet.tf_unet,image_util,BaseDataProvider,_post_process,4,1,2
jakeret_tf_unet.tf_unet,image_util,BaseDataProvider,__call__,13,2,1
jakeret_tf_unet.tf_unet,image_util,SimpleDataProvider,__init__,7,1,4
jakeret_tf_unet.tf_unet,image_util,SimpleDataProvider,_next_data,3,1,0
jakeret_tf_unet.tf_unet,image_util,ImageDataProvider,__init__,19,2,6
jakeret_tf_unet.tf_unet,image_util,ImageDataProvider,_find_data_files,3,2,1
jakeret_tf_unet.tf_unet,image_util,ImageDataProvider,_load_file,2,1,2
jakeret_tf_unet.tf_unet,image_util,ImageDataProvider,_cylce_file,6,3,0
jakeret_tf_unet.tf_unet,image_util,ImageDataProvider,_next_data,7,1,0
jakeret_tf_unet.tf_unet,layers,,weight_variable,3,1,3
jakeret_tf_unet.tf_unet,layers,,weight_variable_devonc,2,1,3
jakeret_tf_unet.tf_unet,layers,,bias_variable,3,1,2
jakeret_tf_unet.tf_unet,layers,,conv2d,5,1,4
jakeret_tf_unet.tf_unet,layers,,deconv2d,5,1,3
jakeret_tf_unet.tf_unet,layers,,max_pool,2,1,2
jakeret_tf_unet.tf_unet,layers,,crop_and_concat,9,1,2
jakeret_tf_unet.tf_unet,layers,,pixel_wise_softmax,6,1,1
jakeret_tf_unet.tf_unet,layers,,cross_entropy,2,1,2
jakeret_tf_unet.tf_unet,unet,Unet,__init__,17,1,4
jakeret_tf_unet.tf_unet,unet,Unet,_get_cost,40,5,3
jakeret_tf_unet.tf_unet,unet,Unet,predict,14,1,2
jakeret_tf_unet.tf_unet,unet,Unet,save,6,1,2
jakeret_tf_unet.tf_unet,unet,Unet,restore,6,1,2
jakeret_tf_unet.tf_unet,unet,Trainer,__init__,7,1,6
jakeret_tf_unet.tf_unet,unet,Trainer,_get_optimizer,23,3,2
jakeret_tf_unet.tf_unet,unet,Trainer,_initialize,27,6,4
jakeret_tf_unet.tf_unet,unet,Trainer,train,55,10,9
jakeret_tf_unet.tf_unet,unet,Trainer,store_prediction,15,1,4
jakeret_tf_unet.tf_unet,unet,Trainer,output_epoch_stats,3,1,4
jakeret_tf_unet.tf_unet,unet,Trainer,output_minibatch_stats,17,1,5
jakeret_tf_unet.tf_unet,unet,,create_conv_net,111,13,9
jakeret_tf_unet.tf_unet,unet,,_update_avg_gradients,6,3,3
jakeret_tf_unet.tf_unet,unet,,error_rate,7,1,2
jakeret_tf_unet.tf_unet,unet,,get_image_summary,13,1,2
jakeret_tf_unet.tf_unet,util,,plot_prediction,28,4,4
jakeret_tf_unet.tf_unet,util,,to_rgb,13,3,1
jakeret_tf_unet.tf_unet,util,,crop_to_shape,13,1,2
jakeret_tf_unet.tf_unet,util,,expand_to_shape,12,1,3
jakeret_tf_unet.tf_unet,util,,combine_img_prediction,9,1,3
jakeret_tf_unet.tf_unet,util,,save_image,4,1,2
jakeret_tf_unet.tf_unet,util,,create_training_path,9,2,2
