Package,Module,Class,Smell,Function/Method,Line no,File,Details
jakeret_tf_unet,setup,,Long statement,,20,/Volumes/BrokeExt/NICHE/jakeret_tf_unet/setup.py,A line with 732 chars in setup exceeds the maximum length of 120 characters.
jakeret_tf_unet.docs,conf,,Long statement,,245,/Volumes/BrokeExt/NICHE/jakeret_tf_unet/docs/conf.py,A line with 156 chars in conf exceeds the maximum length of 120 characters.
jakeret_tf_unet.scripts,rfi_launcher,,Long parameter list,launch,43 - 66,/Volumes/BrokeExt/NICHE/jakeret_tf_unet/scripts/rfi_launcher.py,"launch has 7 parameters, exceeding the max of 5."
jakeret_tf_unet.scripts,rfi_launcher,,Long statement,launch,47,/Volumes/BrokeExt/NICHE/jakeret_tf_unet/scripts/rfi_launcher.py,A line with 160 chars in launch exceeds the maximum length of 120 characters.
jakeret_tf_unet.scripts,rfi_launcher,,Long statement,launch,56,/Volumes/BrokeExt/NICHE/jakeret_tf_unet/scripts/rfi_launcher.py,A line with 133 chars in launch exceeds the maximum length of 120 characters.
jakeret_tf_unet.scripts,rfi_launcher,,Long statement,,15,/Volumes/BrokeExt/NICHE/jakeret_tf_unet/scripts/rfi_launcher.py,A line with 195 chars in rfi_launcher exceeds the maximum length of 120 characters.
jakeret_tf_unet.scripts,rfi_launcher,DataProvider,Magic number,__init__,78,/Volumes/BrokeExt/NICHE/jakeret_tf_unet/scripts/rfi_launcher.py,Magic number 30 used in __init__.
jakeret_tf_unet.scripts,rfi_launcher,DataProvider,Magic number,__init__,78,/Volumes/BrokeExt/NICHE/jakeret_tf_unet/scripts/rfi_launcher.py,Magic number 210 used in __init__.
jakeret_tf_unet.scripts,ufig_launcher,,Long parameter list,launch,44 - 70,/Volumes/BrokeExt/NICHE/jakeret_tf_unet/scripts/ufig_launcher.py,"launch has 7 parameters, exceeding the max of 5."
jakeret_tf_unet.scripts,ufig_launcher,,Long statement,launch,50,/Volumes/BrokeExt/NICHE/jakeret_tf_unet/scripts/ufig_launcher.py,A line with 183 chars in launch exceeds the maximum length of 120 characters.
jakeret_tf_unet.scripts,ufig_launcher,,Long statement,launch,61,/Volumes/BrokeExt/NICHE/jakeret_tf_unet/scripts/ufig_launcher.py,A line with 133 chars in launch exceeds the maximum length of 120 characters.
jakeret_tf_unet.scripts,ufig_launcher,,Long statement,,15,/Volumes/BrokeExt/NICHE/jakeret_tf_unet/scripts/ufig_launcher.py,A line with 168 chars in ufig_launcher exceeds the maximum length of 120 characters.
jakeret_tf_unet.scripts,ufig_launcher,DataProvider,Magic number,__init__,82,/Volumes/BrokeExt/NICHE/jakeret_tf_unet/scripts/ufig_launcher.py,Magic number 20 used in __init__.
jakeret_tf_unet.scripts,ufig_launcher,DataProvider,Magic number,_next_data,123,/Volumes/BrokeExt/NICHE/jakeret_tf_unet/scripts/ufig_launcher.py,Magic number 2 used in _next_data.
jakeret_tf_unet.scripts,ufig_launcher,DataProvider,Magic number,_next_data,122,/Volumes/BrokeExt/NICHE/jakeret_tf_unet/scripts/ufig_launcher.py,Magic number 2 used in _next_data.
jakeret_tf_unet.scripts,ultrasound_launcher,,Long parameter list,launch,46 - 76,/Volumes/BrokeExt/NICHE/jakeret_tf_unet/scripts/ultrasound_launcher.py,"launch has 7 parameters, exceeding the max of 5."
jakeret_tf_unet.scripts,ultrasound_launcher,,Long statement,launch,56,/Volumes/BrokeExt/NICHE/jakeret_tf_unet/scripts/ultrasound_launcher.py,A line with 123 chars in launch exceeds the maximum length of 120 characters.
jakeret_tf_unet.scripts,ultrasound_launcher,,Long statement,launch,66,/Volumes/BrokeExt/NICHE/jakeret_tf_unet/scripts/ultrasound_launcher.py,A line with 133 chars in launch exceeds the maximum length of 120 characters.
jakeret_tf_unet.scripts,ultrasound_launcher,,Long statement,,15,/Volumes/BrokeExt/NICHE/jakeret_tf_unet/scripts/ultrasound_launcher.py,A line with 158 chars in ultrasound_launcher exceeds the maximum length of 120 characters.
jakeret_tf_unet.tf_unet,image_gen,,Long parameter list,create_image_and_label,61 - 105,/Volumes/BrokeExt/NICHE/jakeret_tf_unet/tf_unet/image_gen.py,"create_image_and_label has 8 parameters, exceeding the max of 5."
jakeret_tf_unet.tf_unet,image_gen,,Long statement,,15,/Volumes/BrokeExt/NICHE/jakeret_tf_unet/tf_unet/image_gen.py,A line with 121 chars in image_gen exceeds the maximum length of 120 characters.
jakeret_tf_unet.tf_unet,image_gen,,Magic number,create_image_and_label,61,/Volumes/BrokeExt/NICHE/jakeret_tf_unet/tf_unet/image_gen.py,Magic number 10 used in create_image_and_label.
jakeret_tf_unet.tf_unet,image_gen,,Magic number,create_image_and_label,61,/Volumes/BrokeExt/NICHE/jakeret_tf_unet/tf_unet/image_gen.py,Magic number 5 used in create_image_and_label.
jakeret_tf_unet.tf_unet,image_gen,,Magic number,create_image_and_label,61,/Volumes/BrokeExt/NICHE/jakeret_tf_unet/tf_unet/image_gen.py,Magic number 50 used in create_image_and_label.
