Package,Module,Class,Function,LOC,CC,PC
jessevig_bertviz.bertviz,head_view,,head_view,180,28,13
jessevig_bertviz.bertviz,model_view,,model_view,191,30,13
jessevig_bertviz.bertviz,neuron_view,,show,56,5,9
jessevig_bertviz.bertviz,neuron_view,,get_attention,131,25,6
jessevig_bertviz.bertviz,neuron_view,,format_special_chars,2,1,1
jessevig_bertviz.bertviz,neuron_view,,format_delimiters,9,4,2
jessevig_bertviz.bertviz,util,,format_attention,14,5,3
jessevig_bertviz.bertviz,util,,num_layers,2,1,1
jessevig_bertviz.bertviz,util,,num_heads,2,1,1
jessevig_bertviz.bertviz,util,,format_special_chars,2,1,1
jessevig_bertviz.bertviz.tests,test_attention,TestAttention,setUp,5,2,0
jessevig_bertviz.bertviz.tests,test_attention,TestAttention,test_bert_attn,69,5,0
jessevig_bertviz.bertviz.tests,test_attention,TestAttention,test_roberta_attn,63,3,0
jessevig_bertviz.bertviz.tests,test_attention,TestAttention,test_gpt2_attn,20,4,0
jessevig_bertviz.bertviz.tests,test_attention,TestAttention,test_xlnet_attn,15,2,0
jessevig_bertviz.bertviz.transformers_neuron_view,file_utils,,url_to_filename,11,2,2
jessevig_bertviz.bertviz.transformers_neuron_view,file_utils,,filename_to_url,18,6,2
jessevig_bertviz.bertviz.transformers_neuron_view,file_utils,,cached_path,22,8,2
jessevig_bertviz.bertviz.transformers_neuron_view,file_utils,,split_s3_path,9,4,1
jessevig_bertviz.bertviz.transformers_neuron_view,file_utils,,s3_request,12,2,1
jessevig_bertviz.bertviz.transformers_neuron_view,file_utils,,s3_etag,5,1,1
jessevig_bertviz.bertviz.transformers_neuron_view,file_utils,,s3_get,4,1,2
jessevig_bertviz.bertviz.transformers_neuron_view,file_utils,,http_get,10,3,2
jessevig_bertviz.bertviz.transformers_neuron_view,file_utils,,get_from_cache,63,19,2
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,BertConfig,__init__,24,6,12
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,BertEmbeddings,__init__,7,1,1
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,BertEmbeddings,forward,14,3,3
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,BertSelfAttention,__init__,14,2,1
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,BertSelfAttention,transpose_for_scores,4,1,1
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,BertSelfAttention,forward,28,3,3
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,BertSelfOutput,__init__,5,1,1
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,BertSelfOutput,forward,5,1,2
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,BertAttention,__init__,4,1,1
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,BertAttention,prune_heads,14,3,1
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,BertAttention,forward,5,1,3
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,BertIntermediate,__init__,7,4,1
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,BertIntermediate,forward,4,1,1
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,BertOutput,__init__,5,1,1
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,BertOutput,forward,5,1,2
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,BertLayer,__init__,5,1,1
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,BertLayer,forward,7,1,3
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,BertEncoder,__init__,5,1,1
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,BertEncoder,forward,20,7,3
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,BertPooler,__init__,4,1,1
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,BertPooler,forward,5,1,1
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,BertPredictionHeadTransform,__init__,8,4,1
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,BertPredictionHeadTransform,forward,5,1,1
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,BertLMPredictionHead,__init__,7,1,1
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,BertLMPredictionHead,forward,4,1,1
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,BertOnlyMLMHead,__init__,3,1,1
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,BertOnlyMLMHead,forward,3,1,1
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,BertOnlyNSPHead,__init__,3,1,1
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,BertOnlyNSPHead,forward,3,1,1
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,BertPreTrainingHeads,__init__,4,1,1
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,BertPreTrainingHeads,forward,4,1,2
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,BertPreTrainedModel,__init__,2,1,0
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,BertPreTrainedModel,init_weights,10,5,1
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,BertModel,__init__,7,1,1
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,BertModel,_resize_token_embeddings,5,1,1
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,BertModel,_prune_heads,4,2,1
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,BertModel,forward,25,6,5
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,BertForPreTraining,__init__,6,1,1
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,BertForPreTraining,tie_weights,4,1,0
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,BertForPreTraining,forward,13,3,7
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,BertForMaskedLM,__init__,6,1,1
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,BertForMaskedLM,tie_weights,4,1,0
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,BertForMaskedLM,forward,11,2,6
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,BertForNextSentencePrediction,__init__,5,1,1
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,BertForNextSentencePrediction,forward,11,2,6
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,BertForSequenceClassification,__init__,7,1,1
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,BertForSequenceClassification,forward,17,3,6
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,BertForMultipleChoice,__init__,6,1,1
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,BertForMultipleChoice,forward,18,2,6
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,BertForTokenClassification,__init__,7,1,1
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,BertForTokenClassification,forward,19,3,6
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,BertForQuestionAnswering,__init__,6,1,1
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,BertForQuestionAnswering,forward,26,5,7
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,,load_tf_weights_in_bert,61,18,3
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,,gelu,3,1,1
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_bert,,swish,2,1,1
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_gpt2,GPT2Config,__init__,33,6,17
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_gpt2,GPT2Config,max_position_embeddings,2,1,0
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_gpt2,GPT2Config,hidden_size,2,1,0
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_gpt2,GPT2Config,num_attention_heads,2,1,0
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_gpt2,GPT2Config,num_hidden_layers,2,1,0
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_gpt2,Attention,__init__,13,1,4
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_gpt2,Attention,prune_heads,13,3,1
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_gpt2,Attention,_attn,15,4,4
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_gpt2,Attention,merge_heads,4,1,1
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_gpt2,Attention,split_heads,7,1,2
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_gpt2,Attention,forward,27,3,3
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_gpt2,MLP,__init__,7,1,2
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_gpt2,MLP,forward,4,1,1
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_gpt2,Block,__init__,7,1,3
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_gpt2,Block,forward,8,1,3
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_gpt2,GPT2PreTrainedModel,__init__,2,1,0
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_gpt2,GPT2PreTrainedModel,init_weights,10,5,1
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_gpt2,GPT2Model,__init__,11,1,1
jessevig_bertviz.bertviz.transformers_neuron_view,modeling_gpt2,GPT2Model,_resize_token_embeddings,3,1,1
