Package,Module,Class,LOC,WMC,NOM,NOPM,NOF,NOPF,LCOM,Fan-in,Fan-out
jim-schwoebel_voicebook,setup,,5,3,2,2,1,1,1,0,0
jim-schwoebel_voicebook.chapter_1_fundamentals,async_record,,11,3,2,2,0,0,0,0,0
jim-schwoebel_voicebook.chapter_1_fundamentals,convert_file,,7,2,1,1,1,1,0,0,0
jim-schwoebel_voicebook.chapter_1_fundamentals,ffmpeg_commands,,0,0,0,0,0,0,-1,0,0
jim-schwoebel_voicebook.chapter_1_fundamentals,google_transcribe,,24,3,3,3,3,3,1,0,0
jim-schwoebel_voicebook.chapter_1_fundamentals,mic_check,,0,0,0,0,5,5,-1,0,0
jim-schwoebel_voicebook.chapter_1_fundamentals,play_async,,4,1,1,1,1,1,0,0,0
jim-schwoebel_voicebook.chapter_1_fundamentals,play_sync,,4,1,1,1,0,0,0,0,0
jim-schwoebel_voicebook.chapter_1_fundamentals,pydub_commands,,0,0,0,0,10,10,-1,0,0
jim-schwoebel_voicebook.chapter_1_fundamentals,read_write_audio,,0,0,0,0,5,5,-1,0,0
jim-schwoebel_voicebook.chapter_1_fundamentals,sox_commands,,0,0,0,0,0,0,-1,0,0
jim-schwoebel_voicebook.chapter_1_fundamentals,speak,,4,1,1,1,2,2,0,0,0
jim-schwoebel_voicebook.chapter_1_fundamentals,speak_custom,,62,12,5,5,12,12,0.6,0,0
jim-schwoebel_voicebook.chapter_1_fundamentals,speak_google,,14,1,1,1,3,3,0,0,0
jim-schwoebel_voicebook.chapter_1_fundamentals,sphinx_transcibe,,25,3,3,3,3,3,1,0,0
jim-schwoebel_voicebook.chapter_1_fundamentals,sync_record,,6,1,1,1,0,0,0,0,0
jim-schwoebel_voicebook.chapter_2_collection,aa_record,,28,6,5,5,2,2,0.6,0,0
jim-schwoebel_voicebook.chapter_2_collection,apa_record,,0,0,0,0,0,0,-1,0,0
jim-schwoebel_voicebook.chapter_2_collection,aps_record,,0,0,0,0,0,0,-1,0,0
jim-schwoebel_voicebook.chapter_2_collection,as_record,,23,5,5,5,2,2,1,0,0
jim-schwoebel_voicebook.chapter_2_collection,change_channels,,14,3,3,3,0,0,1,0,0
jim-schwoebel_voicebook.chapter_2_collection,change_samplerate,,0,0,0,0,0,0,-1,0,0
jim-schwoebel_voicebook.chapter_2_collection,change_volume,,7,2,1,1,1,1,0,0,0
jim-schwoebel_voicebook.chapter_2_collection,combine_audio,,12,2,2,2,0,0,1,0,0
jim-schwoebel_voicebook.chapter_2_collection,combine_files,,4,1,1,1,0,0,0,0,0
jim-schwoebel_voicebook.chapter_2_collection,convert_flac,,15,5,2,2,3,3,1,0,0
jim-schwoebel_voicebook.chapter_2_collection,convert_opus,,27,5,2,2,4,4,1,0,0
jim-schwoebel_voicebook.chapter_2_collection,diarize,,48,13,7,7,50,50,1,0,0
jim-schwoebel_voicebook.chapter_2_collection,label_memupps,,44,4,3,3,10,10,0,0,0
jim-schwoebel_voicebook.chapter_2_collection,pa_record,,12,2,2,2,2,2,0,0,0
jim-schwoebel_voicebook.chapter_2_collection,ps_record,,6,1,1,1,2,2,0,0,0
jim-schwoebel_voicebook.chapter_2_collection,remove_noise,,21,2,1,1,0,0,0,0,0
jim-schwoebel_voicebook.chapter_2_collection,store_ftp,,0,0,0,0,0,0,-1,0,0
jim-schwoebel_voicebook.chapter_2_collection,store_gcp,,17,2,2,2,4,4,1,0,0
jim-schwoebel_voicebook.chapter_2_collection,transcode,,9,2,1,1,1,1,0,0,0
jim-schwoebel_voicebook.chapter_2_collection,trim_audio,,6,1,1,1,0,0,0,0,0
jim-schwoebel_voicebook.chapter_2_collection,trim_silence,,5,1,1,1,0,0,0,0,0
jim-schwoebel_voicebook.chapter_2_collection,unpack_files,,30,6,2,2,3,3,1,0,0
jim-schwoebel_voicebook.chapter_2_collection,zip_files,,2,1,1,1,0,0,0,0,0
jim-schwoebel_voicebook.chapter_2_collection.pyAudioAnalysis3,analyzeMovieSound,,162,41,4,4,30,30,0,0,0
jim-schwoebel_voicebook.chapter_2_collection.pyAudioAnalysis3,audacityAnnotation2WAVs,,33,9,2,2,10,10,0,0,0
jim-schwoebel_voicebook.chapter_2_collection.pyAudioAnalysis3,audioAnalysis,,300,63,25,25,11,11,0.88,0,0
jim-schwoebel_voicebook.chapter_2_collection.pyAudioAnalysis3,audioAnalysisRecordAlsa,,0,0,0,0,0,0,-1,0,0
jim-schwoebel_voicebook.chapter_2_collection.pyAudioAnalysis3,audioBasicIO,,98,24,4,4,13,13,1,0,0
jim-schwoebel_voicebook.chapter_2_collection.pyAudioAnalysis3,audioFeatureExtraction,,566,87,24,24,89,89,0.08,0,0
jim-schwoebel_voicebook.chapter_2_collection.pyAudioAnalysis3,audioSegmentation,,697,127,18,18,125,125,0.11,0,0
jim-schwoebel_voicebook.chapter_2_collection.pyAudioAnalysis3,audioTrainTest,,756,154,32,32,87,87,0.09,1,1
