Package,Module,Class,Function,LOC,CC,PC
jim-schwoebel_voicebook,setup,,pip3_install,2,1,0
jim-schwoebel_voicebook,setup,,brew_install,3,2,1
jim-schwoebel_voicebook.chapter_1_fundamentals,async_record,,printstuff,3,2,1
jim-schwoebel_voicebook.chapter_1_fundamentals,async_record,,async_record,8,1,4
jim-schwoebel_voicebook.chapter_1_fundamentals,convert_file,,convert_wav,7,2,1
jim-schwoebel_voicebook.chapter_1_fundamentals,google_transcribe,,transcribe_audio_google,6,1,1
jim-schwoebel_voicebook.chapter_1_fundamentals,google_transcribe,,sync_record,6,1,4
jim-schwoebel_voicebook.chapter_1_fundamentals,google_transcribe,,store_transcript,12,1,2
jim-schwoebel_voicebook.chapter_1_fundamentals,play_async,,async_playback,4,1,1
jim-schwoebel_voicebook.chapter_1_fundamentals,play_sync,,sync_playback,4,1,1
jim-schwoebel_voicebook.chapter_1_fundamentals,speak,,speak_text,4,1,1
jim-schwoebel_voicebook.chapter_1_fundamentals,speak_custom,,speak_text,4,1,1
jim-schwoebel_voicebook.chapter_1_fundamentals,speak_custom,,speak_text_custom,9,1,3
jim-schwoebel_voicebook.chapter_1_fundamentals,speak_custom,,select_speed,28,5,0
jim-schwoebel_voicebook.chapter_1_fundamentals,speak_custom,,select_voice,18,4,1
jim-schwoebel_voicebook.chapter_1_fundamentals,speak_custom,,rand_select,3,1,1
jim-schwoebel_voicebook.chapter_1_fundamentals,speak_google,,speak_google,14,1,3
jim-schwoebel_voicebook.chapter_1_fundamentals,sphinx_transcibe,,sync_record,6,1,4
jim-schwoebel_voicebook.chapter_1_fundamentals,sphinx_transcibe,,transcribe_audio_sphinx,7,1,1
jim-schwoebel_voicebook.chapter_1_fundamentals,sphinx_transcibe,,store_transcript,12,1,2
jim-schwoebel_voicebook.chapter_1_fundamentals,sync_record,,sync_record,6,1,4
jim-schwoebel_voicebook.chapter_2_collection,aa_record,,sync_record,10,2,4
jim-schwoebel_voicebook.chapter_2_collection,aa_record,,sync_playback,4,1,1
jim-schwoebel_voicebook.chapter_2_collection,aa_record,,speak_text,4,1,1
jim-schwoebel_voicebook.chapter_2_collection,aa_record,,transcribe_audio_sphinx,7,1,1
jim-schwoebel_voicebook.chapter_2_collection,aa_record,,fetch_weather,3,1,0
jim-schwoebel_voicebook.chapter_2_collection,as_record,,sync_record,6,1,4
jim-schwoebel_voicebook.chapter_2_collection,as_record,,sync_playback,4,1,1
jim-schwoebel_voicebook.chapter_2_collection,as_record,,speak_text,4,1,1
jim-schwoebel_voicebook.chapter_2_collection,as_record,,transcribe_audio_sphinx,7,1,1
jim-schwoebel_voicebook.chapter_2_collection,as_record,,fetch_weather,2,1,0
jim-schwoebel_voicebook.chapter_2_collection,change_channels,,stereo2mono,4,1,1
jim-schwoebel_voicebook.chapter_2_collection,change_channels,,separate_channels,6,1,1
jim-schwoebel_voicebook.chapter_2_collection,change_channels,,multiplex,4,1,2
jim-schwoebel_voicebook.chapter_2_collection,change_volume,,change_volume,7,2,2
jim-schwoebel_voicebook.chapter_2_collection,combine_audio,,combine_series,6,1,2
jim-schwoebel_voicebook.chapter_2_collection,combine_audio,,combine_channels,6,1,2
jim-schwoebel_voicebook.chapter_2_collection,combine_files,,combine_files,4,1,2
jim-schwoebel_voicebook.chapter_2_collection,convert_flac,,zipdir,4,2,2
jim-schwoebel_voicebook.chapter_2_collection,convert_flac,,convert_flac,11,3,0
jim-schwoebel_voicebook.chapter_2_collection,convert_opus,,zipdir,4,2,2
jim-schwoebel_voicebook.chapter_2_collection,convert_opus,,convert_opus,23,3,1
jim-schwoebel_voicebook.chapter_2_collection,diarize,,exportfile,5,1,6
jim-schwoebel_voicebook.chapter_2_collection,diarize,,stitchtogether,12,4,3
jim-schwoebel_voicebook.chapter_2_collection,diarize,,stereo2mono,6,2,2
jim-schwoebel_voicebook.chapter_2_collection,diarize,,convertformat,8,1,1
jim-schwoebel_voicebook.chapter_2_collection,diarize,,zipdir,4,3,2
jim-schwoebel_voicebook.chapter_2_collection,diarize,,transcribe_audio_google,6,1,1
jim-schwoebel_voicebook.chapter_2_collection,diarize,,transcribe_audio_sphinx,7,1,1
jim-schwoebel_voicebook.chapter_2_collection,label_memupps,,get_defaults,25,2,0
jim-schwoebel_voicebook.chapter_2_collection,label_memupps,,label_sample,12,1,1
jim-schwoebel_voicebook.chapter_2_collection,label_memupps,,sync_record,7,1,4
jim-schwoebel_voicebook.chapter_2_collection,pa_record,,get_battery,5,1,0
jim-schwoebel_voicebook.chapter_2_collection,pa_record,,sync_record,7,1,4
jim-schwoebel_voicebook.chapter_2_collection,ps_record,,sync_record,6,1,4
jim-schwoebel_voicebook.chapter_2_collection,remove_noise,,remove_noise,21,2,1
jim-schwoebel_voicebook.chapter_2_collection,store_gcp,,sync_record,7,1,4
jim-schwoebel_voicebook.chapter_2_collection,store_gcp,,upload_gcp,10,1,2
jim-schwoebel_voicebook.chapter_2_collection,transcode,,convert_wav,9,2,2
jim-schwoebel_voicebook.chapter_2_collection,trim_audio,,trim_audio,6,1,3
jim-schwoebel_voicebook.chapter_2_collection,trim_silence,,trim_silence,5,1,1
jim-schwoebel_voicebook.chapter_2_collection,unpack_files,,unzip,5,1,1
jim-schwoebel_voicebook.chapter_2_collection,unpack_files,,convert_wav,25,5,1
jim-schwoebel_voicebook.chapter_2_collection,zip_files,,zipdir,2,1,1
jim-schwoebel_voicebook.chapter_2_collection.pyAudioAnalysis3,analyzeMovieSound,,classifyFolderWrapper,45,10,4
jim-schwoebel_voicebook.chapter_2_collection.pyAudioAnalysis3,analyzeMovieSound,,getMusicSegmentsFromFile,18,8,1
jim-schwoebel_voicebook.chapter_2_collection.pyAudioAnalysis3,analyzeMovieSound,,analyzeDir,13,5,1
jim-schwoebel_voicebook.chapter_2_collection.pyAudioAnalysis3,analyzeMovieSound,,main,86,18,1
jim-schwoebel_voicebook.chapter_2_collection.pyAudioAnalysis3,audacityAnnotation2WAVs,,annotation2files,14,2,2
jim-schwoebel_voicebook.chapter_2_collection.pyAudioAnalysis3,audacityAnnotation2WAVs,,main,19,7,1
jim-schwoebel_voicebook.chapter_2_collection.pyAudioAnalysis3,audioAnalysis,,dirMp3toWavWrapper,5,2,3
jim-schwoebel_voicebook.chapter_2_collection.pyAudioAnalysis3,audioAnalysis,,dirWAVChangeFs,4,2,3
jim-schwoebel_voicebook.chapter_2_collection.pyAudioAnalysis3,audioAnalysis,,featureExtractionFileWrapper,4,2,6
jim-schwoebel_voicebook.chapter_2_collection.pyAudioAnalysis3,audioAnalysis,,beatExtractionWrapper,8,2,2
jim-schwoebel_voicebook.chapter_2_collection.pyAudioAnalysis3,audioAnalysis,,featureExtractionDirWrapper,4,2,5
jim-schwoebel_voicebook.chapter_2_collection.pyAudioAnalysis3,audioAnalysis,,featureVisualizationDirWrapper,4,2,1
jim-schwoebel_voicebook.chapter_2_collection.pyAudioAnalysis3,audioAnalysis,,fileSpectrogramWrapper,6,2,1
jim-schwoebel_voicebook.chapter_2_collection.pyAudioAnalysis3,audioAnalysis,,fileChromagramWrapper,6,2,1
