Package,Module,Class,Function,LOC,CC,PC
kdexd_virtex,hubconf,,resnet50,11,2,1
kdexd_virtex,setup,,get_model_zoo_configs,22,6,0
kdexd_virtex.docs,conf,,linkcode_resolve,32,5,2
kdexd_virtex.scripts,build_vocabulary,,_read_captions,8,2,1
kdexd_virtex.scripts,clf_linear,,main,166,17,1
kdexd_virtex.scripts,clf_voc07,,train_test_single_svm,32,3,1
kdexd_virtex.scripts,clf_voc07,,main,89,9,1
kdexd_virtex.scripts,eval_captioning,,main,51,8,1
kdexd_virtex.scripts,eval_detectron2,Res5ROIHeadsExtraNorm,_build_res5_block,5,1,1
kdexd_virtex.scripts,eval_detectron2,DownstreamTrainer,__init__,14,3,2
kdexd_virtex.scripts,eval_detectron2,DownstreamTrainer,build_evaluator,11,3,4
kdexd_virtex.scripts,eval_detectron2,DownstreamTrainer,test,8,4,3
kdexd_virtex.scripts,eval_detectron2,,build_detectron2_config,15,1,2
kdexd_virtex.scripts,eval_detectron2,,main,37,7,1
kdexd_virtex.scripts,pretrain_virtex,,main,145,13,1
kdexd_virtex.virtex,config,Config,__init__,69,2,2
kdexd_virtex.virtex,config,Config,dump,3,1,1
kdexd_virtex.virtex,config,Config,__getattr__,2,1,1
kdexd_virtex.virtex,config,Config,__str__,2,1,0
kdexd_virtex.virtex,config,Config,__repr__,2,1,0
kdexd_virtex.virtex,factories,Factory,__init__,6,1,0
kdexd_virtex.virtex,factories,Factory,create,4,2,2
kdexd_virtex.virtex,factories,Factory,from_config,2,1,2
kdexd_virtex.virtex,factories,TokenizerFactory,from_config,9,1,2
kdexd_virtex.virtex,factories,ImageTransformsFactory,create,8,2,2
kdexd_virtex.virtex,factories,ImageTransformsFactory,from_config,2,1,2
kdexd_virtex.virtex,factories,PretrainingDatasetFactory,from_config,29,6,3
kdexd_virtex.virtex,factories,DownstreamDatasetFactory,from_config,23,4,3
kdexd_virtex.virtex,factories,VisualBackboneFactory,from_config,14,1,2
kdexd_virtex.virtex,factories,TextualHeadFactory,from_config,33,2,2
kdexd_virtex.virtex,factories,PretrainingModelFactory,from_config,27,4,2
kdexd_virtex.virtex,factories,CaptionDecoderFactory,from_config,13,3,2
kdexd_virtex.virtex,factories,OptimizerFactory,from_config,19,4,3
kdexd_virtex.virtex,factories,LRSchedulerFactory,from_config,11,2,3
kdexd_virtex.virtex.data,tokenizers,SentencePieceBPETokenizer,__init__,4,1,1
kdexd_virtex.virtex.data,tokenizers,SentencePieceBPETokenizer,__getstate__,6,1,0
kdexd_virtex.virtex.data,tokenizers,SentencePieceBPETokenizer,__setstate__,4,1,1
kdexd_virtex.virtex.data,tokenizers,SentencePieceBPETokenizer,get_vocab_size,2,1,0
kdexd_virtex.virtex.data,tokenizers,SentencePieceBPETokenizer,token_to_id,2,1,1
kdexd_virtex.virtex.data,tokenizers,SentencePieceBPETokenizer,id_to_token,2,1,1
kdexd_virtex.virtex.data,tokenizers,SentencePieceBPETokenizer,encode,2,1,1
kdexd_virtex.virtex.data,tokenizers,SentencePieceBPETokenizer,decode,2,1,1
kdexd_virtex.virtex.data,transforms,HorizontalFlip,targets,2,1,0
kdexd_virtex.virtex.data,transforms,HorizontalFlip,apply,2,1,1
kdexd_virtex.virtex.data,transforms,HorizontalFlip,apply_to_caption,7,1,1
kdexd_virtex.virtex.data,transforms,RandomResizedSquareCrop,__init__,2,1,1
kdexd_virtex.virtex.data,transforms,CenterSquareCrop,__init__,2,1,1
kdexd_virtex.virtex.data,transforms,SquareResize,__init__,2,1,1
kdexd_virtex.virtex.data.datasets,captioning,CaptioningDataset,__init__,8,1,5
