Package,Module,Class,Function,LOC,CC,PC
lufficc_SSD,demo,,run_demo,51,4,6
lufficc_SSD,demo,,main,36,1,0
lufficc_SSD,test,,evaluation,8,1,3
lufficc_SSD,test,,main,46,3,0
lufficc_SSD,train,,train,20,2,2
lufficc_SSD,train,,main,56,5,0
lufficc_SSD.ssd.config,path_catlog,DatasetCatalog,get,24,4,1
lufficc_SSD.ssd.data,build,BatchCollator,__init__,2,1,1
lufficc_SSD.ssd.data,build,BatchCollator,__call__,12,2,1
lufficc_SSD.ssd.data,build,,make_data_loader,28,5,5
lufficc_SSD.ssd.data.datasets,__init__,,build_dataset,21,5,4
lufficc_SSD.ssd.data.datasets,coco,COCODataset,__init__,16,2,5
lufficc_SSD.ssd.data.datasets,coco,COCODataset,__getitem__,13,3,1
lufficc_SSD.ssd.data.datasets,coco,COCODataset,get_annotation,3,1,1
lufficc_SSD.ssd.data.datasets,coco,COCODataset,__len__,2,1,0
lufficc_SSD.ssd.data.datasets,coco,COCODataset,_get_annotation,10,1,1
lufficc_SSD.ssd.data.datasets,coco,COCODataset,_xywh2xyxy,3,1,1
lufficc_SSD.ssd.data.datasets,coco,COCODataset,get_img_info,4,1,1
lufficc_SSD.ssd.data.datasets,coco,COCODataset,_read_image,6,1,1
lufficc_SSD.ssd.data.datasets,voc,VOCDataset,__init__,10,1,5
lufficc_SSD.ssd.data.datasets,voc,VOCDataset,__getitem__,16,4,1
lufficc_SSD.ssd.data.datasets,voc,VOCDataset,get_annotation,3,1,1
lufficc_SSD.ssd.data.datasets,voc,VOCDataset,__len__,2,1,0
lufficc_SSD.ssd.data.datasets,voc,VOCDataset,_read_image_ids,6,2,1
lufficc_SSD.ssd.data.datasets,voc,VOCDataset,_get_annotation,21,2,1
lufficc_SSD.ssd.data.datasets,voc,VOCDataset,get_img_info,7,1,1
lufficc_SSD.ssd.data.datasets,voc,VOCDataset,_read_image,5,1,1
lufficc_SSD.ssd.data.datasets.evaluation,__init__,,evaluate,11,2,3
lufficc_SSD.ssd.data.datasets.evaluation.coco,__init__,,coco_evaluation,53,5,4
lufficc_SSD.ssd.data.datasets.evaluation.voc,__init__,,voc_evaluation,47,5,4
lufficc_SSD.ssd.data.datasets.evaluation.voc,eval_detection_voc,,bbox_iou,13,3,2
lufficc_SSD.ssd.data.datasets.evaluation.voc,eval_detection_voc,,eval_detection_voc,16,1,8
lufficc_SSD.ssd.data.datasets.evaluation.voc,eval_detection_voc,,calc_detection_voc_prec_rec,102,15,7
lufficc_SSD.ssd.data.datasets.evaluation.voc,eval_detection_voc,,calc_detection_voc_ap,34,7,3
lufficc_SSD.ssd.data.samplers,distributed,DistributedSampler,__init__,16,5,4
lufficc_SSD.ssd.data.samplers,distributed,DistributedSampler,__iter__,14,2,0
lufficc_SSD.ssd.data.samplers,distributed,DistributedSampler,__len__,2,1,0
lufficc_SSD.ssd.data.samplers,distributed,DistributedSampler,set_epoch,2,1,1
lufficc_SSD.ssd.data.samplers,iteration_based_batch_sampler,IterationBasedBatchSampler,__init__,4,1,3
lufficc_SSD.ssd.data.samplers,iteration_based_batch_sampler,IterationBasedBatchSampler,__iter__,13,5,0
