Package,Module,Class,Smell,Function/Method,Line no,File,Details
lufficc_SSD,demo,,Long method,run_demo,21 - 74,/Volumes/BrokeExt/NICHE/lufficc_SSD/demo.py,Method 'run_demo' is too long (51 lines).
lufficc_SSD,demo,,Long parameter list,run_demo,21 - 74,/Volumes/BrokeExt/NICHE/lufficc_SSD/demo.py,"run_demo has 6 parameters, exceeding the max of 5."
lufficc_SSD,demo,,Long statement,run_demo,63,/Volumes/BrokeExt/NICHE/lufficc_SSD/demo.py,A line with 218 chars in run_demo exceeds the maximum length of 120 characters.
lufficc_SSD,demo,,Long statement,main,89,/Volumes/BrokeExt/NICHE/lufficc_SSD/demo.py,A line with 122 chars in main exceeds the maximum length of 120 characters.
lufficc_SSD,demo,,Long statement,main,90,/Volumes/BrokeExt/NICHE/lufficc_SSD/demo.py,A line with 124 chars in main exceeds the maximum length of 120 characters.
lufficc_SSD,demo,,Long statement,main,111,/Volumes/BrokeExt/NICHE/lufficc_SSD/demo.py,A line with 159 chars in main exceeds the maximum length of 120 characters.
lufficc_SSD,demo,,Magic number,run_demo,48,/Volumes/BrokeExt/NICHE/lufficc_SSD/demo.py,Magic number 2 used in run_demo.
lufficc_SSD,setup,,Long statement,,6,/Volumes/BrokeExt/NICHE/lufficc_SSD/setup.py,A line with 713 chars in setup exceeds the maximum length of 120 characters.
lufficc_SSD,test,,Long method,main,28 - 80,/Volumes/BrokeExt/NICHE/lufficc_SSD/test.py,Method 'main' is too long (46 lines).
lufficc_SSD,test,,Long statement,main,38,/Volumes/BrokeExt/NICHE/lufficc_SSD/test.py,A line with 132 chars in main exceeds the maximum length of 120 characters.
lufficc_SSD,train,,Long method,main,48 - 110,/Volumes/BrokeExt/NICHE/lufficc_SSD/train.py,Method 'main' is too long (56 lines).
lufficc_SSD,train,,Long statement,train,42,/Volumes/BrokeExt/NICHE/lufficc_SSD/train.py,A line with 135 chars in train exceeds the maximum length of 120 characters.
lufficc_SSD,train,,Long statement,main,60,/Volumes/BrokeExt/NICHE/lufficc_SSD/train.py,A line with 128 chars in main exceeds the maximum length of 120 characters.
lufficc_SSD.ssd.data,build,,Long statement,make_data_loader,53,/Volumes/BrokeExt/NICHE/lufficc_SSD/ssd/data/build.py,A line with 178 chars in make_data_loader exceeds the maximum length of 120 characters.
lufficc_SSD.ssd.data.datasets,coco,COCODataset,Magic number,_get_annotation,73,/Volumes/BrokeExt/NICHE/lufficc_SSD/ssd/data/datasets/coco.py,Magic number 3 used in _get_annotation.
lufficc_SSD.ssd.data.datasets,coco,COCODataset,Magic number,_get_annotation,73,/Volumes/BrokeExt/NICHE/lufficc_SSD/ssd/data/datasets/coco.py,Magic number 2 used in _get_annotation.
lufficc_SSD.ssd.data.datasets,voc,VOCDataset,Long statement,__init__,19,/Volumes/BrokeExt/NICHE/lufficc_SSD/ssd/data/datasets/voc.py,A line with 261 chars in __init__ exceeds the maximum length of 120 characters.
lufficc_SSD.ssd.data.datasets.evaluation,__init__,,Long statement,evaluate,7,/Volumes/BrokeExt/NICHE/lufficc_SSD/ssd/data/datasets/evaluation/__init__.py,A line with 412 chars in evaluate exceeds the maximum length of 120 characters.
lufficc_SSD.ssd.data.datasets.evaluation.coco,__init__,,Long method,coco_evaluation,7 - 62,/Volumes/BrokeExt/NICHE/lufficc_SSD/ssd/data/datasets/evaluation/coco/__init__.py,Method 'coco_evaluation' is too long (53 lines).
lufficc_SSD.ssd.data.datasets.evaluation.coco,__init__,,Long statement,coco_evaluation,22,/Volumes/BrokeExt/NICHE/lufficc_SSD/ssd/data/datasets/evaluation/coco/__init__.py,A line with 202 chars in coco_evaluation exceeds the maximum length of 120 characters.
lufficc_SSD.ssd.data.datasets.evaluation.voc,__init__,,Long method,voc_evaluation,10 - 60,/Volumes/BrokeExt/NICHE/lufficc_SSD/ssd/data/datasets/evaluation/voc/__init__.py,Method 'voc_evaluation' is too long (47 lines).
lufficc_SSD.ssd.data.datasets.evaluation.voc,__init__,,Long statement,voc_evaluation,35,/Volumes/BrokeExt/NICHE/lufficc_SSD/ssd/data/datasets/evaluation/voc/__init__.py,A line with 232 chars in voc_evaluation exceeds the maximum length of 120 characters.
lufficc_SSD.ssd.data.datasets.evaluation.voc,eval_detection_voc,,Complex method,calc_detection_voc_prec_rec,125 - 283,/Volumes/BrokeExt/NICHE/lufficc_SSD/ssd/data/datasets/evaluation/voc/eval_detection_voc.py,"Method 'calc_detection_voc_prec_rec' has a cyclomatic complexity of 15, exceeding the max of 6."
lufficc_SSD.ssd.data.datasets.evaluation.voc,eval_detection_voc,,Complex method,calc_detection_voc_ap,286 - 346,/Volumes/BrokeExt/NICHE/lufficc_SSD/ssd/data/datasets/evaluation/voc/eval_detection_voc.py,"Method 'calc_detection_voc_ap' has a cyclomatic complexity of 7, exceeding the max of 6."
lufficc_SSD.ssd.data.datasets.evaluation.voc,eval_detection_voc,,Long method,calc_detection_voc_prec_rec,125 - 283,/Volumes/BrokeExt/NICHE/lufficc_SSD/ssd/data/datasets/evaluation/voc/eval_detection_voc.py,Method 'calc_detection_voc_prec_rec' is too long (102 lines).
lufficc_SSD.ssd.data.datasets.evaluation.voc,eval_detection_voc,,Long parameter list,eval_detection_voc,45 - 122,/Volumes/BrokeExt/NICHE/lufficc_SSD/ssd/data/datasets/evaluation/voc/eval_detection_voc.py,"eval_detection_voc has 8 parameters, exceeding the max of 5."
lufficc_SSD.ssd.data.datasets.evaluation.voc,eval_detection_voc,,Long parameter list,calc_detection_voc_prec_rec,125 - 283,/Volumes/BrokeExt/NICHE/lufficc_SSD/ssd/data/datasets/evaluation/voc/eval_detection_voc.py,"calc_detection_voc_prec_rec has 7 parameters, exceeding the max of 5."
lufficc_SSD.ssd.data.datasets.evaluation.voc,eval_detection_voc,,Long statement,bbox_iou,10,/Volumes/BrokeExt/NICHE/lufficc_SSD/ssd/data/datasets/evaluation/voc/eval_detection_voc.py,A line with 992 chars in bbox_iou exceeds the maximum length of 120 characters.
lufficc_SSD.ssd.data.datasets.evaluation.voc,eval_detection_voc,,Long statement,eval_detection_voc,54,/Volumes/BrokeExt/NICHE/lufficc_SSD/ssd/data/datasets/evaluation/voc/eval_detection_voc.py,A line with 3147 chars in eval_detection_voc exceeds the maximum length of 120 characters.
lufficc_SSD.ssd.data.datasets.evaluation.voc,eval_detection_voc,,Long statement,eval_detection_voc,112,/Volumes/BrokeExt/NICHE/lufficc_SSD/ssd/data/datasets/evaluation/voc/eval_detection_voc.py,A line with 140 chars in eval_detection_voc exceeds the maximum length of 120 characters.
lufficc_SSD.ssd.data.datasets.evaluation.voc,eval_detection_voc,,Long statement,calc_detection_voc_prec_rec,129,/Volumes/BrokeExt/NICHE/lufficc_SSD/ssd/data/datasets/evaluation/voc/eval_detection_voc.py,A line with 3047 chars in calc_detection_voc_prec_rec exceeds the maximum length of 120 characters.
lufficc_SSD.ssd.data.datasets.evaluation.voc,eval_detection_voc,,Long statement,calc_detection_voc_ap,287,/Volumes/BrokeExt/NICHE/lufficc_SSD/ssd/data/datasets/evaluation/voc/eval_detection_voc.py,A line with 1231 chars in calc_detection_voc_ap exceeds the maximum length of 120 characters.
lufficc_SSD.ssd.data.datasets.evaluation.voc,eval_detection_voc,,Magic number,bbox_iou,31,/Volumes/BrokeExt/NICHE/lufficc_SSD/ssd/data/datasets/evaluation/voc/eval_detection_voc.py,Magic number 4 used in bbox_iou.
lufficc_SSD.ssd.data.datasets.evaluation.voc,eval_detection_voc,,Magic number,bbox_iou,31,/Volumes/BrokeExt/NICHE/lufficc_SSD/ssd/data/datasets/evaluation/voc/eval_detection_voc.py,Magic number 4 used in bbox_iou.
lufficc_SSD.ssd.data.datasets.evaluation.voc,eval_detection_voc,,Magic number,eval_detection_voc,52,/Volumes/BrokeExt/NICHE/lufficc_SSD/ssd/data/datasets/evaluation/voc/eval_detection_voc.py,Magic number 0.5 used in eval_detection_voc.
lufficc_SSD.ssd.data.datasets.evaluation.voc,eval_detection_voc,,Magic number,calc_detection_voc_prec_rec,128,/Volumes/BrokeExt/NICHE/lufficc_SSD/ssd/data/datasets/evaluation/voc/eval_detection_voc.py,Magic number 0.5 used in calc_detection_voc_prec_rec.
lufficc_SSD.ssd.data.datasets.evaluation.voc,eval_detection_voc,,Magic number,calc_detection_voc_prec_rec,232,/Volumes/BrokeExt/NICHE/lufficc_SSD/ssd/data/datasets/evaluation/voc/eval_detection_voc.py,Magic number 2 used in calc_detection_voc_prec_rec.
lufficc_SSD.ssd.data.datasets.evaluation.voc,eval_detection_voc,,Magic number,calc_detection_voc_prec_rec,234,/Volumes/BrokeExt/NICHE/lufficc_SSD/ssd/data/datasets/evaluation/voc/eval_detection_voc.py,Magic number 2 used in calc_detection_voc_prec_rec.
lufficc_SSD.ssd.data.datasets.evaluation.voc,eval_detection_voc,,Magic number,calc_detection_voc_ap,330,/Volumes/BrokeExt/NICHE/lufficc_SSD/ssd/data/datasets/evaluation/voc/eval_detection_voc.py,Magic number 11 used in calc_detection_voc_ap.
