Package,Module,Class,Function,LOC,CC,PC
open-mmlab_mmskeleton,mmskl,,parse_cfg,69,19,0
open-mmlab_mmskeleton,mmskl,,main,6,2,0
open-mmlab_mmskeleton,setup,torch_and_cython_build_ext,finalize_options,8,2,0
open-mmlab_mmskeleton,setup,,readme,4,1,0
open-mmlab_mmskeleton,setup,,get_git_hash,21,3,0
open-mmlab_mmskeleton,setup,,get_hash,12,4,0
open-mmlab_mmskeleton,setup,,write_version_py,14,1,0
open-mmlab_mmskeleton,setup,,get_version,4,1,0
open-mmlab_mmskeleton,setup,,get_requirements,5,1,1
open-mmlab_mmskeleton,setup,,make_cython_ext,13,2,3
open-mmlab_mmskeleton,setup,,make_cuda_ext,19,3,4
open-mmlab_mmskeleton.deprecated.origin_stgcn_repo.feeder,feeder,Feeder,__init__,8,1,7
open-mmlab_mmskeleton.deprecated.origin_stgcn_repo.feeder,feeder,Feeder,load_data,12,3,1
open-mmlab_mmskeleton.deprecated.origin_stgcn_repo.feeder,feeder,Feeder,__len__,2,1,0
open-mmlab_mmskeleton.deprecated.origin_stgcn_repo.feeder,feeder,Feeder,__getitem__,10,4,1
open-mmlab_mmskeleton.deprecated.origin_stgcn_repo.feeder,feeder_kinetics,Feeder_kinetics,__init__,13,1,11
open-mmlab_mmskeleton.deprecated.origin_stgcn_repo.feeder,feeder_kinetics,Feeder_kinetics,load_data,22,3,0
open-mmlab_mmskeleton.deprecated.origin_stgcn_repo.feeder,feeder_kinetics,Feeder_kinetics,__len__,2,1,0
open-mmlab_mmskeleton.deprecated.origin_stgcn_repo.feeder,feeder_kinetics,Feeder_kinetics,__iter__,2,1,0
open-mmlab_mmskeleton.deprecated.origin_stgcn_repo.feeder,feeder_kinetics,Feeder_kinetics,__getitem__,37,10,1
open-mmlab_mmskeleton.deprecated.origin_stgcn_repo.feeder,feeder_kinetics,Feeder_kinetics,top_k,5,1,2
open-mmlab_mmskeleton.deprecated.origin_stgcn_repo.feeder,feeder_kinetics,Feeder_kinetics,top_k_by_category,3,1,2
open-mmlab_mmskeleton.deprecated.origin_stgcn_repo.feeder,feeder_kinetics,Feeder_kinetics,calculate_recall_precision,3,1,1
open-mmlab_mmskeleton.deprecated.origin_stgcn_repo.feeder,tools,,downsample,3,1,3
