Package,Module,Class,Function,LOC,CC,PC
podgorskiy_ALAE,align_faces,,align,70,9,7
podgorskiy_ALAE,checkpointer,Checkpointer,__init__,6,1,5
podgorskiy_ALAE,checkpointer,Checkpointer,save,18,4,1
podgorskiy_ALAE,checkpointer,Checkpointer,load,44,15,2
podgorskiy_ALAE,checkpointer,Checkpointer,tag_last_checkpoint,4,1,1
podgorskiy_ALAE,checkpointer,,get_model_dict,7,1,1
podgorskiy_ALAE,checkpointer,,load_model,5,2,2
podgorskiy_ALAE,custom_adam,LREQAdam,__init__,13,5,5
podgorskiy_ALAE,custom_adam,LREQAdam,__setstate__,2,1,1
podgorskiy_ALAE,custom_adam,LREQAdam,step,48,9,1
podgorskiy_ALAE,dataloader,TFRecordsDataset,__init__,35,5,9
podgorskiy_ALAE,dataloader,TFRecordsDataset,reset,25,3,2
podgorskiy_ALAE,dataloader,TFRecordsDataset,__iter__,2,1,0
podgorskiy_ALAE,dataloader,TFRecordsDataset,__len__,2,1,0
podgorskiy_ALAE,dataloader,TFRecordsDatasetImageNet,__init__,34,5,9
podgorskiy_ALAE,dataloader,TFRecordsDatasetImageNet,reset,26,4,2
podgorskiy_ALAE,dataloader,TFRecordsDatasetImageNet,__iter__,2,1,0
podgorskiy_ALAE,dataloader,TFRecordsDatasetImageNet,__len__,2,1,0
podgorskiy_ALAE,dataloader,,make_dataloader,19,1,6
podgorskiy_ALAE,dataloader,,make_dataloader_y,16,1,5
podgorskiy_ALAE,dataloader,,make_imagenet_dataloader,33,3,7
podgorskiy_ALAE,dataloader,,make_imagenet_dataloader_y,32,3,7
podgorskiy_ALAE,defaults,,get_cfg_defaults,2,1,0
podgorskiy_ALAE,interactive_demo,,sample,177,15,2
podgorskiy_ALAE,launcher,,setup,4,1,2
podgorskiy_ALAE,launcher,,cleanup,2,1,0
podgorskiy_ALAE,launcher,,_run,54,13,7
podgorskiy_ALAE,launcher,,run,27,2,7
podgorskiy_ALAE,lod_driver,LODDriver,__init__,25,5,4
podgorskiy_ALAE,lod_driver,LODDriver,get_lod_power2,2,1,0
podgorskiy_ALAE,lod_driver,LODDriver,get_batch_size,2,1,0
podgorskiy_ALAE,lod_driver,LODDriver,get_dataset_size,2,1,0
podgorskiy_ALAE,lod_driver,LODDriver,get_per_GPU_batch_size,2,1,0
podgorskiy_ALAE,lod_driver,LODDriver,get_blend_factor,9,2,0
podgorskiy_ALAE,lod_driver,LODDriver,is_time_to_report,5,1,0
podgorskiy_ALAE,lod_driver,LODDriver,is_time_to_save,5,1,0
podgorskiy_ALAE,lod_driver,LODDriver,step,4,1,0
podgorskiy_ALAE,lod_driver,LODDriver,set_epoch,27,6,2
podgorskiy_ALAE,losses,,kl,2,1,2
podgorskiy_ALAE,losses,,reconstruction,2,1,3
podgorskiy_ALAE,losses,,discriminator_logistic_simple_gp,8,2,4
podgorskiy_ALAE,losses,,discriminator_gradient_penalty,6,1,3
podgorskiy_ALAE,losses,,generator_logistic_non_saturating,2,1,1
podgorskiy_ALAE,lreq,Bool,__init__,2,1,0
podgorskiy_ALAE,lreq,Bool,__bool__,2,1,0
podgorskiy_ALAE,lreq,Bool,set,2,1,1
podgorskiy_ALAE,lreq,Linear,__init__,13,2,6
podgorskiy_ALAE,lreq,Linear,reset_parameters,12,4,0
podgorskiy_ALAE,lreq,Linear,forward,8,2,1
podgorskiy_ALAE,lreq,Conv2d,__init__,30,5,14
podgorskiy_ALAE,lreq,Conv2d,reset_parameters,12,4,0
podgorskiy_ALAE,lreq,Conv2d,forward,31,5,1
podgorskiy_ALAE,lreq,ConvTranspose2d,__init__,15,1,13
podgorskiy_ALAE,lreq,SeparableConv2d,__init__,5,1,10
podgorskiy_ALAE,lreq,SeparableConv2d,forward,2,1,1
podgorskiy_ALAE,lreq,SeparableConvTranspose2d,__init__,3,1,9
podgorskiy_ALAE,lreq,,is_sequence,4,3,1
podgorskiy_ALAE,lreq,,make_tuple,4,1,2
podgorskiy_ALAE,model,DLatent,__init__,4,1,2
podgorskiy_ALAE,model,Model,__init__,33,1,13
podgorskiy_ALAE,model,Model,generate,30,8,8
podgorskiy_ALAE,model,Model,encode,4,1,3
podgorskiy_ALAE,model,Model,forward,43,2,5
podgorskiy_ALAE,model,Model,lerp,8,3,2
podgorskiy_ALAE,model,GenModel,__init__,21,1,13
podgorskiy_ALAE,model,GenModel,generate,10,1,3
podgorskiy_ALAE,model,GenModel,forward,2,1,1
podgorskiy_ALAE,net,Blur,__init__,8,1,1
podgorskiy_ALAE,net,Blur,forward,2,1,1
podgorskiy_ALAE,net,EncodeBlock,__init__,25,4,5
podgorskiy_ALAE,net,EncodeBlock,forward,30,3,1
podgorskiy_ALAE,net,DiscriminatorBlock,__init__,19,3,5
podgorskiy_ALAE,net,DiscriminatorBlock,forward,14,4,1
podgorskiy_ALAE,net,DecodeBlock,__init__,27,3,6
podgorskiy_ALAE,net,DecodeBlock,forward,36,7,4
podgorskiy_ALAE,net,FromRGB,__init__,3,1,2
podgorskiy_ALAE,net,FromRGB,forward,4,1,1
podgorskiy_ALAE,net,ToRGB,__init__,5,1,2
podgorskiy_ALAE,net,ToRGB,forward,3,1,1
podgorskiy_ALAE,net,EncoderDefault,__init__,26,2,5
podgorskiy_ALAE,net,EncoderDefault,encode,8,2,2
podgorskiy_ALAE,net,EncoderDefault,encode2,15,2,3
podgorskiy_ALAE,net,EncoderDefault,forward,5,1,3
podgorskiy_ALAE,net,EncoderDefault,get_statistics,11,2,1
podgorskiy_ALAE,net,EncoderWithFC,__init__,27,2,5
podgorskiy_ALAE,net,EncoderWithFC,encode,8,2,2
podgorskiy_ALAE,net,EncoderWithFC,encode2,15,2,3
podgorskiy_ALAE,net,EncoderWithFC,forward,5,1,3
podgorskiy_ALAE,net,EncoderWithFC,get_statistics,11,2,1
podgorskiy_ALAE,net,Encoder,__init__,27,2,5
podgorskiy_ALAE,net,Encoder,encode,8,2,2
podgorskiy_ALAE,net,Encoder,encode2,15,2,3
podgorskiy_ALAE,net,Encoder,forward,5,1,3
podgorskiy_ALAE,net,Encoder,get_statistics,11,2,1
podgorskiy_ALAE,net,EncoderNoStyle,__init__,26,2,5
podgorskiy_ALAE,net,EncoderNoStyle,encode,6,2,2
podgorskiy_ALAE,net,EncoderNoStyle,encode2,12,2,3
podgorskiy_ALAE,net,EncoderNoStyle,forward,5,1,3
podgorskiy_ALAE,net,Discriminator,__init__,26,2,4
podgorskiy_ALAE,net,Discriminator,encode,6,2,2
podgorskiy_ALAE,net,Discriminator,encode2,12,2,3
podgorskiy_ALAE,net,Discriminator,forward,5,1,3
podgorskiy_ALAE,net,Generator,__init__,35,2,5
podgorskiy_ALAE,net,Generator,decode,6,2,3
