Package,Module,Class,Function,LOC,CC,PC
rail-berkeley_softlearning.examples,instrument,,_normalize_trial_resources,12,6,5
rail-berkeley_softlearning.examples,instrument,,add_command_line_args_to_variant_spec,22,5,2
rail-berkeley_softlearning.examples,instrument,,generate_experiment_kwargs,56,1,2
rail-berkeley_softlearning.examples,instrument,,unique_cluster_name,9,1,1
rail-berkeley_softlearning.examples,instrument,,get_experiments_info,14,1,1
rail-berkeley_softlearning.examples,instrument,,confirm_yes_no,12,4,1
rail-berkeley_softlearning.examples,instrument,,run_example_dry,20,1,2
rail-berkeley_softlearning.examples,instrument,,run_example_local,20,2,3
rail-berkeley_softlearning.examples,instrument,,run_example_debug,35,6,2
rail-berkeley_softlearning.examples,instrument,,run_example_cluster,23,1,2
rail-berkeley_softlearning.examples,instrument,,launch_example_cluster,32,3,9
rail-berkeley_softlearning.examples,instrument,,launch_example_gce,7,2,0
rail-berkeley_softlearning.examples,instrument,,launch_example_ec2,7,2,0
rail-berkeley_softlearning.examples,utils,,add_ray_init_args,31,0,1
rail-berkeley_softlearning.examples,utils,,add_ray_tune_args,96,0,1
rail-berkeley_softlearning.examples,utils,,get_parser,67,2,1
rail-berkeley_softlearning.examples,utils,,variant_equals,11,1,0
rail-berkeley_softlearning.examples.development,__init__,,get_trainable_class,3,1,0
rail-berkeley_softlearning.examples.development,__init__,,get_variant_spec,4,1,1
rail-berkeley_softlearning.examples.development,__init__,,get_parser,4,1,0
rail-berkeley_softlearning.examples.development,main,ExperimentRunner,setup,10,3,1
rail-berkeley_softlearning.examples.development,main,ExperimentRunner,_build,43,1,0
rail-berkeley_softlearning.examples.development,main,ExperimentRunner,step,7,3,0
rail-berkeley_softlearning.examples.development,main,ExperimentRunner,_pickle_path,2,1,1
rail-berkeley_softlearning.examples.development,main,ExperimentRunner,_algorithm_save_path,2,1,1
rail-berkeley_softlearning.examples.development,main,ExperimentRunner,_replay_pool_save_path,2,1,1
rail-berkeley_softlearning.examples.development,main,ExperimentRunner,_sampler_save_path,2,1,1
rail-berkeley_softlearning.examples.development,main,ExperimentRunner,_policy_save_path,2,1,1
rail-berkeley_softlearning.examples.development,main,ExperimentRunner,_save_replay_pool,6,2,1
rail-berkeley_softlearning.examples.development,main,ExperimentRunner,_restore_replay_pool,12,3,1
rail-berkeley_softlearning.examples.development,main,ExperimentRunner,_save_sampler,3,1,1
rail-berkeley_softlearning.examples.development,main,ExperimentRunner,_restore_sampler,6,1,1
rail-berkeley_softlearning.examples.development,main,ExperimentRunner,_save_value_functions,7,1,1
rail-berkeley_softlearning.examples.development,main,ExperimentRunner,_restore_value_functions,6,1,1
rail-berkeley_softlearning.examples.development,main,ExperimentRunner,_save_policy,3,1,1
rail-berkeley_softlearning.examples.development,main,ExperimentRunner,_restore_policy,4,1,1
rail-berkeley_softlearning.examples.development,main,ExperimentRunner,_save_algorithm,7,1,1
rail-berkeley_softlearning.examples.development,main,ExperimentRunner,_restore_algorithm,26,1,1
rail-berkeley_softlearning.examples.development,main,ExperimentRunner,save_checkpoint,7,1,1
rail-berkeley_softlearning.examples.development,main,ExperimentRunner,load_checkpoint,12,2,1
rail-berkeley_softlearning.examples.development,main,,main,3,1,1
rail-berkeley_softlearning.examples.development,main_test,TestExperimentRunner,test_checkpoint_dict,136,9,0
rail-berkeley_softlearning.examples.development,main_test,TestExperimentRunner,test_checkpoint_pool_reconstruction,32,4,0
rail-berkeley_softlearning.examples.development,main_test,TestExperimentRunner,test_training_env_evaluation_env,17,2,0
rail-berkeley_softlearning.examples.development,main_test,TestExperimentRunner,test_uses_training_env_as_evaluation_env,16,2,0
rail-berkeley_softlearning.examples.development,main_test,,assert_weights_not_equal,3,2,2
rail-berkeley_softlearning.examples.development,simulate_policy,,parse_args,16,1,0
rail-berkeley_softlearning.examples.development,simulate_policy,,load_variant_progress_metadata,15,2,1
rail-berkeley_softlearning.examples.development,simulate_policy,,load_environment,7,1,1
rail-berkeley_softlearning.examples.development,simulate_policy,,load_policy,14,1,3
rail-berkeley_softlearning.examples.development,simulate_policy,,simulate_policy,19,4,6
rail-berkeley_softlearning.examples.development,variants,,get_epoch_length,8,3,3
rail-berkeley_softlearning.examples.development,variants,,get_max_path_length,8,3,3
rail-berkeley_softlearning.examples.development,variants,,get_checkpoint_frequency,10,1,1
rail-berkeley_softlearning.examples.development,variants,,get_policy_params,3,1,1
rail-berkeley_softlearning.examples.development,variants,,get_total_timesteps,10,3,3
rail-berkeley_softlearning.examples.development,variants,,get_algorithm_params,14,1,3
rail-berkeley_softlearning.examples.development,variants,,get_environment_params,5,1,3
rail-berkeley_softlearning.examples.development,variants,,get_variant_spec_base,84,1,5
rail-berkeley_softlearning.examples.development,variants,,is_image_env,3,1,4
rail-berkeley_softlearning.examples.development,variants,,get_variant_spec_image,38,2,5
rail-berkeley_softlearning.examples.development,variants,,get_variant_spec,8,2,1
rail-berkeley_softlearning.examples.multi_goal,__init__,,get_trainable_class,3,1,0
rail-berkeley_softlearning.examples.multi_goal,__init__,,get_variant_spec,4,1,1
rail-berkeley_softlearning.examples.multi_goal,__init__,,get_parser,10,2,0
rail-berkeley_softlearning.examples.multi_goal,main,,run_experiment,50,2,2
rail-berkeley_softlearning.examples.multi_goal,main,,main,3,1,1
rail-berkeley_softlearning.examples.multi_goal,variants,,get_variant_spec,27,1,1
rail-berkeley_softlearning.scripts,archive_gs,,parse_args,7,1,0
rail-berkeley_softlearning.scripts,archive_gs,,archive_gs,20,3,1
rail-berkeley_softlearning.scripts,archive_gs,,main,3,1,0
rail-berkeley_softlearning.scripts,install_mujoco,,get_parser,8,1,0
rail-berkeley_softlearning.scripts,install_mujoco,,get_mujoco_zip_name,11,3,2
rail-berkeley_softlearning.scripts,install_mujoco,,install_mujoco,41,5,3
rail-berkeley_softlearning.scripts,install_mujoco,,main,10,3,0
rail-berkeley_softlearning.scripts,sync_gs,,parse_args,10,1,0
rail-berkeley_softlearning.scripts,sync_gs,,sync_gs,23,6,1
rail-berkeley_softlearning.scripts,sync_gs,,main,3,1,0
rail-berkeley_softlearning.softlearning.algorithms,__init__,,serialize,2,1,1
rail-berkeley_softlearning.softlearning.algorithms,__init__,,deserialize,7,1,2
rail-berkeley_softlearning.softlearning.algorithms,__init__,,get,14,2,1
rail-berkeley_softlearning.softlearning.algorithms,rl_algorithm,RLAlgorithm,__init__,25,3,13
