Package,Module,Class,Smell,Function/Method,Line no,File,Details
richzhang_colorization-pytorch,make_ilsvrc_dataset,,Long statement,,35,/Volumes/BrokeExt/NICHE/richzhang_colorization-pytorch/make_ilsvrc_dataset.py,A line with 134 chars in make_ilsvrc_dataset exceeds the maximum length of 120 characters.
richzhang_colorization-pytorch,make_ilsvrc_dataset,,Long statement,,44,/Volumes/BrokeExt/NICHE/richzhang_colorization-pytorch/make_ilsvrc_dataset.py,A line with 135 chars in make_ilsvrc_dataset exceeds the maximum length of 120 characters.
richzhang_colorization-pytorch,test,,Long statement,,32,/Volumes/BrokeExt/NICHE/richzhang_colorization-pytorch/test.py,A line with 160 chars in test exceeds the maximum length of 120 characters.
richzhang_colorization-pytorch,test_sweep,,Long statement,,36,/Volumes/BrokeExt/NICHE/richzhang_colorization-pytorch/test_sweep.py,A line with 160 chars in test_sweep exceeds the maximum length of 120 characters.
richzhang_colorization-pytorch,test_sweep,,Long statement,,49,/Volumes/BrokeExt/NICHE/richzhang_colorization-pytorch/test_sweep.py,A line with 122 chars in test_sweep exceeds the maximum length of 120 characters.
richzhang_colorization-pytorch,train,,Long statement,,16,/Volumes/BrokeExt/NICHE/richzhang_colorization-pytorch/train.py,A line with 731 chars in train exceeds the maximum length of 120 characters.
richzhang_colorization-pytorch,train,,Long statement,,29,/Volumes/BrokeExt/NICHE/richzhang_colorization-pytorch/train.py,A line with 128 chars in train exceeds the maximum length of 120 characters.
richzhang_colorization-pytorch,train,,Long statement,,88,/Volumes/BrokeExt/NICHE/richzhang_colorization-pytorch/train.py,A line with 128 chars in train exceeds the maximum length of 120 characters.
richzhang_colorization-pytorch.data,__init__,,Long statement,find_dataset_using_name,25,/Volumes/BrokeExt/NICHE/richzhang_colorization-pytorch/data/__init__.py,A line with 150 chars in find_dataset_using_name exceeds the maximum length of 120 characters.
richzhang_colorization-pytorch.data,__init__,CustomDatasetDataLoader,Long statement,initialize,59,/Volumes/BrokeExt/NICHE/richzhang_colorization-pytorch/data/__init__.py,A line with 154 chars in initialize exceeds the maximum length of 120 characters.
richzhang_colorization-pytorch.data,aligned_dataset,AlignedDataset,Magic number,__getitem__,47,/Volumes/BrokeExt/NICHE/richzhang_colorization-pytorch/data/aligned_dataset.py,Magic number 0.5 used in __getitem__.
richzhang_colorization-pytorch.data,aligned_dataset,AlignedDataset,Magic number,__getitem__,54,/Volumes/BrokeExt/NICHE/richzhang_colorization-pytorch/data/aligned_dataset.py,Magic number 0.114 used in __getitem__.
richzhang_colorization-pytorch.data,aligned_dataset,AlignedDataset,Magic number,__getitem__,58,/Volumes/BrokeExt/NICHE/richzhang_colorization-pytorch/data/aligned_dataset.py,Magic number 0.114 used in __getitem__.
richzhang_colorization-pytorch.data,aligned_dataset,AlignedDataset,Magic number,__getitem__,54,/Volumes/BrokeExt/NICHE/richzhang_colorization-pytorch/data/aligned_dataset.py,Magic number 0.299 used in __getitem__.
richzhang_colorization-pytorch.data,aligned_dataset,AlignedDataset,Magic number,__getitem__,54,/Volumes/BrokeExt/NICHE/richzhang_colorization-pytorch/data/aligned_dataset.py,Magic number 0.587 used in __getitem__.
richzhang_colorization-pytorch.data,aligned_dataset,AlignedDataset,Magic number,__getitem__,58,/Volumes/BrokeExt/NICHE/richzhang_colorization-pytorch/data/aligned_dataset.py,Magic number 0.299 used in __getitem__.
richzhang_colorization-pytorch.data,aligned_dataset,AlignedDataset,Magic number,__getitem__,58,/Volumes/BrokeExt/NICHE/richzhang_colorization-pytorch/data/aligned_dataset.py,Magic number 0.587 used in __getitem__.
richzhang_colorization-pytorch.data,aligned_dataset,AlignedDataset,Magic number,__getitem__,54,/Volumes/BrokeExt/NICHE/richzhang_colorization-pytorch/data/aligned_dataset.py,Magic number 2 used in __getitem__.
richzhang_colorization-pytorch.data,aligned_dataset,AlignedDataset,Magic number,__getitem__,58,/Volumes/BrokeExt/NICHE/richzhang_colorization-pytorch/data/aligned_dataset.py,Magic number 2 used in __getitem__.
richzhang_colorization-pytorch.data,base_dataset,,Complex method,get_transform,24 - 51,/Volumes/BrokeExt/NICHE/richzhang_colorization-pytorch/data/base_dataset.py,"Method 'get_transform' has a cyclomatic complexity of 8, exceeding the max of 6."
richzhang_colorization-pytorch.data,base_dataset,,Long statement,__print_size_warning,99,/Volumes/BrokeExt/NICHE/richzhang_colorization-pytorch/data/base_dataset.py,A line with 217 chars in __print_size_warning exceeds the maximum length of 120 characters.
richzhang_colorization-pytorch.data,base_dataset,,Magic number,__adjust,62,/Volumes/BrokeExt/NICHE/richzhang_colorization-pytorch/data/base_dataset.py,Magic number 4 used in __adjust.
richzhang_colorization-pytorch.data,base_dataset,,Magic number,__scale_width,82,/Volumes/BrokeExt/NICHE/richzhang_colorization-pytorch/data/base_dataset.py,Magic number 4 used in __scale_width.
richzhang_colorization-pytorch.data,color_dataset,ColorDataset,Magic number,__getitem__,36,/Volumes/BrokeExt/NICHE/richzhang_colorization-pytorch/data/color_dataset.py,Magic number 0.114 used in __getitem__.
richzhang_colorization-pytorch.data,color_dataset,ColorDataset,Magic number,__getitem__,36,/Volumes/BrokeExt/NICHE/richzhang_colorization-pytorch/data/color_dataset.py,Magic number 0.299 used in __getitem__.
richzhang_colorization-pytorch.data,color_dataset,ColorDataset,Magic number,__getitem__,36,/Volumes/BrokeExt/NICHE/richzhang_colorization-pytorch/data/color_dataset.py,Magic number 0.587 used in __getitem__.
richzhang_colorization-pytorch.data,color_dataset,ColorDataset,Magic number,__getitem__,36,/Volumes/BrokeExt/NICHE/richzhang_colorization-pytorch/data/color_dataset.py,Magic number 2 used in __getitem__.
richzhang_colorization-pytorch.data,single_dataset,SingleDataset,Magic number,__getitem__,33,/Volumes/BrokeExt/NICHE/richzhang_colorization-pytorch/data/single_dataset.py,Magic number 0.114 used in __getitem__.
richzhang_colorization-pytorch.data,single_dataset,SingleDataset,Magic number,__getitem__,33,/Volumes/BrokeExt/NICHE/richzhang_colorization-pytorch/data/single_dataset.py,Magic number 0.299 used in __getitem__.
richzhang_colorization-pytorch.data,single_dataset,SingleDataset,Magic number,__getitem__,33,/Volumes/BrokeExt/NICHE/richzhang_colorization-pytorch/data/single_dataset.py,Magic number 0.587 used in __getitem__.
richzhang_colorization-pytorch.data,single_dataset,SingleDataset,Magic number,__getitem__,33,/Volumes/BrokeExt/NICHE/richzhang_colorization-pytorch/data/single_dataset.py,Magic number 2 used in __getitem__.
richzhang_colorization-pytorch.models,__init__,,Long statement,find_model_using_name,23,/Volumes/BrokeExt/NICHE/richzhang_colorization-pytorch/models/__init__.py,A line with 144 chars in find_model_using_name exceeds the maximum length of 120 characters.
richzhang_colorization-pytorch.models,base_model,BaseModel,Complex method,__patch_instance_norm_state_dict,105 - 116,/Volumes/BrokeExt/NICHE/richzhang_colorization-pytorch/models/base_model.py,"Method '__patch_instance_norm_state_dict' has a cyclomatic complexity of 8, exceeding the max of 6."
richzhang_colorization-pytorch.models,base_model,BaseModel,Long identifier,__patch_instance_norm_state_dict,105,/Volumes/BrokeExt/NICHE/richzhang_colorization-pytorch/models/base_model.py,Identifier'__patch_instance_norm_state_dict' exceeds the maximum length of 30 characters.
richzhang_colorization-pytorch.models,networks,,Complex method,init_weights,39 - 60,/Volumes/BrokeExt/NICHE/richzhang_colorization-pytorch/models/networks.py,"Method 'init_weights' has a cyclomatic complexity of 11, exceeding the max of 6."
richzhang_colorization-pytorch.models,networks,ResnetBlock,Complex method,build_conv_block,437 - 467,/Volumes/BrokeExt/NICHE/richzhang_colorization-pytorch/models/networks.py,"Method 'build_conv_block' has a cyclomatic complexity of 8, exceeding the max of 6."
richzhang_colorization-pytorch.models,networks,SIGGRAPHGenerator,Long method,__init__,172 - 345,/Volumes/BrokeExt/NICHE/richzhang_colorization-pytorch/models/networks.py,Method '__init__' is too long (94 lines).
richzhang_colorization-pytorch.models,networks,UnetSkipConnectionBlock,Long method,__init__,503 - 546,/Volumes/BrokeExt/NICHE/richzhang_colorization-pytorch/models/networks.py,Method '__init__' is too long (41 lines).
richzhang_colorization-pytorch.models,networks,,Long parameter list,define_G,72 - 88,/Volumes/BrokeExt/NICHE/richzhang_colorization-pytorch/models/networks.py,"define_G has 10 parameters, exceeding the max of 5."
richzhang_colorization-pytorch.models,networks,,Long parameter list,define_D,91 - 105,/Volumes/BrokeExt/NICHE/richzhang_colorization-pytorch/models/networks.py,"define_D has 8 parameters, exceeding the max of 5."
richzhang_colorization-pytorch.models,networks,ResnetGenerator,Long parameter list,__init__,384 - 425,/Volumes/BrokeExt/NICHE/richzhang_colorization-pytorch/models/networks.py,"__init__ has 7 parameters, exceeding the max of 5."
richzhang_colorization-pytorch.models,networks,UnetGenerator,Long parameter list,__init__,479 - 492,/Volumes/BrokeExt/NICHE/richzhang_colorization-pytorch/models/networks.py,"__init__ has 6 parameters, exceeding the max of 5."
richzhang_colorization-pytorch.models,networks,UnetSkipConnectionBlock,Long parameter list,__init__,503 - 546,/Volumes/BrokeExt/NICHE/richzhang_colorization-pytorch/models/networks.py,"__init__ has 8 parameters, exceeding the max of 5."
richzhang_colorization-pytorch.models,networks,ResnetGenerator,Long statement,__init__,395,/Volumes/BrokeExt/NICHE/richzhang_colorization-pytorch/models/networks.py,A line with 130 chars in __init__ exceeds the maximum length of 120 characters.
richzhang_colorization-pytorch.models,networks,ResnetGenerator,Long statement,__init__,404,/Volumes/BrokeExt/NICHE/richzhang_colorization-pytorch/models/networks.py,A line with 152 chars in __init__ exceeds the maximum length of 120 characters.
richzhang_colorization-pytorch.models,networks,ResnetGenerator,Long statement,__init__,411,/Volumes/BrokeExt/NICHE/richzhang_colorization-pytorch/models/networks.py,A line with 130 chars in __init__ exceeds the maximum length of 120 characters.
richzhang_colorization-pytorch.models,networks,ResnetGenerator,Long statement,__init__,415,/Volumes/BrokeExt/NICHE/richzhang_colorization-pytorch/models/networks.py,A line with 189 chars in __init__ exceeds the maximum length of 120 characters.
