Package,Module,Class,Smell,Function/Method,Line no,File,Details
robertness_causalML.book,pgmpy_do,,Long statement,do,6,/Volumes/BrokeExt/NICHE/robertness_causalML/book/pgmpy_do.py,A line with 332 chars in do exceeds the maximum length of 120 characters.
robertness_causalML.book,pgmpy_do,,Long statement,do,14,/Volumes/BrokeExt/NICHE/robertness_causalML/book/pgmpy_do.py,A line with 122 chars in do exceeds the maximum length of 120 characters.
robertness_causalML.book.chapter 10,id_utilities,,Complex method,gv_draw,82 - 191,/Volumes/BrokeExt/NICHE/robertness_causalML/book/chapter 10/id_utilities.py,"Method 'gv_draw' has a cyclomatic complexity of 17, exceeding the max of 6."
robertness_causalML.book.chapter 10,id_utilities,,Long method,gv_draw,82 - 191,/Volumes/BrokeExt/NICHE/robertness_causalML/book/chapter 10/id_utilities.py,Method 'gv_draw' is too long (92 lines).
robertness_causalML.book.chapter 10,id_utilities,,Long statement,convert_graph,14,/Volumes/BrokeExt/NICHE/robertness_causalML/book/chapter 10/id_utilities.py,A line with 919 chars in convert_graph exceeds the maximum length of 120 characters.
robertness_causalML.book.chapter 10,id_utilities,,Long statement,check_identifiable,55,/Volumes/BrokeExt/NICHE/robertness_causalML/book/chapter 10/id_utilities.py,A line with 697 chars in check_identifiable exceeds the maximum length of 120 characters.
robertness_causalML.book.chapter 10,id_utilities,,Long statement,gv_draw,83,/Volumes/BrokeExt/NICHE/robertness_causalML/book/chapter 10/id_utilities.py,A line with 370 chars in gv_draw exceeds the maximum length of 120 characters.
robertness_causalML.book.chapter 9,hyp_function,,Complex method,clone,7 - 48,/Volumes/BrokeExt/NICHE/robertness_causalML/book/chapter 9/hyp_function.py,"Method 'clone' has a cyclomatic complexity of 7, exceeding the max of 6."
robertness_causalML.book.chapter 9,hyp_function,,Long statement,clone,8,/Volumes/BrokeExt/NICHE/robertness_causalML/book/chapter 9/hyp_function.py,A line with 618 chars in clone exceeds the maximum length of 120 characters.
robertness_causalML.projects.airbnb santa clara,data_cleaning,,Long parameter list,roi,18 - 28,/Volumes/BrokeExt/NICHE/robertness_causalML/projects/airbnb santa clara/data_cleaning.py,"roi has 6 parameters, exceeding the max of 5."
robertness_causalML.projects.airbnb santa clara,data_cleaning,,Long statement,,41,/Volumes/BrokeExt/NICHE/robertness_causalML/projects/airbnb santa clara/data_cleaning.py,A line with 136 chars in data_cleaning exceeds the maximum length of 120 characters.
robertness_causalML.projects.airbnb santa clara,data_cleaning,,Long statement,,77,/Volumes/BrokeExt/NICHE/robertness_causalML/projects/airbnb santa clara/data_cleaning.py,A line with 190 chars in data_cleaning exceeds the maximum length of 120 characters.
robertness_causalML.projects.airbnb santa clara,data_cleaning,,Magic number,calculate_monthly,4,/Volumes/BrokeExt/NICHE/robertness_causalML/projects/airbnb santa clara/data_cleaning.py,Magic number 12 used in calculate_monthly.
robertness_causalML.projects.airbnb santa clara,data_cleaning,,Magic number,calculate_monthly,5,/Volumes/BrokeExt/NICHE/robertness_causalML/projects/airbnb santa clara/data_cleaning.py,Magic number 12 used in calculate_monthly.
robertness_causalML.projects.airbnb santa clara,data_cleaning,,Magic number,airbnb_income,15,/Volumes/BrokeExt/NICHE/robertness_causalML/projects/airbnb santa clara/data_cleaning.py,Magic number 12 used in airbnb_income.
robertness_causalML.projects.airbnb santa clara,data_cleaning,,Magic number,roi,22,/Volumes/BrokeExt/NICHE/robertness_causalML/projects/airbnb santa clara/data_cleaning.py,Magic number 12 used in roi.
robertness_causalML.projects.airbnb santa clara,pull_addresses,,Long statement,get_address,14,/Volumes/BrokeExt/NICHE/robertness_causalML/projects/airbnb santa clara/pull_addresses.py,A line with 122 chars in get_address exceeds the maximum length of 120 characters.
