Package,Module,Class,Function,LOC,CC,PC
shibing624_python-tutorial.01_base,multi_process,,task_handler,5,2,2
shibing624_python-tutorial.01_base,multi_process,,main,21,4,0
shibing624_python-tutorial.01_base.练习,大数分解,,fun,10,5,2
shibing624_python-tutorial.01_base.练习,抽奖,,mychoice,5,1,1
shibing624_python-tutorial.02_advanced.练习,类-图书馆系统,Book,__init__,5,1,4
shibing624_python-tutorial.02_advanced.练习,类-图书馆系统,Book,__str__,5,2,0
shibing624_python-tutorial.02_advanced.练习,类-图书馆系统,BookManager,__init__,8,1,1
shibing624_python-tutorial.02_advanced.练习,类-图书馆系统,BookManager,set_init_window,13,1,0
shibing624_python-tutorial.02_advanced.练习,类-图书馆系统,BookManager,show_all_book,4,2,0
shibing624_python-tutorial.02_advanced.练习,类-图书馆系统,BookManager,add_book,18,1,0
shibing624_python-tutorial.02_advanced.练习,类-图书馆系统,BookManager,add_booking,8,1,0
shibing624_python-tutorial.02_advanced.练习,类-图书馆系统,BookManager,check_book,6,2,1
shibing624_python-tutorial.02_advanced.练习,类-图书馆系统,BookManager,lend_book,8,1,0
shibing624_python-tutorial.02_advanced.练习,类-图书馆系统,BookManager,lend_booking,12,3,0
shibing624_python-tutorial.02_advanced.练习,类-图书馆系统,BookManager,return_book,8,1,0
shibing624_python-tutorial.02_advanced.练习,类-图书馆系统,BookManager,return_booking,12,3,0
shibing624_python-tutorial.02_advanced.练习,类-图书馆系统,,gui_start,5,1,0
shibing624_python-tutorial.02_advanced.练习.TheStrayLibrary.utils,database,database,addmysql,11,2,4
shibing624_python-tutorial.02_advanced.练习.TheStrayLibrary.utils,database,database,changemysql,11,2,2
shibing624_python-tutorial.02_advanced.练习.TheStrayLibrary.utils,database,database,checkmysql,12,2,0
shibing624_python-tutorial.02_advanced.练习.TheStrayLibrary.utils,database,database,bulildmysql,18,2,0
shibing624_python-tutorial.02_advanced.练习.TheStrayLibrary.utils,userthinker,Book,__init__,5,1,4
shibing624_python-tutorial.02_advanced.练习.TheStrayLibrary.utils,userthinker,Book,__str__,2,1,0
shibing624_python-tutorial.02_advanced.练习.TheStrayLibrary.utils,userthinker,StrayLibrary,__init__,10,2,1
shibing624_python-tutorial.02_advanced.练习.TheStrayLibrary.utils,userthinker,StrayLibrary,set_init_window,13,1,0
shibing624_python-tutorial.02_advanced.练习.TheStrayLibrary.utils,userthinker,StrayLibrary,show_all_book,4,2,0
shibing624_python-tutorial.02_advanced.练习.TheStrayLibrary.utils,userthinker,StrayLibrary,add_book,18,1,0
shibing624_python-tutorial.02_advanced.练习.TheStrayLibrary.utils,userthinker,StrayLibrary,add_booking,9,1,0
shibing624_python-tutorial.02_advanced.练习.TheStrayLibrary.utils,userthinker,StrayLibrary,check_book,6,2,1
shibing624_python-tutorial.02_advanced.练习.TheStrayLibrary.utils,userthinker,StrayLibrary,lend_book,8,1,0
shibing624_python-tutorial.02_advanced.练习.TheStrayLibrary.utils,userthinker,StrayLibrary,lend_booking,13,3,0
