Package,Module,Smell,Class/Module,Line no,File,Details
songlab-cal_tape.examples,adding_model,Broken hierarchy,SimpleConvAbstractModel,52,/Volumes/BrokeExt/NICHE/songlab-cal_tape/examples/adding_model.py,Class 'SimpleConvAbstractModel' and its superclass 'ProteinModel' may not share a proper 'IS-A' relationship.
songlab-cal_tape.examples,adding_model,Broken hierarchy,SimpleConvModel,61,/Volumes/BrokeExt/NICHE/songlab-cal_tape/examples/adding_model.py,Class 'SimpleConvModel' and its superclass 'SimpleConvAbstractModel' may not share a proper 'IS-A' relationship.
songlab-cal_tape.examples,adding_model,Broken hierarchy,SimpleConvForSequenceToSequenceClassification,119,/Volumes/BrokeExt/NICHE/songlab-cal_tape/examples/adding_model.py,Class 'SimpleConvForSequenceToSequenceClassification' and its superclass 'SimpleConvAbstractModel' may not share a proper 'IS-A' relationship.
songlab-cal_tape.tape,datasets,Insufficient modularization,datasets,1,/Volumes/BrokeExt/NICHE/songlab-cal_tape/tape/datasets.py,"Module 'datasets' is insufficiently modularized with NOPM: 2, WMC: 114, NOM: 2."
songlab-cal_tape.tape,metrics,Multifaceted abstraction,metrics,1,/Volumes/BrokeExt/NICHE/songlab-cal_tape/tape/metrics.py,"Class 'metrics' has a high LCOM value of 1, indicating it may have multiple responsibilities."
songlab-cal_tape.tape,visualization,Multifaceted abstraction,DummyVisualizer,42,/Volumes/BrokeExt/NICHE/songlab-cal_tape/tape/visualization.py,"Class 'DummyVisualizer' has a high LCOM value of 1, indicating it may have multiple responsibilities."
songlab-cal_tape.tape,visualization,Multifaceted abstraction,WandBVisualizer,87,/Volumes/BrokeExt/NICHE/songlab-cal_tape/tape/visualization.py,"Class 'WandBVisualizer' has a high LCOM value of 1, indicating it may have multiple responsibilities."
songlab-cal_tape.tape,visualization,Rebellious hierarchy,DummyVisualizer,42,/Volumes/BrokeExt/NICHE/songlab-cal_tape/tape/visualization.py,"Class 'DummyVisualizer' potentially exhibits a rebellious hierarchy; following method(s) rejects the superclass methods: __init__, log_config, watch, log_metrics."
songlab-cal_tape.tape.models,modeling_bert,Broken hierarchy,ProteinBertAbstractModel,379,/Volumes/BrokeExt/NICHE/songlab-cal_tape/tape/models/modeling_bert.py,Class 'ProteinBertAbstractModel' and its superclass 'ProteinModel' may not share a proper 'IS-A' relationship.
songlab-cal_tape.tape.models,modeling_bert,Broken hierarchy,ProteinBertModel,399,/Volumes/BrokeExt/NICHE/songlab-cal_tape/tape/models/modeling_bert.py,Class 'ProteinBertModel' and its superclass 'ProteinBertAbstractModel' may not share a proper 'IS-A' relationship.
songlab-cal_tape.tape.models,modeling_bert,Broken hierarchy,ProteinBertForMaskedLM,459,/Volumes/BrokeExt/NICHE/songlab-cal_tape/tape/models/modeling_bert.py,Class 'ProteinBertForMaskedLM' and its superclass 'ProteinBertAbstractModel' may not share a proper 'IS-A' relationship.
songlab-cal_tape.tape.models,modeling_bert,Broken hierarchy,ProteinBertForValuePrediction,495,/Volumes/BrokeExt/NICHE/songlab-cal_tape/tape/models/modeling_bert.py,Class 'ProteinBertForValuePrediction' and its superclass 'ProteinBertAbstractModel' may not share a proper 'IS-A' relationship.
songlab-cal_tape.tape.models,modeling_bert,Broken hierarchy,ProteinBertForSequenceClassification,516,/Volumes/BrokeExt/NICHE/songlab-cal_tape/tape/models/modeling_bert.py,Class 'ProteinBertForSequenceClassification' and its superclass 'ProteinBertAbstractModel' may not share a proper 'IS-A' relationship.
songlab-cal_tape.tape.models,modeling_bert,Broken hierarchy,ProteinBertForSequenceToSequenceClassification,539,/Volumes/BrokeExt/NICHE/songlab-cal_tape/tape/models/modeling_bert.py,Class 'ProteinBertForSequenceToSequenceClassification' and its superclass 'ProteinBertAbstractModel' may not share a proper 'IS-A' relationship.
songlab-cal_tape.tape.models,modeling_bert,Broken hierarchy,ProteinBertForContactPrediction,561,/Volumes/BrokeExt/NICHE/songlab-cal_tape/tape/models/modeling_bert.py,Class 'ProteinBertForContactPrediction' and its superclass 'ProteinBertAbstractModel' may not share a proper 'IS-A' relationship.
songlab-cal_tape.tape.models,modeling_bert,Broken modularization,ProteinBertConfig,51,/Volumes/BrokeExt/NICHE/songlab-cal_tape/tape/models/modeling_bert.py,Class 'ProteinBertConfig' contains only data members without any method implementations.
songlab-cal_tape.tape.models,modeling_bert,Wide hierarchy,ProteinBertAbstractModel,0,/Volumes/BrokeExt/NICHE/songlab-cal_tape/tape/models/modeling_bert.py,Class 'ProteinBertAbstractModel' has a wide hierarchy with 6 direct subclasses.
songlab-cal_tape.tape.models,modeling_lstm,Broken hierarchy,ProteinLSTMAbstractModel,130,/Volumes/BrokeExt/NICHE/songlab-cal_tape/tape/models/modeling_lstm.py,Class 'ProteinLSTMAbstractModel' and its superclass 'ProteinModel' may not share a proper 'IS-A' relationship.
songlab-cal_tape.tape.models,modeling_lstm,Broken hierarchy,ProteinLSTMModel,145,/Volumes/BrokeExt/NICHE/songlab-cal_tape/tape/models/modeling_lstm.py,Class 'ProteinLSTMModel' and its superclass 'ProteinLSTMAbstractModel' may not share a proper 'IS-A' relationship.
songlab-cal_tape.tape.models,modeling_lstm,Broken hierarchy,ProteinLSTMForLM,170,/Volumes/BrokeExt/NICHE/songlab-cal_tape/tape/models/modeling_lstm.py,Class 'ProteinLSTMForLM' and its superclass 'ProteinLSTMAbstractModel' may not share a proper 'IS-A' relationship.
songlab-cal_tape.tape.models,modeling_lstm,Broken hierarchy,ProteinLSTMForValuePrediction,211,/Volumes/BrokeExt/NICHE/songlab-cal_tape/tape/models/modeling_lstm.py,Class 'ProteinLSTMForValuePrediction' and its superclass 'ProteinLSTMAbstractModel' may not share a proper 'IS-A' relationship.
songlab-cal_tape.tape.models,modeling_lstm,Broken hierarchy,ProteinLSTMForSequenceClassification,232,/Volumes/BrokeExt/NICHE/songlab-cal_tape/tape/models/modeling_lstm.py,Class 'ProteinLSTMForSequenceClassification' and its superclass 'ProteinLSTMAbstractModel' may not share a proper 'IS-A' relationship.
songlab-cal_tape.tape.models,modeling_lstm,Broken hierarchy,ProteinLSTMForSequenceToSequenceClassification,254,/Volumes/BrokeExt/NICHE/songlab-cal_tape/tape/models/modeling_lstm.py,Class 'ProteinLSTMForSequenceToSequenceClassification' and its superclass 'ProteinLSTMAbstractModel' may not share a proper 'IS-A' relationship.
songlab-cal_tape.tape.models,modeling_lstm,Broken hierarchy,ProteinLSTMForContactPrediction,287,/Volumes/BrokeExt/NICHE/songlab-cal_tape/tape/models/modeling_lstm.py,Class 'ProteinLSTMForContactPrediction' and its superclass 'ProteinLSTMAbstractModel' may not share a proper 'IS-A' relationship.
songlab-cal_tape.tape.models,modeling_lstm,Broken modularization,ProteinLSTMConfig,23,/Volumes/BrokeExt/NICHE/songlab-cal_tape/tape/models/modeling_lstm.py,Class 'ProteinLSTMConfig' contains only data members without any method implementations.
songlab-cal_tape.tape.models,modeling_lstm,Wide hierarchy,ProteinLSTMAbstractModel,0,/Volumes/BrokeExt/NICHE/songlab-cal_tape/tape/models/modeling_lstm.py,Class 'ProteinLSTMAbstractModel' has a wide hierarchy with 6 direct subclasses.
songlab-cal_tape.tape.models,modeling_onehot,Broken hierarchy,ProteinOneHotAbstractModel,32,/Volumes/BrokeExt/NICHE/songlab-cal_tape/tape/models/modeling_onehot.py,Class 'ProteinOneHotAbstractModel' and its superclass 'ProteinModel' may not share a proper 'IS-A' relationship.
songlab-cal_tape.tape.models,modeling_onehot,Broken hierarchy,ProteinOneHotModel,46,/Volumes/BrokeExt/NICHE/songlab-cal_tape/tape/models/modeling_onehot.py,Class 'ProteinOneHotModel' and its superclass 'ProteinOneHotAbstractModel' may not share a proper 'IS-A' relationship.
songlab-cal_tape.tape.models,modeling_onehot,Broken hierarchy,ProteinOneHotForValuePrediction,74,/Volumes/BrokeExt/NICHE/songlab-cal_tape/tape/models/modeling_onehot.py,Class 'ProteinOneHotForValuePrediction' and its superclass 'ProteinOneHotAbstractModel' may not share a proper 'IS-A' relationship.
songlab-cal_tape.tape.models,modeling_onehot,Broken hierarchy,ProteinOneHotForSequenceClassification,95,/Volumes/BrokeExt/NICHE/songlab-cal_tape/tape/models/modeling_onehot.py,Class 'ProteinOneHotForSequenceClassification' and its superclass 'ProteinOneHotAbstractModel' may not share a proper 'IS-A' relationship.
songlab-cal_tape.tape.models,modeling_onehot,Broken hierarchy,ProteinOneHotForSequenceToSequenceClassification,116,/Volumes/BrokeExt/NICHE/songlab-cal_tape/tape/models/modeling_onehot.py,Class 'ProteinOneHotForSequenceToSequenceClassification' and its superclass 'ProteinOneHotAbstractModel' may not share a proper 'IS-A' relationship.
songlab-cal_tape.tape.models,modeling_onehot,Broken hierarchy,ProteinOneHotForContactPrediction,138,/Volumes/BrokeExt/NICHE/songlab-cal_tape/tape/models/modeling_onehot.py,Class 'ProteinOneHotForContactPrediction' and its superclass 'ProteinOneHotAbstractModel' may not share a proper 'IS-A' relationship.
songlab-cal_tape.tape.models,modeling_resnet,Broken modularization,ProteinResNetConfig,23,/Volumes/BrokeExt/NICHE/songlab-cal_tape/tape/models/modeling_resnet.py,Class 'ProteinResNetConfig' contains only data members without any method implementations.
songlab-cal_tape.tape.models,modeling_resnet,Wide hierarchy,ProteinResNetAbstractModel,0,/Volumes/BrokeExt/NICHE/songlab-cal_tape/tape/models/modeling_resnet.py,Class 'ProteinResNetAbstractModel' has a wide hierarchy with 6 direct subclasses.
songlab-cal_tape.tape.models,modeling_trrosetta,Broken modularization,TRRosettaConfig,25,/Volumes/BrokeExt/NICHE/songlab-cal_tape/tape/models/modeling_trrosetta.py,Class 'TRRosettaConfig' contains only data members without any method implementations.
songlab-cal_tape.tape.models,modeling_unirep,Broken hierarchy,UniRepAbstractModel,108,/Volumes/BrokeExt/NICHE/songlab-cal_tape/tape/models/modeling_unirep.py,Class 'UniRepAbstractModel' and its superclass 'ProteinModel' may not share a proper 'IS-A' relationship.
songlab-cal_tape.tape.models,modeling_unirep,Broken hierarchy,UniRepModel,123,/Volumes/BrokeExt/NICHE/songlab-cal_tape/tape/models/modeling_unirep.py,Class 'UniRepModel' and its superclass 'UniRepAbstractModel' may not share a proper 'IS-A' relationship.
songlab-cal_tape.tape.models,modeling_unirep,Broken hierarchy,UniRepForLM,150,/Volumes/BrokeExt/NICHE/songlab-cal_tape/tape/models/modeling_unirep.py,Class 'UniRepForLM' and its superclass 'UniRepAbstractModel' may not share a proper 'IS-A' relationship.
songlab-cal_tape.tape.models,modeling_unirep,Broken hierarchy,UniRepForValuePrediction,188,/Volumes/BrokeExt/NICHE/songlab-cal_tape/tape/models/modeling_unirep.py,Class 'UniRepForValuePrediction' and its superclass 'UniRepAbstractModel' may not share a proper 'IS-A' relationship.
songlab-cal_tape.tape.models,modeling_unirep,Broken hierarchy,UniRepForSequenceClassification,209,/Volumes/BrokeExt/NICHE/songlab-cal_tape/tape/models/modeling_unirep.py,Class 'UniRepForSequenceClassification' and its superclass 'UniRepAbstractModel' may not share a proper 'IS-A' relationship.
songlab-cal_tape.tape.models,modeling_unirep,Broken hierarchy,UniRepForSequenceToSequenceClassification,231,/Volumes/BrokeExt/NICHE/songlab-cal_tape/tape/models/modeling_unirep.py,Class 'UniRepForSequenceToSequenceClassification' and its superclass 'UniRepAbstractModel' may not share a proper 'IS-A' relationship.
songlab-cal_tape.tape.models,modeling_unirep,Broken hierarchy,UniRepForContactPrediction,253,/Volumes/BrokeExt/NICHE/songlab-cal_tape/tape/models/modeling_unirep.py,Class 'UniRepForContactPrediction' and its superclass 'UniRepAbstractModel' may not share a proper 'IS-A' relationship.
songlab-cal_tape.tape.models,modeling_unirep,Broken modularization,UniRepConfig,25,/Volumes/BrokeExt/NICHE/songlab-cal_tape/tape/models/modeling_unirep.py,Class 'UniRepConfig' contains only data members without any method implementations.
songlab-cal_tape.tape.models,modeling_unirep,Wide hierarchy,UniRepAbstractModel,0,/Volumes/BrokeExt/NICHE/songlab-cal_tape/tape/models/modeling_unirep.py,Class 'UniRepAbstractModel' has a wide hierarchy with 6 direct subclasses.
songlab-cal_tape.tape.models,modeling_utils,Multifaceted abstraction,modeling_utils,1,/Volumes/BrokeExt/NICHE/songlab-cal_tape/tape/models/modeling_utils.py,"Class 'modeling_utils' has a high LCOM value of 1, indicating it may have multiple responsibilities."
songlab-cal_tape.tape.models,modeling_utils,Wide hierarchy,ProteinConfig,0,/Volumes/BrokeExt/NICHE/songlab-cal_tape/tape/models/modeling_utils.py,Class 'ProteinConfig' has a wide hierarchy with 7 direct subclasses.
songlab-cal_tape.tape.models,modeling_utils,Wide hierarchy,ProteinModel,0,/Volumes/BrokeExt/NICHE/songlab-cal_tape/tape/models/modeling_utils.py,Class 'ProteinModel' has a wide hierarchy with 7 direct subclasses.
songlab-cal_tape.tape.utils,distributed_utils,Multifaceted abstraction,distributed_utils,1,/Volumes/BrokeExt/NICHE/songlab-cal_tape/tape/utils/distributed_utils.py,"Class 'distributed_utils' has a high LCOM value of 1, indicating it may have multiple responsibilities."
