Package,Module,Class,Function,LOC,CC,PC
tech-srl_code2vec,code2vec,,load_model_dynamically,7,3,1
tech-srl_code2vec,common,common,normalize_word,6,1,1
tech-srl_code2vec,common,common,_load_vocab_from_histogram,24,6,4
tech-srl_code2vec,common,common,load_vocab_from_histogram,12,3,5
tech-srl_code2vec,common,common,load_json,10,4,1
tech-srl_code2vec,common,common,load_json_streaming,8,4,1
tech-srl_code2vec,common,common,save_word2vec_file,9,2,3
tech-srl_code2vec,common,common,calculate_max_contexts,5,1,1
tech-srl_code2vec,common,common,binary_to_string,2,1,1
tech-srl_code2vec,common,common,binary_to_string_list,2,1,1
tech-srl_code2vec,common,common,binary_to_string_matrix,2,1,1
tech-srl_code2vec,common,common,load_file_lines,3,1,1
tech-srl_code2vec,common,common,split_to_batches,3,2,2
tech-srl_code2vec,common,common,legal_method_names_checker,2,2,2
tech-srl_code2vec,common,common,filter_impossible_names,3,1,2
tech-srl_code2vec,common,common,get_subtokens,2,1,1
tech-srl_code2vec,common,common,parse_prediction_results,23,6,4
tech-srl_code2vec,common,common,tf_get_first_true,4,1,1
tech-srl_code2vec,common,common,count_lines_in_file,4,1,1
tech-srl_code2vec,common,common,squeeze_single_batch_dimension_for_np_arrays,6,2,1
tech-srl_code2vec,common,common,get_first_match_word_from_top_predictions,7,2,3
tech-srl_code2vec,common,common,now_str,2,1,0
tech-srl_code2vec,common,common,chunks,3,2,2
tech-srl_code2vec,common,common,get_unique_list,2,1,1
tech-srl_code2vec,common,MethodPredictionResults,__init__,4,1,1
tech-srl_code2vec,common,MethodPredictionResults,append_prediction,2,1,2
tech-srl_code2vec,common,MethodPredictionResults,append_attention_path,5,1,4
tech-srl_code2vec,config,Config,arguments_parser,34,1,1
tech-srl_code2vec,config,Config,set_defaults,23,1,0
tech-srl_code2vec,config,Config,load_from_args,15,1,0
tech-srl_code2vec,config,Config,__init__,45,4,3
tech-srl_code2vec,config,Config,context_vector_size,2,1,0
tech-srl_code2vec,config,Config,is_training,2,1,0
tech-srl_code2vec,config,Config,is_loading,2,1,0
tech-srl_code2vec,config,Config,is_saving,2,1,0
tech-srl_code2vec,config,Config,is_testing,2,1,0
tech-srl_code2vec,config,Config,train_steps_per_epoch,2,1,0
tech-srl_code2vec,config,Config,test_steps,2,1,0
tech-srl_code2vec,config,Config,data_path,2,1,1
tech-srl_code2vec,config,Config,batch_size,2,1,1
tech-srl_code2vec,config,Config,train_data_path,4,1,0
tech-srl_code2vec,config,Config,word_freq_dict_path,4,1,0
tech-srl_code2vec,config,Config,get_vocabularies_path_from_model_path,3,1,2
tech-srl_code2vec,config,Config,get_entire_model_path,2,1,2
tech-srl_code2vec,config,Config,get_model_weights_path,2,1,2
