Package,Module,Class,Smell,Function/Method,Line no,File,Details
tech-srl_code2vec,common,common,Long identifier,,10,/Volumes/BrokeExt/NICHE/tech-srl_code2vec/common.py,Identifier'current_method_prediction_results' exceeds the maximum length of 30 characters.
tech-srl_code2vec,common,common,Long identifier,squeeze_single_batch_dimension_for_np_arrays,173,/Volumes/BrokeExt/NICHE/tech-srl_code2vec/common.py,Identifier'squeeze_single_batch_dimension_for_np_arrays' exceeds the maximum length of 30 characters.
tech-srl_code2vec,common,common,Long identifier,get_first_match_word_from_top_predictions,181,/Volumes/BrokeExt/NICHE/tech-srl_code2vec/common.py,Identifier'get_first_match_word_from_top_predictions' exceeds the maximum length of 30 characters.
tech-srl_code2vec,common,common,Long statement,load_vocab_from_histogram,49,/Volumes/BrokeExt/NICHE/tech-srl_code2vec/common.py,A line with 142 chars in load_vocab_from_histogram exceeds the maximum length of 120 characters.
tech-srl_code2vec,common,common,Long statement,calculate_max_contexts,96,/Volumes/BrokeExt/NICHE/tech-srl_code2vec/common.py,A line with 129 chars in calculate_max_contexts exceeds the maximum length of 120 characters.
tech-srl_code2vec,common,common,Long statement,parse_prediction_results,144,/Volumes/BrokeExt/NICHE/tech-srl_code2vec/common.py,A line with 137 chars in parse_prediction_results exceeds the maximum length of 120 characters.
tech-srl_code2vec,common,common,Long statement,parse_prediction_results,146,/Volumes/BrokeExt/NICHE/tech-srl_code2vec/common.py,A line with 232 chars in parse_prediction_results exceeds the maximum length of 120 characters.
tech-srl_code2vec,common,common,Long statement,parse_prediction_results,155,/Volumes/BrokeExt/NICHE/tech-srl_code2vec/common.py,A line with 123 chars in parse_prediction_results exceeds the maximum length of 120 characters.
tech-srl_code2vec,common,common,Magic number,_load_vocab_from_histogram,29,/Volumes/BrokeExt/NICHE/tech-srl_code2vec/common.py,Magic number 2 used in _load_vocab_from_histogram.
tech-srl_code2vec,common,common,Magic number,save_word2vec_file,84,/Volumes/BrokeExt/NICHE/tech-srl_code2vec/common.py,Magic number 2 used in save_word2vec_file.
tech-srl_code2vec,common,common,Magic number,parse_prediction_results,136,/Volumes/BrokeExt/NICHE/tech-srl_code2vec/common.py,Magic number 5 used in parse_prediction_results.
tech-srl_code2vec,config,Config,Long identifier,,9,/Volumes/BrokeExt/NICHE/tech-srl_code2vec/config.py,Identifier'TOP_K_WORDS_CONSIDERED_DURING_PREDICTION' exceeds the maximum length of 30 characters.
tech-srl_code2vec,config,Config,Long identifier,get_vocabularies_path_from_model_path,192,/Volumes/BrokeExt/NICHE/tech-srl_code2vec/config.py,Identifier'get_vocabularies_path_from_model_path' exceeds the maximum length of 30 characters.
tech-srl_code2vec,config,Config,Long method,__init__,89 - 141,/Volumes/BrokeExt/NICHE/tech-srl_code2vec/config.py,Method '__init__' is too long (45 lines).
