Package,Module,Class,Function,LOC,CC,PC
tirthajyoti_Machine-Learning-with-Python.Deployment.Linear_regression,server_lm,,apicall,30,2,0
tirthajyoti_Machine-Learning-with-Python.Deployment.Linear_regression,server_lm,,bad_request,8,1,1
tirthajyoti_Machine-Learning-with-Python.Deployment.rnn_app,keras_server,,load_keras_model,5,1,0
tirthajyoti_Machine-Learning-with-Python.Deployment.rnn_app,keras_server,,home,14,2,0
tirthajyoti_Machine-Learning-with-Python.Deployment.rnn_app,nothing_much,,hello,4,1,0
tirthajyoti_Machine-Learning-with-Python.Deployment.rnn_app,utils,,generate_random_start,67,5,7
tirthajyoti_Machine-Learning-with-Python.Deployment.rnn_app,utils,,generate_from_seed,35,2,5
tirthajyoti_Machine-Learning-with-Python.Deployment.rnn_app,utils,,header,8,2,3
tirthajyoti_Machine-Learning-with-Python.Deployment.rnn_app,utils,,box,9,2,2
tirthajyoti_Machine-Learning-with-Python.Deployment.rnn_app,utils,,addContent,3,1,2
tirthajyoti_Machine-Learning-with-Python.Deployment.rnn_app,utils,,format_sequence,5,1,1
tirthajyoti_Machine-Learning-with-Python.Deployment.rnn_app,utils,,remove_spaces,3,1,1
tirthajyoti_Machine-Learning-with-Python.Memory-profiling.Scalene,linearmodel,,make_data,6,1,0
tirthajyoti_Machine-Learning-with-Python.Memory-profiling.Scalene,linearmodel,,test_train,4,1,1
tirthajyoti_Machine-Learning-with-Python.Memory-profiling.Scalene,linearmodel,,fitting,6,1,2
tirthajyoti_Machine-Learning-with-Python.Memory-profiling.Scalene,linearmodel,,save,3,1,1
tirthajyoti_Machine-Learning-with-Python.Memory-profiling.Scalene,linearmodel,,model_run,7,1,2
tirthajyoti_Machine-Learning-with-Python.Memory-profiling.Scalene,mlp,,make_data,6,1,0
tirthajyoti_Machine-Learning-with-Python.Memory-profiling.Scalene,mlp,,test_train,4,1,1
tirthajyoti_Machine-Learning-with-Python.Memory-profiling.Scalene,mlp,,fitting,6,1,2
tirthajyoti_Machine-Learning-with-Python.Memory-profiling.Scalene,mlp,,save,3,1,1
tirthajyoti_Machine-Learning-with-Python.Memory-profiling.Scalene,mlp,,model_run,7,1,2
tirthajyoti_Machine-Learning-with-Python.OOP_in_ML,Class_MyLinearRegression,Metrics,sse,7,1,0
tirthajyoti_Machine-Learning-with-Python.OOP_in_ML,Class_MyLinearRegression,Metrics,sst,8,1,0
tirthajyoti_Machine-Learning-with-Python.OOP_in_ML,Class_MyLinearRegression,Metrics,r_squared,6,1,0
tirthajyoti_Machine-Learning-with-Python.OOP_in_ML,Class_MyLinearRegression,Metrics,adj_r_squared,6,1,0
tirthajyoti_Machine-Learning-with-Python.OOP_in_ML,Class_MyLinearRegression,Metrics,mse,6,1,0
tirthajyoti_Machine-Learning-with-Python.OOP_in_ML,Class_MyLinearRegression,Metrics,aic,8,1,0
tirthajyoti_Machine-Learning-with-Python.OOP_in_ML,Class_MyLinearRegression,Metrics,bic,8,1,0
tirthajyoti_Machine-Learning-with-Python.OOP_in_ML,Class_MyLinearRegression,Metrics,print_metrics,15,3,0
tirthajyoti_Machine-Learning-with-Python.OOP_in_ML,Class_MyLinearRegression,Metrics,summary_metrics,17,2,0
tirthajyoti_Machine-Learning-with-Python.OOP_in_ML,Class_MyLinearRegression,Inference,__init__,2,1,0
tirthajyoti_Machine-Learning-with-Python.OOP_in_ML,Class_MyLinearRegression,Inference,std_err,8,1,0
tirthajyoti_Machine-Learning-with-Python.OOP_in_ML,Class_MyLinearRegression,Inference,pvalues,8,1,0
tirthajyoti_Machine-Learning-with-Python.OOP_in_ML,Class_MyLinearRegression,Inference,tvalues,8,1,0
tirthajyoti_Machine-Learning-with-Python.OOP_in_ML,Class_MyLinearRegression,Inference,ftest,8,1,0
tirthajyoti_Machine-Learning-with-Python.OOP_in_ML,Class_MyLinearRegression,Diagnostics_plots,__init__,2,1,0
tirthajyoti_Machine-Learning-with-Python.OOP_in_ML,Class_MyLinearRegression,Diagnostics_plots,fitted_vs_residual,16,2,0
tirthajyoti_Machine-Learning-with-Python.OOP_in_ML,Class_MyLinearRegression,Diagnostics_plots,fitted_vs_features,33,5,0
tirthajyoti_Machine-Learning-with-Python.OOP_in_ML,Class_MyLinearRegression,Diagnostics_plots,histogram_resid,14,3,1
tirthajyoti_Machine-Learning-with-Python.OOP_in_ML,Class_MyLinearRegression,Diagnostics_plots,shapiro_test,16,4,1
tirthajyoti_Machine-Learning-with-Python.OOP_in_ML,Class_MyLinearRegression,Diagnostics_plots,qqplot_resid,14,3,1
tirthajyoti_Machine-Learning-with-Python.OOP_in_ML,Class_MyLinearRegression,Data_plots,__init__,2,1,0
tirthajyoti_Machine-Learning-with-Python.OOP_in_ML,Class_MyLinearRegression,Data_plots,pairplot,10,2,0
tirthajyoti_Machine-Learning-with-Python.OOP_in_ML,Class_MyLinearRegression,Data_plots,plot_fitted,14,3,1
tirthajyoti_Machine-Learning-with-Python.OOP_in_ML,Class_MyLinearRegression,Outliers,__init__,2,1,0
tirthajyoti_Machine-Learning-with-Python.OOP_in_ML,Class_MyLinearRegression,Outliers,cook_distance,14,2,0
tirthajyoti_Machine-Learning-with-Python.OOP_in_ML,Class_MyLinearRegression,Outliers,influence_plot,9,2,0
tirthajyoti_Machine-Learning-with-Python.OOP_in_ML,Class_MyLinearRegression,Outliers,leverage_resid_plot,9,2,0
tirthajyoti_Machine-Learning-with-Python.OOP_in_ML,Class_MyLinearRegression,Multicollinearity,__init__,2,1,0
tirthajyoti_Machine-Learning-with-Python.OOP_in_ML,Class_MyLinearRegression,Multicollinearity,vif,12,3,0
tirthajyoti_Machine-Learning-with-Python.OOP_in_ML,Class_MyLinearRegression,MyLinearRegression,__init__,7,1,1
tirthajyoti_Machine-Learning-with-Python.OOP_in_ML,Class_MyLinearRegression,MyLinearRegression,__repr__,2,1,0
tirthajyoti_Machine-Learning-with-Python.OOP_in_ML,Class_MyLinearRegression,MyLinearRegression,ingest_data,6,2,2
tirthajyoti_Machine-Learning-with-Python.OOP_in_ML,Class_MyLinearRegression,MyLinearRegression,fit,30,6,3
tirthajyoti_Machine-Learning-with-Python.OOP_in_ML,Class_MyLinearRegression,MyLinearRegression,fit,30,6,3
tirthajyoti_Machine-Learning-with-Python.OOP_in_ML,Class_MyLinearRegression,MyLinearRegression,fit_dataframe,32,3,4
tirthajyoti_Machine-Learning-with-Python.OOP_in_ML,Class_MyLinearRegression,MyLinearRegression,predict,6,2,1
