Package,Module,Class,Smell,Function/Method,Line no,File,Details
tobybreckon_fire-detection-cnn,firenet,,Long statement,,145,/Volumes/BrokeExt/NICHE/tobybreckon_fire-detection-cnn/firenet.py,A line with 129 chars in firenet exceeds the maximum length of 120 characters.
tobybreckon_fire-detection-cnn,firenet,,Long statement,,149,/Volumes/BrokeExt/NICHE/tobybreckon_fire-detection-cnn/firenet.py,A line with 130 chars in firenet exceeds the maximum length of 120 characters.
tobybreckon_fire-detection-cnn,inceptionVxOnFire,,Long method,construct_inceptionv1onfire,29 - 97,/Volumes/BrokeExt/NICHE/tobybreckon_fire-detection-cnn/inceptionVxOnFire.py,Method 'construct_inceptionv1onfire' is too long (47 lines).
tobybreckon_fire-detection-cnn,inceptionVxOnFire,,Long method,construct_inceptionv3onfire,101 - 195,/Volumes/BrokeExt/NICHE/tobybreckon_fire-detection-cnn/inceptionVxOnFire.py,Method 'construct_inceptionv3onfire' is too long (58 lines).
tobybreckon_fire-detection-cnn,inceptionVxOnFire,,Long statement,construct_inceptionv1onfire,56,/Volumes/BrokeExt/NICHE/tobybreckon_fire-detection-cnn/inceptionVxOnFire.py,A line with 129 chars in construct_inceptionv1onfire exceeds the maximum length of 120 characters.
tobybreckon_fire-detection-cnn,inceptionVxOnFire,,Long statement,construct_inceptionv1onfire,59,/Volumes/BrokeExt/NICHE/tobybreckon_fire-detection-cnn/inceptionVxOnFire.py,A line with 125 chars in construct_inceptionv1onfire exceeds the maximum length of 120 characters.
tobybreckon_fire-detection-cnn,inceptionVxOnFire,,Long statement,construct_inceptionv1onfire,61,/Volumes/BrokeExt/NICHE/tobybreckon_fire-detection-cnn/inceptionVxOnFire.py,A line with 124 chars in construct_inceptionv1onfire exceeds the maximum length of 120 characters.
tobybreckon_fire-detection-cnn,inceptionVxOnFire,,Long statement,construct_inceptionv1onfire,67,/Volumes/BrokeExt/NICHE/tobybreckon_fire-detection-cnn/inceptionVxOnFire.py,A line with 157 chars in construct_inceptionv1onfire exceeds the maximum length of 120 characters.
tobybreckon_fire-detection-cnn,inceptionVxOnFire,,Long statement,construct_inceptionv1onfire,78,/Volumes/BrokeExt/NICHE/tobybreckon_fire-detection-cnn/inceptionVxOnFire.py,A line with 157 chars in construct_inceptionv1onfire exceeds the maximum length of 120 characters.
tobybreckon_fire-detection-cnn,inceptionVxOnFire,,Long statement,construct_inceptionv3onfire,134,/Volumes/BrokeExt/NICHE/tobybreckon_fire-detection-cnn/inceptionVxOnFire.py,A line with 157 chars in construct_inceptionv3onfire exceeds the maximum length of 120 characters.
