Package,Module,Class,Smell,Function/Method,Line no,File,Details
ultralytics_xview-yolov3,detect,,Complex method,detect,35 - 230,/Volumes/BrokeExt/NICHE/ultralytics_xview-yolov3/detect.py,"Method 'detect' has a cyclomatic complexity of 18, exceeding the max of 6."
ultralytics_xview-yolov3,detect,,Long method,detect,35 - 230,/Volumes/BrokeExt/NICHE/ultralytics_xview-yolov3/detect.py,Method 'detect' is too long (171 lines).
ultralytics_xview-yolov3,detect,ConvNetb,Long statement,__init__,238,/Volumes/BrokeExt/NICHE/ultralytics_xview-yolov3/detect.py,A line with 142 chars in __init__ exceeds the maximum length of 120 characters.
ultralytics_xview-yolov3,detect,ConvNetb,Long statement,__init__,243,/Volumes/BrokeExt/NICHE/ultralytics_xview-yolov3/detect.py,A line with 127 chars in __init__ exceeds the maximum length of 120 characters.
ultralytics_xview-yolov3,detect,ConvNetb,Long statement,__init__,246,/Volumes/BrokeExt/NICHE/ultralytics_xview-yolov3/detect.py,A line with 139 chars in __init__ exceeds the maximum length of 120 characters.
ultralytics_xview-yolov3,detect,ConvNetb,Long statement,__init__,249,/Volumes/BrokeExt/NICHE/ultralytics_xview-yolov3/detect.py,A line with 145 chars in __init__ exceeds the maximum length of 120 characters.
ultralytics_xview-yolov3,detect,ConvNetb,Long statement,__init__,254,/Volumes/BrokeExt/NICHE/ultralytics_xview-yolov3/detect.py,A line with 145 chars in __init__ exceeds the maximum length of 120 characters.
ultralytics_xview-yolov3,detect,ConvNetb,Long statement,__init__,259,/Volumes/BrokeExt/NICHE/ultralytics_xview-yolov3/detect.py,A line with 147 chars in __init__ exceeds the maximum length of 120 characters.
ultralytics_xview-yolov3,detect,ConvNetb,Long statement,forward,273,/Volumes/BrokeExt/NICHE/ultralytics_xview-yolov3/detect.py,A line with 142 chars in forward exceeds the maximum length of 120 characters.
ultralytics_xview-yolov3,detect,,Magic number,detect,216,/Volumes/BrokeExt/NICHE/ultralytics_xview-yolov3/detect.py,Magic number 0.05 used in detect.
ultralytics_xview-yolov3,detect,,Magic number,detect,121,/Volumes/BrokeExt/NICHE/ultralytics_xview-yolov3/detect.py,Magic number 4 used in detect.
ultralytics_xview-yolov3,detect,ConvNetb,Magic number,__init__,237,/Volumes/BrokeExt/NICHE/ultralytics_xview-yolov3/detect.py,Magic number 60 used in __init__.
ultralytics_xview-yolov3,detect,ConvNetb,Magic number,__init__,242,/Volumes/BrokeExt/NICHE/ultralytics_xview-yolov3/detect.py,Magic number 64 used in __init__.
ultralytics_xview-yolov3,models,,Complex method,create_modules,10 - 70,/Volumes/BrokeExt/NICHE/ultralytics_xview-yolov3/models.py,"Method 'create_modules' has a cyclomatic complexity of 9, exceeding the max of 6."
ultralytics_xview-yolov3,models,YOLOLayer,Complex method,forward,112 - 227,/Volumes/BrokeExt/NICHE/ultralytics_xview-yolov3/models.py,"Method 'forward' has a cyclomatic complexity of 8, exceeding the max of 6."
ultralytics_xview-yolov3,models,Darknet,Complex method,forward,244 - 294,/Volumes/BrokeExt/NICHE/ultralytics_xview-yolov3/models.py,"Method 'forward' has a cyclomatic complexity of 10, exceeding the max of 6."
ultralytics_xview-yolov3,models,,Long method,create_modules,10 - 70,/Volumes/BrokeExt/NICHE/ultralytics_xview-yolov3/models.py,Method 'create_modules' is too long (59 lines).
ultralytics_xview-yolov3,models,YOLOLayer,Long method,forward,112 - 227,/Volumes/BrokeExt/NICHE/ultralytics_xview-yolov3/models.py,Method 'forward' is too long (103 lines).
ultralytics_xview-yolov3,models,Darknet,Long method,forward,244 - 294,/Volumes/BrokeExt/NICHE/ultralytics_xview-yolov3/models.py,Method 'forward' is too long (46 lines).
ultralytics_xview-yolov3,models,,Long statement,create_modules,23,/Volumes/BrokeExt/NICHE/ultralytics_xview-yolov3/models.py,A line with 202 chars in create_modules exceeds the maximum length of 120 characters.
ultralytics_xview-yolov3,models,YOLOLayer,Long statement,forward,161,/Volumes/BrokeExt/NICHE/ultralytics_xview-yolov3/models.py,A line with 163 chars in forward exceeds the maximum length of 120 characters.
ultralytics_xview-yolov3,models,YOLOLayer,Long statement,forward,195,/Volumes/BrokeExt/NICHE/ultralytics_xview-yolov3/models.py,A line with 123 chars in forward exceeds the maximum length of 120 characters.
