Package,Module,Class,Function,LOC,CC,PC
veaba_ncov.servers.docker-python,mongo,,mongo_connect,10,1,0
veaba_ncov.servers.docker-python,mongo,,mongo_news,2,1,0
veaba_ncov.servers.docker-python,mongo,,save_news,2,1,0
veaba_ncov.servers.docker-python,mongo,,update_news,3,1,2
veaba_ncov.servers.docker-python,mongo,,insert_news,3,1,2
veaba_ncov.servers.docker-python,mongo,,delete_news,2,1,0
veaba_ncov.servers.docker-python,mongo,,fond_one,5,1,2
veaba_ncov.servers.docker-python,mongo,,query_collection_list,3,1,0
veaba_ncov.servers.docker-python,mongo,,query_list,5,1,1
veaba_ncov.servers.docker-python,producer,,kafka_producer,11,2,2
veaba_ncov.servers.docker-python,spider_app,,spider_cctv_web_single,41,7,1
veaba_ncov.servers.docker-python,spider_app,,spider_weibo_web,38,7,1
veaba_ncov.servers.docker-python,spider_app,,always_spider_cctv,7,4,0
veaba_ncov.servers.docker-python,spider_app,,always_spider_cctv_weibo,4,2,0
veaba_ncov.servers.docker-python,spider_app,,spider_app,8,2,0
veaba_ncov.servers.docker-python,topic_kafka,,delete_kafka,5,1,1
veaba_ncov.servers.docker-python,topic_kafka,,create_topic,6,1,1
veaba_ncov.servers.docker-python,utils,,parser_weibo_time,49,2,1
veaba_ncov.servers.docker-python.nohandler,app,,async_app,10,2,0
veaba_ncov.servers.docker-python.nohandler,cunsumer,,kafka_consumer,25,5,2
veaba_ncov.servers.docker-python.nohandler,server_app,,index,2,1,1
veaba_ncov.servers.docker-python.nohandler,server_app,,connect,2,1,2
veaba_ncov.servers.docker-python.nohandler,server_app,,print_hello,2,1,2
veaba_ncov.servers.docker-python.nohandler,server_app,,emit_broadcast,4,1,0
veaba_ncov.servers.docker-python.nohandler,server_app,,my_broadcast_event,2,1,2
veaba_ncov.servers.docker-python.nohandler,server_app,,disconnect,2,1,1
veaba_ncov.servers.docker-python.nohandler,server_app,,background_task,15,3,0
veaba_ncov.servers.docker-python.nohandler,server_app,,xx,4,2,0
veaba_ncov.servers.docker-python.nohandler,server_app,,server_app,3,1,1
veaba_ncov.servers.docker-python.nohandler,socket_app,,test,2,1,0
veaba_ncov.servers.docker-python.nohandler,socket_app,,kafka_consumer,32,5,3
veaba_ncov.servers.docker-python.nohandler,socket_app,,socket_app,3,1,1
veaba_ncov.servers.docker-python.test,spider_test,,spider_cctv_web,18,3,2
veaba_ncov.servers.docker-python.test,spider_test,,async_spider,3,1,2
veaba_ncov.servers.docker-python.test,spider_test,,spider_cctv_web_single,5,2,1
veaba_ncov.servers.docker-python.test,test,,hello,3,1,0
veaba_ncov.servers.docker-python.test,test,,hello1,3,1,0
veaba_ncov.servers.docker-python.test,test,,run,4,2,0
