Package,Module,Class,LOC,WMC,NOM,NOPM,NOF,NOPF,LCOM,Fan-in,Fan-out
wjmaddox_swa_gaussian,setup,,0,0,0,0,2,1,-1,0,0
wjmaddox_swa_gaussian.experiments.ensembling,bn_updates_fraction,,0,0,0,0,28,28,-1,0,1
wjmaddox_swa_gaussian.experiments.ensembling,ensembling,,3,2,1,1,23,23,0,0,1
wjmaddox_swa_gaussian.experiments.ensembling,swa_ecdf_ensembles,,15,5,2,2,24,24,1,0,0
wjmaddox_swa_gaussian.experiments.grad_cov,grad_cov_utils,,97,16,4,4,11,11,0.25,0,0
wjmaddox_swa_gaussian.experiments.grad_cov,run_grad_cov,,10,3,1,1,24,24,0,0,1
wjmaddox_swa_gaussian.experiments.hessian_eigs,hess_vec_prod,,87,18,3,3,12,12,0,0,0
wjmaddox_swa_gaussian.experiments.hessian_eigs,run_hess_eigs,,0,0,0,0,10,10,-1,0,0
wjmaddox_swa_gaussian.experiments.imagenet,data,,46,1,1,1,1,1,0,0,0
wjmaddox_swa_gaussian.experiments.imagenet,eval_net_imagenet,,0,0,0,0,18,18,-1,0,0
wjmaddox_swa_gaussian.experiments.imagenet,eval_swag_imagenet,,0,0,0,0,27,27,-1,0,1
wjmaddox_swa_gaussian.experiments.imagenet,run_swag_imagenet,,5,2,1,1,25,25,0,0,1
wjmaddox_swa_gaussian.experiments.imagenet,test_swag_gpu,,0,0,0,0,8,8,-1,0,1
wjmaddox_swa_gaussian.experiments.segmentation,eval_ensemble,,4,2,1,1,25,25,0,0,1
wjmaddox_swa_gaussian.experiments.segmentation,evaluate,,0,0,0,0,14,14,-1,0,1
wjmaddox_swa_gaussian.experiments.segmentation,train,,0,0,0,0,23,23,-1,0,1
wjmaddox_swa_gaussian.experiments.segmentation.utils,__init__,,0,0,0,0,0,0,-1,0,0
wjmaddox_swa_gaussian.experiments.segmentation.utils,imgs,,29,5,3,3,18,18,0.33,0,0
wjmaddox_swa_gaussian.experiments.segmentation.utils,training,,125,16,7,7,24,24,0.29,0,0
wjmaddox_swa_gaussian.experiments.train,run_swag,,10,3,1,1,29,29,0,0,1
wjmaddox_swa_gaussian.experiments.train,train,,10,3,1,1,28,28,0,0,0
wjmaddox_swa_gaussian.experiments.uncertainty,save_calibration_curves,,50,9,4,4,38,38,0.5,0,0
wjmaddox_swa_gaussian.experiments.uncertainty,temp_scaling,,27,2,3,3,1,1,1,0,0
wjmaddox_swa_gaussian.experiments.uncertainty,uncertainty,,9,3,2,2,22,22,1,0,1
wjmaddox_swa_gaussian.experiments.width,pca_2d_plane,,0,0,0,0,37,37,-1,0,0
wjmaddox_swa_gaussian.experiments.width,pca_orth_width,,0,0,0,0,34,34,-1,0,0
wjmaddox_swa_gaussian.experiments.width,pca_width,,0,0,0,0,35,35,-1,0,0
wjmaddox_swa_gaussian.experiments.width,swag_2d_plane,,0,0,0,0,54,54,-1,0,1
wjmaddox_swa_gaussian.experiments.width,swag_width,,0,0,0,0,38,38,-1,0,1
wjmaddox_swa_gaussian.swag,__init__,,0,0,0,0,1,0,-1,0,0
wjmaddox_swa_gaussian.swag,camvid,,79,18,3,2,8,8,0,1,0
