Package,Module,Smell,Class/Module,Line no,File,Details
wjmaddox_swa_gaussian.experiments.uncertainty,temp_scaling,Multifaceted abstraction,temp_scaling,1,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/experiments/uncertainty/temp_scaling.py,"Class 'temp_scaling' has a high LCOM value of 1, indicating it may have multiple responsibilities."
wjmaddox_swa_gaussian.swag.models,lenet5,Broken modularization,LeNet5,74,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/swag/models/lenet5.py,Class 'LeNet5' contains only data members without any method implementations.
wjmaddox_swa_gaussian.swag.models,preresnet,Broken modularization,PreResNet164,158,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/swag/models/preresnet.py,Class 'PreResNet164' contains only data members without any method implementations.
wjmaddox_swa_gaussian.swag.models,preresnet,Broken modularization,PreResNet110,180,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/swag/models/preresnet.py,Class 'PreResNet110' contains only data members without any method implementations.
wjmaddox_swa_gaussian.swag.models,preresnet,Broken modularization,PreResNet83,202,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/swag/models/preresnet.py,Class 'PreResNet83' contains only data members without any method implementations.
wjmaddox_swa_gaussian.swag.models,preresnet,Broken modularization,PreResNet56,224,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/swag/models/preresnet.py,Class 'PreResNet56' contains only data members without any method implementations.
wjmaddox_swa_gaussian.swag.models,preresnet,Broken modularization,PreResNet8,246,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/swag/models/preresnet.py,Class 'PreResNet8' contains only data members without any method implementations.
wjmaddox_swa_gaussian.swag.models,preresnet_dropout,Broken modularization,PreResNet164Drop,167,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/swag/models/preresnet_dropout.py,Class 'PreResNet164Drop' contains only data members without any method implementations.
wjmaddox_swa_gaussian.swag.models,preresnet_dropout,Broken modularization,PreResNet110Drop,189,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/swag/models/preresnet_dropout.py,Class 'PreResNet110Drop' contains only data members without any method implementations.
wjmaddox_swa_gaussian.swag.models,preresnet_dropout,Broken modularization,PreResNet56Drop,211,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/swag/models/preresnet_dropout.py,Class 'PreResNet56Drop' contains only data members without any method implementations.
wjmaddox_swa_gaussian.swag.models,preresnet_dropout,Broken modularization,PreResNet8Drop,233,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/swag/models/preresnet_dropout.py,Class 'PreResNet8Drop' contains only data members without any method implementations.
wjmaddox_swa_gaussian.swag.models,tiramisu,Broken modularization,FCDenseNet57,157,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/swag/models/tiramisu.py,Class 'FCDenseNet57' contains only data members without any method implementations.
wjmaddox_swa_gaussian.swag.models,tiramisu,Broken modularization,FCDenseNet67,189,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/swag/models/tiramisu.py,Class 'FCDenseNet67' contains only data members without any method implementations.
wjmaddox_swa_gaussian.swag.models,tiramisu,Broken modularization,FCDenseNet103,229,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/swag/models/tiramisu.py,Class 'FCDenseNet103' contains only data members without any method implementations.
wjmaddox_swa_gaussian.swag.models,vgg,Broken hierarchy,VGG16,129,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/swag/models/vgg.py,Class 'VGG16' and its superclass 'Base' may not share a proper 'IS-A' relationship.
wjmaddox_swa_gaussian.swag.models,vgg,Broken hierarchy,VGG16BN,133,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/swag/models/vgg.py,Class 'VGG16BN' and its superclass 'Base' may not share a proper 'IS-A' relationship.
wjmaddox_swa_gaussian.swag.models,vgg,Broken hierarchy,VGG19,137,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/swag/models/vgg.py,Class 'VGG19' and its superclass 'Base' may not share a proper 'IS-A' relationship.
wjmaddox_swa_gaussian.swag.models,vgg,Broken hierarchy,VGG19BN,141,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/swag/models/vgg.py,Class 'VGG19BN' and its superclass 'Base' may not share a proper 'IS-A' relationship.
wjmaddox_swa_gaussian.swag.models,vgg,Broken modularization,Base,103,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/swag/models/vgg.py,Class 'Base' contains only data members without any method implementations.
wjmaddox_swa_gaussian.swag.models,vgg_dropout,Broken hierarchy,VGG16Drop,136,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/swag/models/vgg_dropout.py,Class 'VGG16Drop' and its superclass 'Base' may not share a proper 'IS-A' relationship.
wjmaddox_swa_gaussian.swag.models,vgg_dropout,Broken hierarchy,VGG16BNDrop,140,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/swag/models/vgg_dropout.py,Class 'VGG16BNDrop' and its superclass 'Base' may not share a proper 'IS-A' relationship.
wjmaddox_swa_gaussian.swag.models,vgg_dropout,Broken hierarchy,VGG19Drop,144,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/swag/models/vgg_dropout.py,Class 'VGG19Drop' and its superclass 'Base' may not share a proper 'IS-A' relationship.
wjmaddox_swa_gaussian.swag.models,vgg_dropout,Broken hierarchy,VGG19BNDrop,148,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/swag/models/vgg_dropout.py,Class 'VGG19BNDrop' and its superclass 'Base' may not share a proper 'IS-A' relationship.
wjmaddox_swa_gaussian.swag.models,vgg_dropout,Broken modularization,Base,110,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/swag/models/vgg_dropout.py,Class 'Base' contains only data members without any method implementations.
wjmaddox_swa_gaussian.swag.models,wide_resnet,Broken modularization,WideResNet28x10,97,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/swag/models/wide_resnet.py,Class 'WideResNet28x10' contains only data members without any method implementations.
wjmaddox_swa_gaussian.swag.models,wide_resnet_dropout,Broken modularization,WideResNet28x10Drop,101,/Volumes/BrokeExt/NICHE/wjmaddox_swa_gaussian/swag/models/wide_resnet_dropout.py,Class 'WideResNet28x10Drop' contains only data members without any method implementations.
