Package,Module,Class,Function,LOC,CC,PC
wjmaddox_swa_gaussian.experiments.ensembling,ensembling,,train_dropout,3,2,1
wjmaddox_swa_gaussian.experiments.ensembling,swa_ecdf_ensembles,,find_models,9,4,4
wjmaddox_swa_gaussian.experiments.ensembling,swa_ecdf_ensembles,,nll,6,1,2
wjmaddox_swa_gaussian.experiments.grad_cov,grad_cov_utils,,initialize_grad_list,10,2,1
wjmaddox_swa_gaussian.experiments.grad_cov,grad_cov_utils,,collect_grads,5,2,2
wjmaddox_swa_gaussian.experiments.grad_cov,grad_cov_utils,,compute_opt_lr,21,2,3
wjmaddox_swa_gaussian.experiments.grad_cov,grad_cov_utils,,train_epoch,61,10,9
wjmaddox_swa_gaussian.experiments.grad_cov,run_grad_cov,,schedule,10,3,1
wjmaddox_swa_gaussian.experiments.hessian_eigs,hess_vec_prod,,gradtensor_to_tensor,5,2,2
wjmaddox_swa_gaussian.experiments.hessian_eigs,hess_vec_prod,,eval_hess_vec_prod,27,5,6
wjmaddox_swa_gaussian.experiments.hessian_eigs,hess_vec_prod,,min_max_hessian_eigs,55,11,6
wjmaddox_swa_gaussian.experiments.imagenet,data,,loaders,46,1,4
wjmaddox_swa_gaussian.experiments.imagenet,run_swag_imagenet,,schedule,5,2,1
wjmaddox_swa_gaussian.experiments.segmentation,eval_ensemble,,train_dropout,4,2,1
wjmaddox_swa_gaussian.experiments.segmentation.utils,imgs,,view_annotated,18,3,2
wjmaddox_swa_gaussian.experiments.segmentation.utils,imgs,,decode_image,6,1,1
wjmaddox_swa_gaussian.experiments.segmentation.utils,imgs,,view_image,5,1,1
wjmaddox_swa_gaussian.experiments.segmentation.utils,training,,weights_init,4,2,1
wjmaddox_swa_gaussian.experiments.segmentation.utils,training,,predict,11,2,3
wjmaddox_swa_gaussian.experiments.segmentation.utils,training,,view_sample_predictions,11,2,3
wjmaddox_swa_gaussian.experiments.segmentation.utils,training,,get_predictions,6,1,1
wjmaddox_swa_gaussian.experiments.segmentation.utils,training,,train,24,2,4
wjmaddox_swa_gaussian.experiments.segmentation.utils,training,,test,54,5,6
wjmaddox_swa_gaussian.experiments.segmentation.utils,training,,numpy_metrics,15,2,4
wjmaddox_swa_gaussian.experiments.train,run_swag,,schedule,10,3,1
wjmaddox_swa_gaussian.experiments.train,train,,schedule,10,3,1
wjmaddox_swa_gaussian.experiments.uncertainty,save_calibration_curves,,parse,2,1,1
wjmaddox_swa_gaussian.experiments.uncertainty,save_calibration_curves,,calibration_curve,40,5,1
