Package,Module,Class,Smell,Function/Method,Line no,File,Details
wubinzzu_NeuRec,main,,Long identifier,,28,/Volumes/BrokeExt/NICHE/wubinzzu_NeuRec/main.py,Identifier'per_process_gpu_memory_fraction' exceeds the maximum length of 30 characters.
wubinzzu_NeuRec.data,dataset,Dataset,Complex method,_check_saved_data,48 - 73,/Volumes/BrokeExt/NICHE/wubinzzu_NeuRec/data/dataset.py,"Method '_check_saved_data' has a cyclomatic complexity of 7, exceeding the max of 6."
wubinzzu_NeuRec.data,dataset,Dataset,Complex method,_split_data,132 - 210,/Volumes/BrokeExt/NICHE/wubinzzu_NeuRec/data/dataset.py,"Method '_split_data' has a cyclomatic complexity of 8, exceeding the max of 6."
wubinzzu_NeuRec.data,dataset,Dataset,Long method,_load_data,75 - 130,/Volumes/BrokeExt/NICHE/wubinzzu_NeuRec/data/dataset.py,Method '_load_data' is too long (49 lines).
wubinzzu_NeuRec.data,dataset,Dataset,Long method,_split_data,132 - 210,/Volumes/BrokeExt/NICHE/wubinzzu_NeuRec/data/dataset.py,Method '_split_data' is too long (66 lines).
wubinzzu_NeuRec.data,dataset,Dataset,Long statement,_load_data,121,/Volumes/BrokeExt/NICHE/wubinzzu_NeuRec/data/dataset.py,A line with 129 chars in _load_data exceeds the maximum length of 120 characters.
wubinzzu_NeuRec.data,dataset,Dataset,Long statement,_load_data,123,/Volumes/BrokeExt/NICHE/wubinzzu_NeuRec/data/dataset.py,A line with 125 chars in _load_data exceeds the maximum length of 120 characters.
wubinzzu_NeuRec.data,dataset,Dataset,Long statement,_load_data,127,/Volumes/BrokeExt/NICHE/wubinzzu_NeuRec/data/dataset.py,A line with 133 chars in _load_data exceeds the maximum length of 120 characters.
wubinzzu_NeuRec.data,dataset,Dataset,Long statement,__str__,248,/Volumes/BrokeExt/NICHE/wubinzzu_NeuRec/data/dataset.py,A line with 385 chars in __str__ exceeds the maximum length of 120 characters.
wubinzzu_NeuRec.data,dataset,Dataset,Magic number,__str__,254,/Volumes/BrokeExt/NICHE/wubinzzu_NeuRec/data/dataset.py,Magic number 100 used in __str__.
wubinzzu_NeuRec.data,sampler,,Complex method,_generative_time_order_positive_items,42 - 68,/Volumes/BrokeExt/NICHE/wubinzzu_NeuRec/data/sampler.py,"Method '_generative_time_order_positive_items' has a cyclomatic complexity of 7, exceeding the max of 6."
wubinzzu_NeuRec.data,sampler,,Long identifier,_generative_time_order_positive_items,42,/Volumes/BrokeExt/NICHE/wubinzzu_NeuRec/data/sampler.py,Identifier'_generative_time_order_positive_items' exceeds the maximum length of 30 characters.
wubinzzu_NeuRec.data,sampler,TimeOrderPointwiseSampler,Long parameter list,__init__,231 - 268,/Volumes/BrokeExt/NICHE/wubinzzu_NeuRec/data/sampler.py,"__init__ has 6 parameters, exceeding the max of 5."
wubinzzu_NeuRec.data,sampler,TimeOrderPairwiseSampler,Long parameter list,__init__,308 - 337,/Volumes/BrokeExt/NICHE/wubinzzu_NeuRec/data/sampler.py,"__init__ has 6 parameters, exceeding the max of 5."
wubinzzu_NeuRec.data,sampler,PointwiseSampler,Long statement,__init__,103,/Volumes/BrokeExt/NICHE/wubinzzu_NeuRec/data/sampler.py,A line with 577 chars in __init__ exceeds the maximum length of 120 characters.
wubinzzu_NeuRec.data,sampler,PointwiseSampler,Long statement,__iter__,143,/Volumes/BrokeExt/NICHE/wubinzzu_NeuRec/data/sampler.py,A line with 145 chars in __iter__ exceeds the maximum length of 120 characters.
wubinzzu_NeuRec.data,sampler,PairwiseSampler,Long statement,__init__,171,/Volumes/BrokeExt/NICHE/wubinzzu_NeuRec/data/sampler.py,A line with 576 chars in __init__ exceeds the maximum length of 120 characters.
wubinzzu_NeuRec.data,sampler,PairwiseSampler,Long statement,__iter__,202,/Volumes/BrokeExt/NICHE/wubinzzu_NeuRec/data/sampler.py,A line with 154 chars in __iter__ exceeds the maximum length of 120 characters.
wubinzzu_NeuRec.data,sampler,TimeOrderPointwiseSampler,Long statement,__init__,232,/Volumes/BrokeExt/NICHE/wubinzzu_NeuRec/data/sampler.py,A line with 662 chars in __init__ exceeds the maximum length of 120 characters.
wubinzzu_NeuRec.data,sampler,TimeOrderPointwiseSampler,Long statement,__init__,259,/Volumes/BrokeExt/NICHE/wubinzzu_NeuRec/data/sampler.py,A line with 154 chars in __init__ exceeds the maximum length of 120 characters.
wubinzzu_NeuRec.data,sampler,TimeOrderPointwiseSampler,Long statement,__iter__,278,/Volumes/BrokeExt/NICHE/wubinzzu_NeuRec/data/sampler.py,A line with 174 chars in __iter__ exceeds the maximum length of 120 characters.
wubinzzu_NeuRec.data,sampler,TimeOrderPairwiseSampler,Long statement,__init__,309,/Volumes/BrokeExt/NICHE/wubinzzu_NeuRec/data/sampler.py,A line with 661 chars in __init__ exceeds the maximum length of 120 characters.
wubinzzu_NeuRec.data,sampler,TimeOrderPairwiseSampler,Long statement,__init__,336,/Volumes/BrokeExt/NICHE/wubinzzu_NeuRec/data/sampler.py,A line with 164 chars in __init__ exceeds the maximum length of 120 characters.
wubinzzu_NeuRec.data,sampler,TimeOrderPairwiseSampler,Long statement,__iter__,343,/Volumes/BrokeExt/NICHE/wubinzzu_NeuRec/data/sampler.py,A line with 178 chars in __iter__ exceeds the maximum length of 120 characters.
wubinzzu_NeuRec.data,sampler,PointwiseSampler,Magic number,__init__,102,/Volumes/BrokeExt/NICHE/wubinzzu_NeuRec/data/sampler.py,Magic number 1024 used in __init__.
wubinzzu_NeuRec.data,sampler,PairwiseSampler,Magic number,__init__,170,/Volumes/BrokeExt/NICHE/wubinzzu_NeuRec/data/sampler.py,Magic number 1024 used in __init__.
wubinzzu_NeuRec.data,sampler,TimeOrderPointwiseSampler,Magic number,__init__,231,/Volumes/BrokeExt/NICHE/wubinzzu_NeuRec/data/sampler.py,Magic number 1024 used in __init__.
