Package,Module,Class,Smell,Function/Method,Line no,File,Details
yunjey_pytorch-tutorial.tutorials.01-basics.feedforward_neural_network,main,,Long statement,,19,/Volumes/BrokeExt/NICHE/yunjey_pytorch-tutorial/tutorials/01-basics/feedforward_neural_network/main.py,A line with 121 chars in main exceeds the maximum length of 120 characters.
yunjey_pytorch-tutorial.tutorials.01-basics.linear_regression,main,,Long statement,,14,/Volumes/BrokeExt/NICHE/yunjey_pytorch-tutorial/tutorials/01-basics/linear_regression/main.py,A line with 163 chars in main exceeds the maximum length of 120 characters.
yunjey_pytorch-tutorial.tutorials.01-basics.linear_regression,main,,Long statement,,18,/Volumes/BrokeExt/NICHE/yunjey_pytorch-tutorial/tutorials/01-basics/linear_regression/main.py,A line with 164 chars in main exceeds the maximum length of 120 characters.
yunjey_pytorch-tutorial.tutorials.01-basics.logistic_regression,main,,Long statement,,15,/Volumes/BrokeExt/NICHE/yunjey_pytorch-tutorial/tutorials/01-basics/logistic_regression/main.py,A line with 121 chars in main exceeds the maximum length of 120 characters.
yunjey_pytorch-tutorial.tutorials.01-basics.pytorch_basics,main,,Long statement,,105,/Volumes/BrokeExt/NICHE/yunjey_pytorch-tutorial/tutorials/01-basics/pytorch_basics/main.py,A line with 124 chars in main exceeds the maximum length of 120 characters.
yunjey_pytorch-tutorial.tutorials.02-intermediate.bidirectional_recurrent_neural_network,main,,Long statement,,21,/Volumes/BrokeExt/NICHE/yunjey_pytorch-tutorial/tutorials/02-intermediate/bidirectional_recurrent_neural_network/main.py,A line with 122 chars in main exceeds the maximum length of 120 characters.
yunjey_pytorch-tutorial.tutorials.02-intermediate.convolutional_neural_network,main,ConvNet,Long statement,__init__,39,/Volumes/BrokeExt/NICHE/yunjey_pytorch-tutorial/tutorials/02-intermediate/convolutional_neural_network/main.py,A line with 151 chars in __init__ exceeds the maximum length of 120 characters.
yunjey_pytorch-tutorial.tutorials.02-intermediate.convolutional_neural_network,main,ConvNet,Long statement,__init__,44,/Volumes/BrokeExt/NICHE/yunjey_pytorch-tutorial/tutorials/02-intermediate/convolutional_neural_network/main.py,A line with 152 chars in __init__ exceeds the maximum length of 120 characters.
yunjey_pytorch-tutorial.tutorials.02-intermediate.convolutional_neural_network,main,,Long statement,,17,/Volumes/BrokeExt/NICHE/yunjey_pytorch-tutorial/tutorials/02-intermediate/convolutional_neural_network/main.py,A line with 122 chars in main exceeds the maximum length of 120 characters.
yunjey_pytorch-tutorial.tutorials.02-intermediate.convolutional_neural_network,main,ConvNet,Magic number,__init__,37,/Volumes/BrokeExt/NICHE/yunjey_pytorch-tutorial/tutorials/02-intermediate/convolutional_neural_network/main.py,Magic number 10 used in __init__.
yunjey_pytorch-tutorial.tutorials.02-intermediate.deep_residual_network,main,,Long statement,,23,/Volumes/BrokeExt/NICHE/yunjey_pytorch-tutorial/tutorials/02-intermediate/deep_residual_network/main.py,A line with 136 chars in main exceeds the maximum length of 120 characters.
yunjey_pytorch-tutorial.tutorials.02-intermediate.deep_residual_network,main,ResNet,Magic number,__init__,79,/Volumes/BrokeExt/NICHE/yunjey_pytorch-tutorial/tutorials/02-intermediate/deep_residual_network/main.py,Magic number 10 used in __init__.
yunjey_pytorch-tutorial.tutorials.02-intermediate.deep_residual_network,main,ResNet,Magic number,__init__,81,/Volumes/BrokeExt/NICHE/yunjey_pytorch-tutorial/tutorials/02-intermediate/deep_residual_network/main.py,Magic number 16 used in __init__.
yunjey_pytorch-tutorial.tutorials.02-intermediate.language_model,data_utils,Corpus,Magic number,get_data,25,/Volumes/BrokeExt/NICHE/yunjey_pytorch-tutorial/tutorials/02-intermediate/language_model/data_utils.py,Magic number 20 used in get_data.
