Package,Module,Class,Smell,Function/Method,Line no,File,Details
zeusees_HyperLPR.Prj-Python,setup,,Long statement,,8,/Volumes/BrokeExt/NICHE/zeusees_HyperLPR/Prj-Python/setup.py,A line with 694 chars in setup exceeds the maximum length of 120 characters.
zeusees_HyperLPR.Prj-Python.hyperlpr3,hyperlpr3,LicensePlateCatcher,Magic number,__init__,17,/Volumes/BrokeExt/NICHE/zeusees_HyperLPR/Prj-Python/hyperlpr3/hyperlpr3.py,Magic number 3 used in __init__.
zeusees_HyperLPR.Prj-Python.hyperlpr3.command,sample,,Empty catch block,url_to_image,33,/Volumes/BrokeExt/NICHE/zeusees_HyperLPR/Prj-Python/hyperlpr3/command/sample.py,Empty catch block found in url_to_image.
zeusees_HyperLPR.Prj-Python.hyperlpr3.command,sample,,Long statement,is_http_url,14,/Volumes/BrokeExt/NICHE/zeusees_HyperLPR/Prj-Python/hyperlpr3/command/sample.py,A line with 217 chars in is_http_url exceeds the maximum length of 120 characters.
zeusees_HyperLPR.Prj-Python.hyperlpr3.command,serve,,Long identifier,vehicle_license_plate_recognition,96,/Volumes/BrokeExt/NICHE/zeusees_HyperLPR/Prj-Python/hyperlpr3/command/serve.py,Identifier'vehicle_license_plate_recognition' exceeds the maximum length of 30 characters.
zeusees_HyperLPR.Prj-Python.hyperlpr3.command,serve,BaseResponse,Long identifier,http_prermission_denied_response,29,/Volumes/BrokeExt/NICHE/zeusees_HyperLPR/Prj-Python/hyperlpr3/command/serve.py,Identifier'http_prermission_denied_response' exceeds the maximum length of 30 characters.
zeusees_HyperLPR.Prj-Python.hyperlpr3.command,serve,,Long statement,,80,/Volumes/BrokeExt/NICHE/zeusees_HyperLPR/Prj-Python/hyperlpr3/command/serve.py,A line with 123 chars in serve exceeds the maximum length of 120 characters.
zeusees_HyperLPR.Prj-Python.hyperlpr3.command,serve,BaseResponse,Magic number,http_ok_response,25,/Volumes/BrokeExt/NICHE/zeusees_HyperLPR/Prj-Python/hyperlpr3/command/serve.py,Magic number 5000 used in http_ok_response.
zeusees_HyperLPR.Prj-Python.hyperlpr3.command,serve,BaseResponse,Magic number,http_prermission_denied_response,34,/Volumes/BrokeExt/NICHE/zeusees_HyperLPR/Prj-Python/hyperlpr3/command/serve.py,Magic number 5005 used in http_prermission_denied_response.
zeusees_HyperLPR.Prj-Python.hyperlpr3.command,serve,BaseResponse,Magic number,http_request_parameter_error,47,/Volumes/BrokeExt/NICHE/zeusees_HyperLPR/Prj-Python/hyperlpr3/command/serve.py,Magic number 5007 used in http_request_parameter_error.
zeusees_HyperLPR.Prj-Python.hyperlpr3.command,serve,BaseResponse,Magic number,http_server_error,57,/Volumes/BrokeExt/NICHE/zeusees_HyperLPR/Prj-Python/hyperlpr3/command/serve.py,Magic number 5009 used in http_server_error.
zeusees_HyperLPR.Prj-Python.hyperlpr3.common,mnn_adapt,MNNAdapter,Long statement,inference,32,/Volumes/BrokeExt/NICHE/zeusees_HyperLPR/Prj-Python/hyperlpr3/common/mnn_adapt.py,A line with 123 chars in inference exceeds the maximum length of 120 characters.
zeusees_HyperLPR.Prj-Python.hyperlpr3.common,tokenize,,Long statement,,1,/Volumes/BrokeExt/NICHE/zeusees_HyperLPR/Prj-Python/hyperlpr3/common/tokenize.py,A line with 397 chars in tokenize exceeds the maximum length of 120 characters.
zeusees_HyperLPR.Prj-Python.hyperlpr3.common,tools_process,,Complex method,find_the_adjacent_boxes,7 - 24,/Volumes/BrokeExt/NICHE/zeusees_HyperLPR/Prj-Python/hyperlpr3/common/tools_process.py,"Method 'find_the_adjacent_boxes' has a cyclomatic complexity of 7, exceeding the max of 6."
zeusees_HyperLPR.Prj-Python.hyperlpr3.common,tools_process,,Long parameter list,align_box,226 - 262,/Volumes/BrokeExt/NICHE/zeusees_HyperLPR/Prj-Python/hyperlpr3/common/tools_process.py,"align_box has 6 parameters, exceeding the max of 5."
zeusees_HyperLPR.Prj-Python.hyperlpr3.common,tools_process,,Long statement,filter_boxes,85,/Volumes/BrokeExt/NICHE/zeusees_HyperLPR/Prj-Python/hyperlpr3/common/tools_process.py,A line with 418 chars in filter_boxes exceeds the maximum length of 120 characters.
zeusees_HyperLPR.Prj-Python.hyperlpr3.common,tools_process,,Long statement,nms_boxes,116,/Volumes/BrokeExt/NICHE/zeusees_HyperLPR/Prj-Python/hyperlpr3/common/tools_process.py,A line with 205 chars in nms_boxes exceeds the maximum length of 120 characters.
zeusees_HyperLPR.Prj-Python.hyperlpr3.common,tools_process,,Long statement,get_rotate_crop_image,266,/Volumes/BrokeExt/NICHE/zeusees_HyperLPR/Prj-Python/hyperlpr3/common/tools_process.py,A line with 339 chars in get_rotate_crop_image exceeds the maximum length of 120 characters.
zeusees_HyperLPR.Prj-Python.hyperlpr3.common,tools_process,,Long statement,get_rotate_crop_image,291,/Volumes/BrokeExt/NICHE/zeusees_HyperLPR/Prj-Python/hyperlpr3/common/tools_process.py,A line with 128 chars in get_rotate_crop_image exceeds the maximum length of 120 characters.
zeusees_HyperLPR.Prj-Python.hyperlpr3.common,tools_process,,Magic number,find_the_adjacent_boxes,18,/Volumes/BrokeExt/NICHE/zeusees_HyperLPR/Prj-Python/hyperlpr3/common/tools_process.py,Magic number 2 used in find_the_adjacent_boxes.
zeusees_HyperLPR.Prj-Python.hyperlpr3.common,tools_process,,Magic number,find_the_adjacent_boxes,18,/Volumes/BrokeExt/NICHE/zeusees_HyperLPR/Prj-Python/hyperlpr3/common/tools_process.py,Magic number 2 used in find_the_adjacent_boxes.
zeusees_HyperLPR.Prj-Python.hyperlpr3.common,tools_process,,Magic number,single_xyxy2cxcywh,38,/Volumes/BrokeExt/NICHE/zeusees_HyperLPR/Prj-Python/hyperlpr3/common/tools_process.py,Magic number 2 used in single_xyxy2cxcywh.
zeusees_HyperLPR.Prj-Python.hyperlpr3.common,tools_process,,Magic number,single_xyxy2cxcywh,39,/Volumes/BrokeExt/NICHE/zeusees_HyperLPR/Prj-Python/hyperlpr3/common/tools_process.py,Magic number 2 used in single_xyxy2cxcywh.
zeusees_HyperLPR.Prj-Python.hyperlpr3.common,tools_process,,Magic number,xywh2xyxy,50,/Volumes/BrokeExt/NICHE/zeusees_HyperLPR/Prj-Python/hyperlpr3/common/tools_process.py,Magic number 2 used in xywh2xyxy.
zeusees_HyperLPR.Prj-Python.hyperlpr3.common,tools_process,,Magic number,xywh2xyxy,51,/Volumes/BrokeExt/NICHE/zeusees_HyperLPR/Prj-Python/hyperlpr3/common/tools_process.py,Magic number 2 used in xywh2xyxy.
zeusees_HyperLPR.Prj-Python.hyperlpr3.common,tools_process,,Magic number,xywh2xyxy,52,/Volumes/BrokeExt/NICHE/zeusees_HyperLPR/Prj-Python/hyperlpr3/common/tools_process.py,Magic number 2 used in xywh2xyxy.
zeusees_HyperLPR.Prj-Python.hyperlpr3.common,tools_process,,Magic number,xywh2xyxy,52,/Volumes/BrokeExt/NICHE/zeusees_HyperLPR/Prj-Python/hyperlpr3/common/tools_process.py,Magic number 2 used in xywh2xyxy.
zeusees_HyperLPR.Prj-Python.hyperlpr3.common,tools_process,,Magic number,xywh2xyxy,53,/Volumes/BrokeExt/NICHE/zeusees_HyperLPR/Prj-Python/hyperlpr3/common/tools_process.py,Magic number 3 used in xywh2xyxy.
zeusees_HyperLPR.Prj-Python.hyperlpr3.common,tools_process,,Magic number,xywh2xyxy,53,/Volumes/BrokeExt/NICHE/zeusees_HyperLPR/Prj-Python/hyperlpr3/common/tools_process.py,Magic number 2 used in xywh2xyxy.
