Feature,Smell,Spearman_rho,p_value,Significance (Bonferroni)
refactorizable_Call.Star_norm,smell_magic number,0.36302752082827433,7.185930041470605e-11,***
refactorizable_Chain.Compare_norm,smell_complex conditional,0.3519053878008983,2.919159889503787e-10,***
refactorizable_Call.Star_norm,smell_long parameter list,0.33652814244732276,1.8564646440222007e-09,***
PY_Assign.Multi.Targets_norm,smell_long parameter list,0.3032161986780432,7.304952478312539e-08,***
refactorizable_Chain.Compare_norm,smell_complex method,0.2981229508332812,1.231951177206612e-07,***
refactorizable_Call.Star_norm,smell_complex method,0.29721298295942444,1.3510978166318868e-07,***
refactorizable_Call.Star_norm,smell_long method,0.27676187993882917,9.902224095080617e-07,***
refactorizable_Call.Star_norm,smell_complex conditional,0.26161128303453973,3.91863932759407e-06,**
refactorizable_List.Comprehension_norm,smell_complex method,0.2593267256822797,4.78725459550694e-06,**
refactorizable_Truth.Value.Test_norm,ML_Specific_Code_Smell_gradients_not_cleared_before_backward_propagation,0.25018865611119745,1.0466818571956176e-05,**
PY_Truth.Value.Test_norm,smell_complex method,0.24889455658830645,1.166514087325799e-05,**
refactorizable_Chain.Compare_norm,smell_long parameter list,0.24613893014801091,1.466498785716583e-05,**
PY_Set.Comprehension_norm,smell_empty catch block,0.2395895075704511,2.4997786631318313e-05,**
refactorizable_Chain.Compare_norm,smell_magic number,0.23871066732869042,2.6821986997805717e-05,**
refactorizable_Chain.Compare_norm,smell_long method,0.23848311727927068,2.7314442404533397e-05,**
PY_Assign.Multi.Targets_norm,smell_magic number,0.23157484965129138,4.705457536081592e-05,*
PY_Assign.Multi.Targets_norm,smell_complex method,0.2302858980228379,5.198655387358773e-05,*
refactorizable_Call.Star_norm,smell_long statement,0.22918170589390435,5.659529325070941e-05,*
PY_Truth.Value.Test_norm,smell_complex conditional,0.22875121465280193,5.849432282202867e-05,*
PY_Truth.Value.Test_norm,ML_Specific_Code_Smell_gradients_not_cleared_before_backward_propagation,0.227887646805261,6.24862529823578e-05,*
PY_Truth.Value.Test_norm,smell_empty catch block,0.22728835315964416,6.540589531531096e-05,*
PY_Chain.Compare_norm,smell_complex method,0.22449463094209252,8.079330397462426e-05,*
PY_Assign.Multi.Targets_norm,smell_long method,0.22205047669948355,9.69880317489876e-05,*
refactorizable_Assign.Multi.Targets_norm,ML_Specific_Code_Smell_gradients_not_cleared_before_backward_propagation,0.2147216866971665,0.0001657439260604194,*
PY_Dict.Comprehension_norm,ML_Specific_Code_Smell_columns_and_datatype_not_explicitly_set,0.21335902094656417,0.0001827490780197854,
PY_Chain.Compare_norm,smell_long method,0.2107675839336364,0.00021967942106001058,
refactorizable_Assign.Multi.Targets_norm,smell_magic number,0.21028847734633688,0.00022722843655936207,
refactorizable_Chain.Compare_norm,smell_long statement,0.20930071641530293,0.0002435628643734295,
refactorizable_For.Else_norm,smell_complex conditional,0.20665129180653408,0.0002929491107562363,
PY_Chain.Compare_norm,smell_magic number,0.20552683902624694,0.0003166077499272491,
PY_Call.Star_norm,ML_Specific_Code_Smell_gradients_not_cleared_before_backward_propagation,0.20496383345535088,0.0003291110405751496,
PY_Chain.Compare_norm,smell_empty catch block,0.2019617456635968,0.000403907019051559,
refactorizable_For.Multi.Targets_norm,smell_complex method,0.20178555117814123,0.00040875388716602666,
refactorizable_For.Multi.Targets_norm,smell_complex conditional,0.19611754406582724,0.0005967534432234982,
refactorizable_List.Comprehension_norm,smell_complex conditional,0.19607630237229323,0.0005983760891849052,
PY_Chain.Compare_norm,smell_long parameter list,0.18940526263213758,0.0009217829446370128,
PY_Assign.Multi.Targets_norm,smell_empty catch block,0.18758320221708333,0.0010347026010708133,
refactorizable_For.Multi.Targets_norm,smell_empty catch block,0.18629303128493288,0.0011222164528492248,
PY_Dict.Comprehension_norm,smell_long lambda function,0.1824042848197494,0.001428835438676398,
refactorizable_Truth.Value.Test_norm,smell_long identifier,-0.1815046924414228,0.0015099303910792996,
PY_Dict.Comprehension_norm,smell_empty catch block,0.18098782671235153,0.0015584110544550802,
refactorizable_List.Comprehension_norm,smell_long method,0.18023034886346237,0.0016320406741067313,
PY_Chain.Compare_norm,smell_complex conditional,0.17916411403079205,0.00174108682996069,
refactorizable_Set.Comprehension_norm,smell_complex conditional,0.17907263811569119,0.0017507460492821472,
PY_Assign.Multi.Targets_norm,ML_Specific_Code_Smell_gradients_not_cleared_before_backward_propagation,0.17799157079911843,0.0018686717800308953,
refactorizable_Dict.Comprehension_norm,smell_long identifier,0.17694921853367776,0.0019892056585770605,
PY_Set.Comprehension_norm,smell_long identifier,0.17494123548039642,0.0022416223353278466,
refactorizable_Chain.Compare_norm,smell_empty catch block,0.17428676359389897,0.002329999092156722,
refactorizable_For.Else_norm,smell_complex method,0.17190301672234298,0.0026793888175296906,
PY_Assign.Multi.Targets_norm,smell_long statement,0.1669346338467938,0.00356510500851942,
PY_For.Multi.Targets_norm,ML_Specific_Code_Smell_gradients_not_cleared_before_backward_propagation,0.16554152226181032,0.0038571201242991585,
refactorizable_For.Multi.Targets_norm,smell_long method,0.1610450195955002,0.004953041397925141,
PY_Set.Comprehension_norm,smell_complex conditional,0.1606406922885302,0.005064164139231268,
