Project Name,GitHub Repo_x,ML_Specific_Code_Smell_Chain_Indexing,ML_Specific_Code_Smell_columns_and_datatype_not_explicitly_set,ML_Specific_Code_Smell_dataframe_conversion_api_misused,ML_Specific_Code_Smell_gradients_not_cleared_before_backward_propagation,ML_Specific_Code_Smell_in_place_apis_misused,ML_Specific_Code_Smell_merge_api_parameter_not_explicitly_set,ML_Specific_Code_Smell_pytorch_call_method_misused,ML_Specific_Code_Smell_tensor_array_not_used,ML_Specific_Code_Smell_unnecessary_iteration,ML_Specific_Code_Smell_matrix_multiplication_api_misused,ML_Specific_Code_Smell_memory_not_freed,ML_Specific_Code_Smell_nan_equivalence_comparison_misused,smell_long statement,smell_long parameter list,smell_long method,smell_long identifier,smell_empty catch block,smell_complex method,smell_complex conditional,smell_missing default,smell_long lambda function,smell_long message chain,smell_magic number,Engineered.ML.Project,Python_Percentage,refactorizable_Assign.Multi.Targets,refactorizable_Call.Star,refactorizable_List.Comprehension,refactorizable_Dict.Comprehension,refactorizable_Set.Comprehension,refactorizable_Truth.Value.Test,refactorizable_Chain.Compare,refactorizable_For.Multi.Targets,refactorizable_For.Else,PY_Assign.Multi.Targets,PY_Call.Star,PY_List.Comprehension,PY_Dict.Comprehension,PY_Set.Comprehension,PY_Truth.Value.Test,PY_Chain.Compare,PY_For.Multi.Targets,PY_For.Else,duplicated_files,violations,critical_violations,info_violations,uncovered_lines,complexity,minor_violations,duplicated_lines,sqale_index,bugs,ncloc,reliability_remediation_effort,reliability_rating,sqale_debt_ratio,comment_lines_density,security_hotspots,cognitive_complexity,duplicated_blocks,blocker_violations,major_violations,security_rating,files,security_hotspots_to_review_status,vulnerabilities,file_complexity,HIGH_reliability_issues,MEDIUM_reliability_issues,LOW_reliability_issues,HIGH_maintainability_issues,MEDIUM_maintainability_issues,LOW_maintainability_issues,HIGH_security_issues,MEDIUM_security_issues,LOW_security_issues,tot_pythonic,tot_non_pythonic,pythonic_percentage,Stars,Commits,loc,Architecture,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing,density_tot_non_pythonic,density_tot_pythonic
feedly/transfer-nlp,https://github.com/feedly/transfer-nlp.git,1,27,1,0,3,0,1,0,0.0,0.0,0.0,0.0,120,20,11,8,5,7,1,0,1,1,79,1.0,98.9336804774508,144.0,0.0,1.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,5.0,36.0,8.0,0.0,86.0,0.0,38.0,0.0,9.0,69.0,20.0,3.0,2643.0,592.0,26.0,1044.0,262.0,2.0,3899.0,20.0,5.0,0.2,12.1,11.0,360.0,31.0,1.0,19.0,1.0,48.0,11.0,0.0,12.3,1.0,2.0,0.0,20.0,18.0,29.0,0.0,0.0,1.0,173.0,151.0,0.533950617283951,281,465,3827,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/feedly/transfer-nlp/graphs/contributors shows that there are multiple contributors.,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well maintained README and documentation at https://github.com/feedly/transfer-nlp/tree/master/docs,There is no commit in the past month,The author of the project does not reply to issues or close them.,https://github.com/feedly/transfer-nlp/blob/master/LICENSE is provided,There are many files related to testing.,2284.098814229252,2616.881422924904
adobe/antialiased-cnns,https://github.com/adobe/antialiased-cnns.git,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,137,6,7,0,0,9,0,0,0,0,127,0.0,100.0,52.0,0.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,97.0,0.0,20.0,0.0,2.0,26.0,11.0,0.0,1361.0,323.0,5.0,73.0,201.0,0.0,1780.0,0.0,1.0,0.4,20.3,1.0,447.0,4.0,0.0,10.0,1.0,14.0,1.0,0.0,23.1,0.0,2.0,0.0,11.0,10.0,5.0,0.0,0.0,2.0,127.0,61.0,0.675531914893617,1120,115,1785,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/adobe/antialiased-cnns/graphs/contributors shows that there are multiple contributors but mainly 1,CI is not used on the project.,There is a well-maintained documentation,No evidence of sustained commit activity,Do reply to issues last time but not recently,https://github.com/adobe/antialiased-cnns/blob/master/LICENSE.md is provided.,There is no evidence of any testing done on the project.,380.7167832167833,792.6398601398604
allenai/scibert,https://github.com/allenai/scibert.git,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,30,5,6,6,0,9,1,0,1,0,54,0.0,95.7615024185706,42.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,24.0,3.0,0.0,42.0,0.0,34.0,0.0,2.0,40.0,6.0,1.0,906.0,229.0,13.0,79.0,266.0,0.0,1236.0,0.0,1.0,0.7,23.6,1.0,377.0,4.0,0.0,20.0,1.0,23.0,1.0,0.0,10.0,0.0,4.0,0.0,6.0,20.0,14.0,0.0,0.0,4.0,104.0,44.0,0.702702702702703,651,253,1237,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/allenai/scibert/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,Most of the functions in the source code are not documented.,Evidence of sustained commit activity,Do reply to issues last time but not recently,https://github.com/allenai/scibert/blob/master/LICENSE.txt is provided.,There are files related to testing,485.964285714286,1148.6428571428578
amansrivastava17/embedding-as-service,https://github.com/amansrivastava17/embedding-as-service.git,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,265,43,45,24,1,47,4,0,0,1,125,0.0,99.872586554691,379.0,1.0,8.0,6.0,0.0,33.0,34.0,1.0,1.0,2.0,12.0,83.0,15.0,0.0,416.0,3.0,47.0,0.0,12.0,155.0,54.0,7.0,6106.0,1589.0,24.0,652.0,1331.0,3.0,9040.0,13.0,5.0,0.5,18.3,10.0,1987.0,27.0,4.0,66.0,1.0,43.0,10.0,0.0,37.0,9.0,7.0,0.0,57.0,64.0,31.0,0.0,0.0,5.0,578.0,463.0,0.5552353506244,116,373,9037,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/amansrivastava17/embedding-as-service/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,Most of the functions in the source code are not documented.,Evidence of sustained commit activity,Do reply to issues last time but not recently,https://github.com/amansrivastava17/embedding-as-service/blob/master/LICENSE is provided.,There is no evidence of any testing done on the project.,7538.974774774778,9411.50630630631
batra-mlp-lab/visdial-challenge-starter-pytorch,https://github.com/batra-mlp-lab/visdial-challenge-starter-pytorch.git,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,61,1,6,0,0,3,0,0,0,0,12,0.0,99.2203357451584,52.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,26.0,9.0,0.0,25.0,0.0,9.0,0.0,2.0,9.0,2.0,0.0,776.0,155.0,4.0,51.0,85.0,0.0,1350.0,0.0,1.0,0.2,25.4,0.0,184.0,2.0,0.0,3.0,1.0,18.0,0.0,0.0,8.6,0.0,0.0,0.0,2.0,3.0,4.0,0.0,0.0,0.0,71.0,53.0,0.57258064516129,162,120,1510,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/batra-mlp-lab/visdial-challenge-starter-pytorch/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,Most of the functions in the source code are not documented.,No evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/batra-mlp-lab/visdial-challenge-starter-pytorch/issues/23 and https://github.com/batra-mlp-lab/visdial-challenge-starter-pytorch/issues/32 but not very often",https://github.com/batra-mlp-lab/visdial-challenge-starter-pytorch/blob/master/LICENSE is provided.,There is no evidence of any testing done on the project.,964.2168674698802,1291.6867469879528
beyretb/animalai-olympics,https://github.com/beyretb/animalai-olympics.git,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,57,4,4,5,1,2,0,0,0,0,38,0.0,100.0,21.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,26.0,0.0,4.0,0.0,0.0,20.0,2.0,6.0,752.0,141.0,0.0,0.0,79.0,0.0,1811.0,0.0,1.0,0.1,8.0,2.0,131.0,0.0,0.0,12.0,1.0,32.0,2.0,0.0,4.4,0.0,1.0,0.0,2.0,12.0,6.0,0.0,0.0,1.0,41.0,27.0,0.602941176470588,516,312,1876,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/beyretb/AnimalAI-Olympics/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,There is a well-maintained documentation,No evidence of sustained commit activity,"The project maintainers respond to issues, as evidenced by https://github.com/beyretb/AnimalAI-Olympics/issues/83 and https://github.com/beyretb/AnimalAI-Olympics/issues/91","There is no license to be found, either in the form of a license file or written inside the source code file.",There are files related to testing,456.3243243243244,692.9369369369371
dagnyt/hardnet,https://github.com/dagnyt/hardnet.git,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,122,11,14,3,3,26,0,0,0,0,105,0.0,94.3516587771398,165.0,0.0,3.0,1.0,0.0,13.0,1.0,0.0,0.0,0.0,7.0,13.0,0.0,0.0,189.0,0.0,26.0,0.0,14.0,267.0,43.0,0.0,3317.0,728.0,66.0,3456.0,1388.0,5.0,4229.0,43.0,3.0,1.1,9.1,24.0,1004.0,183.0,0.0,158.0,1.0,22.0,24.0,0.0,33.1,0.0,108.0,0.0,43.0,153.0,66.0,0.0,0.0,103.0,235.0,183.0,0.562200956937799,303,100,4265,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/DagnyT/hardnet/graphs/contributors shows that there are multiple contributors,CI is not used on the project.,Some of the functions are documented,No evidence of sustained commit activity,"The project maintainers respond to issues, but mainly not resolved as there's no response from users",https://github.com/DagnyT/hardnet/blob/master/LICENSE is provided.,There is no evidence of any testing done on the project.,2748.221830985918,3529.1373239436653
dsgiitr/d2l-pytorch,https://github.com/pytorchlightning/pytorch-lightning.git,0,0,0,2,0,0,0,0,0.0,0.0,0.0,0.0,16,13,3,0,1,5,0,0,2,0,55,1.0,99.0113710151226,3686.0,0.0,16.0,4.0,3.0,584.0,59.0,1.0,3.0,43.0,428.0,496.0,163.0,49.0,3502.0,86.0,319.0,5.0,158.0,1179.0,432.0,244.0,78654.0,19225.0,80.0,8619.0,7679.0,119.0,114872.0,722.0,5.0,0.2,21.1,157.0,12241.0,363.0,24.0,399.0,5.0,1129.0,157.0,11.0,17.0,16.0,109.0,2.0,432.0,297.0,320.0,8.0,3.0,8.0,5091.0,4356.0,0.538901238488409,3210,187,4989,The source code of the project exists as ad-hoc scripts.,https://github.com/dsgiitr/d2l-pytorch/graphs/contributors shows that there are only 2 contributors.,CI is not used on the project.,There is a well maintained README,Checking https://github.com/dsgiitr/d2l-pytorch/pulse/monthly there has been only 1 commit activity in the past month.,"The project maintainers hardly respond to issues, as evidenced by https://github.com/dsgiitr/d2l-pytorch/issues",https://github.com/dsgiitr/d2l-pytorch/blob/master/LICENSE is provided,There is no evidence of any testing done on the project.,228758.77894736925,267357.8842105273
eladhoffer/convnet.pytorch,https://github.com/eladhoffer/convnet.pytorch.git,0,1,0,2,0,0,3,0,0.0,0.0,0.0,0.0,190,49,23,1,0,16,1,0,3,0,583,0.0,100.0,195.0,0.0,0.0,0.0,0.0,13.0,4.0,0.0,0.0,2.0,42.0,28.0,10.0,0.0,157.0,0.0,21.0,0.0,12.0,82.0,8.0,1.0,3211.0,857.0,45.0,449.0,466.0,2.0,4792.0,15.0,3.0,0.3,5.6,16.0,856.0,26.0,0.0,28.0,1.0,35.0,16.0,0.0,24.5,0.0,4.0,0.0,8.0,26.0,46.0,0.0,0.0,2.0,260.0,212.0,0.550847457627119,240,159,4784,The source code of the project exists as ad-hoc scripts.,https://github.com/eladhoffer/convNet.pytorch/graphs/contributors shows that there are only 2 contributors.,CI is not used on the project.,There is a well maintained README and majority of the function in https://github.com/eladhoffer/convNet.pytorch/blob/master/autoaugment.py,Checking https://github.com/eladhoffer/convNet.pytorch/pulse/monthly there has been only 1 commit activity in the past month.,"The project maintainers respond to issues, as evidenced by https://github.com/eladhoffer/convNet.pytorch/issues/18",https://github.com/eladhoffer/convNet.pytorch/blob/master/LICENSE is provided,There is no evidence of any testing done on the project.,1171.1408775981524,1436.304849884527
funcwj/setk,https://github.com/funcwj/setk.git,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,251,16,21,0,0,27,3,0,0,0,243,0.0,50.5143652305242,224.0,1.0,4.0,0.0,0.0,18.0,5.0,0.0,0.0,0.0,9.0,108.0,1.0,0.0,229.0,1.0,58.0,0.0,1.0,79.0,8.0,1.0,1714.0,501.0,50.0,34.0,303.0,1.0,2123.0,10.0,3.0,0.5,36.1,2.0,415.0,2.0,0.0,20.0,1.0,14.0,2.0,0.0,35.8,0.0,5.0,0.0,8.0,20.0,50.0,0.0,0.0,4.0,406.0,252.0,0.617021276595745,154,235,6824,The source code of the project exists as ad-hoc scripts.,There are no contributors to the project other than the author.,CI is not used on the project.,There is a well maintained README and documentations at https://github.com/funcwj/setk/tree/master/doc,Checking https://github.com/funcwj/setk/pulse/monthly there has been significant commit activity in the past month.,There aren't any open issues,https://github.com/funcwj/setk/blob/master/LICENSE is provided,There are many files related to testing.,3065.3262032085586,4938.5811051693445
